#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
01a59457o0714o,45.8799233333333,27.6822266666667,>20.01,0.0,3.0,o,22.313,59457.57848305,35.98,6197.19,139.0,174.2,-15.0,21.9,175.6,-969.8,1276.9,1.57,2.02,1.88,1.0,3.0,-0.4247,-12.110420499929768,17.68121392989746,19.68,30.0
01a59457o0717o,45.8799233333333,27.6822266666667,>20.61,0.0,3.0,o,22.305,59457.57986375,10026.4,6189.02,161.0,181.2,-5.4,12.3,181.5,410.1,643.6,1.42,2.03,1.9,1.0,3.0,-0.4297,-4.481280655809056,10.207361493787293,19.64,30.0
01a59457o0724o,45.8799233333333,27.6822266666667,>19.9,0.0,3.0,o,22.313,59457.58310355,17.37,6159.5,204.0,176.2,20.4,22.5,178.5,-9304.0,1770.3,2.05,2.1,1.95,1.0,3.0,-0.4227,17.727309161885277,19.552179222667586,19.63,30.0
01a59457o0733o,45.8799233333333,27.6822266666667,>20.67,0.0,3.0,o,22.308,59457.58730055,10008.2,6150.25,160.0,181.0,-9.7,12.1,177.6,178.8,684.4,1.49,2.0,1.87,1.0,3.0,-0.4237,-7.741089376788195,9.65641045970486,19.64,30.0
01a59457o0735o,45.8799233333333,27.6822266666667,>20.21,0.0,3.0,o,22.314,59457.58822115,75.78,6236.51,154.0,178.6,-43.2,16.2,189.0,-1127.9,815.4,1.75,2.14,2.01,1.0,3.0,-0.4167,-39.17890761695881,14.692090356359552,19.59,30.0
01a59457o0778o,45.8799233333333,27.6822266666667,>20.66,0.0,3.0,o,22.314,59457.60914955,10429.9,4425.49,182.0,181.9,3.3,11.6,179.2,-301.3,635.5,1.92,2.06,1.92,1.0,3.0,-0.4277,2.779976560956257,9.772038820331085,19.66,30.0
01a59457o0797o,45.8799233333333,27.6822266666667,>20.55,0.0,3.0,o,22.309,59457.61954445,10066.6,6225.08,182.0,180.1,-5.9,13.0,175.9,-1836.5,715.9,1.04,2.05,1.89,1.0,3.0,-0.4277,-4.891323896681471,10.77749333167104,19.64,30.0
01a59457o0817o,45.8799233333333,27.6822266666667,>18.62,0.0,3.0,o,21.266,59457.62927135,10083.4,6113.09,259.0,202.3,-3.3,29.6,197.7,-866.3,1660.2,1.2,2.02,1.92,1.0,3.0,-0.4307,-7.176708114580221,64.37289702774987,17.71,30.0
01a59457o0829o,45.8799233333333,27.6822266666667,>17.0,0.0,3.0,o,20.698,59457.63526715,10475.6,4358.8,118.0,184.7,38.8,75.2,182.2,5610.6,5245.8,0.57,2.05,1.95,1.0,3.0,-0.4197,145.2710057551751,281.5561761028136,16.74,30.0
01a59457o0834o,45.8799233333333,27.6822266666667,>16.13,0.0,3.0,o,20.037,59457.63756775,481.84,4432.24,352.0,157.1,-56.5,93.1,160.6,1368.5,4622.3,1.62,2.04,1.93,1.0,3.0,-0.4367,-389.0403699407341,641.0559016191565,15.56,30.0
