MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60684.297308,-21.473,2.903,-9,27,o,0,0.48,47.05104,-11.73161,8259.33,1057.36,2.18,1.64,-58.5,-0.506,18.86,19.2,02a60684o0209o
60684.30711,-21.455,1.739,-10,16,o,0,2.27,47.05104,-11.73161,8236.5,1016.77,2.2,1.62,-58.5,-0.514,18.87,19.2,02a60684o0230o
60684.310289,-23.994,27.0,-1,25,o,0,0.75,47.05104,-11.73161,8296.46,1096.83,2.2,1.65,-57.1,-0.503,18.85,19.19,02a60684o0237o
60684.321616,21.246,2.009,12,23,o,0,1.41,47.05104,-11.73161,8313.66,981.99,2.18,1.63,-57.4,-0.518,18.83,19.18,02a60684o0261o
60684.804987,-19.788,0.821,-44,36,o,0,1.11,47.05104,-11.73161,2206.04,9407.03,2.84,2.56,-50.9,-0.386,18.41,18.99,03a60685o0056o
60684.808146,19.809,0.773,43,34,o,0,1.23,47.05104,-11.73161,2226.28,9446.98,2.76,2.52,-52.9,-0.389,18.48,19.02,03a60685o0063o
60684.814479,-21.74,4.538,-7,33,o,0,1.79,47.05104,-11.73161,2168.7,9367.84,2.72,2.41,-54.3,-0.388,18.48,19.01,03a60685o0077o
60684.825368,-19.06,0.394,-86,34,o,0,1.07,47.05104,-11.73161,2150.68,9484.0,2.82,2.52,-49.5,-0.385,18.41,18.96,03a60685o0101o
60687.0917,-20.187,0.895,-31,27,o,0,1.42,47.05104,-11.73161,2616.45,5110.9,2.13,1.91,-84.4,-0.393,18.41,18.9,04a60687o0137o
60687.103991,20.008,0.878,36,32,o,0,0.93,47.05104,-11.73161,2635.36,5149.56,2.07,1.88,-80.9,-0.401,18.46,18.96,04a60687o0164o
60687.112877,-21.254,2.534,-11,29,o,0,1.27,47.05104,-11.73161,2581.9,5074.8,2.04,1.91,-71.6,-0.425,18.47,18.87,04a60687o0183o
60687.118032,21.631,3.544,8,29,o,0,1.34,47.05104,-11.73161,2562.91,5191.96,2.06,1.92,-45.8,-0.457,18.42,18.72,04a60687o0194o
60688.824209,-21.088,1.865,-13,25,o,0,1.31,47.05104,-11.73161,5476.3,1549.07,2.37,2.13,-53.4,-0.412,18.63,19.15,03a60689o0100o
60688.829721,20.346,1.028,26,27,o,0,0.92,47.05104,-11.73161,5496.12,1589.04,2.36,2.09,-55.1,-0.412,18.59,19.11,03a60689o0112o
60688.833794,-21.61,2.906,-8,24,o,0,1.29,47.05104,-11.73161,5442.77,1510.62,2.39,2.17,-53.0,-0.411,18.55,19.08,03a60689o0121o
60688.846581,-19.306,0.364,-69,25,o,0,1.42,47.05104,-11.73161,5421.55,1627.42,2.44,2.2,-56.2,-0.409,18.48,18.95,03a60689o0149o
60690.330773,-20.325,0.729,-27,20,o,0,1.18,47.05104,-11.73161,6819.81,5417.13,2.73,2.57,50.6,-0.378,18.82,19.37,01a60690o0281o
60690.333976,20.564,0.93,22,20,o,0,1.31,47.05104,-11.73161,6838.32,5455.76,2.66,2.53,57.1,-0.376,18.82,19.37,01a60690o0288o
60690.345126,20.311,0.817,27,22,o,0,1.38,47.05104,-11.73161,6773.31,5378.59,2.82,2.66,55.2,-0.371,18.78,19.36,01a60690o0312o
60690.350646,-21.306,1.932,-11,21,o,0,1.28,47.05104,-11.73161,6752.75,5493.61,2.75,2.65,71.1,-0.372,18.75,19.34,01a60690o0324o
60691.124868,-20.287,1.006,-28,28,o,0,1.66,47.05104,-11.73161,6841.63,5408.78,2.18,1.87,-13.5,-0.449,18.66,19.35,04a60691o0088o
60691.128501,-21.837,4.095,-7,27,o,0,1.12,47.05104,-11.73161,6860.18,5446.46,2.17,1.85,-17.4,-0.44,18.68,19.39,04a60691o0096o
60691.138574,-20.244,1.298,-29,38,o,0,0.82,47.05104,-11.73161,6800.46,5370.29,1.96,1.87,-31.4,-0.461,18.49,19.08,04a60691o0118o
60691.155412,21.244,3.131,12,36,o,0,1.31,47.05104,-11.73161,6781.34,5486.72,2.33,2.0,-13.3,-0.441,18.39,19.03,04a60691o0155o
60692.278797,-20.749,0.671,-18,12,o,0,1.09,47.05104,-11.73161,4085.56,2716.27,2.02,1.95,41.2,-0.446,19.45,20.56,02a60692o0165o
60692.315035,-21.172,1.274,-12,16,o,0,1.44,47.05104,-11.73161,4060.15,2676.74,2.26,2.13,54.6,-0.432,19.09,19.98,02a60692o0203o
60692.320836,-21.985,2.8,-6,16,o,0,1.05,47.05104,-11.73161,4113.56,2752.38,2.25,2.13,57.8,-0.429,19.12,19.96,02a60692o0214o
60692.354533,22.53,5.64,4,20,o,0,1.0,47.05104,-11.73161,4136.92,2637.44,2.4,2.16,44.6,-0.425,18.85,19.53,02a60692o0222o
60692.841919,19.98,0.472,37,18,o,0,0.78,47.05104,-11.73161,6407.22,7854.34,2.65,2.25,-45.8,-0.384,19.04,20.18,03a60693o0141o
60692.845562,-20.408,0.702,-25,18,o,0,1.5,47.05104,-11.73161,6427.08,7892.89,2.38,2.15,-47.2,-0.425,19.08,20.08,03a60693o0149o
60692.851467,20.49,0.765,23,18,o,0,1.38,47.05104,-11.73161,6374.08,7814.74,2.58,2.17,-50.9,-0.397,18.98,19.97,03a60693o0162o
60692.887238,22.899,7.071,2,18,o,0,1.73,47.05104,-11.73161,6352.24,7929.3,2.69,2.27,-39.8,-0.378,18.74,19.56,03a60693o0240o
60694.312498,-20.369,0.495,-26,13,o,0,1.77,47.05104,-11.73161,2980.33,1154.5,2.6,2.34,48.0,-0.451,19.37,20.53,01a60694o0238o
60694.318473,23.817,11.333,1,12,o,0,1.95,47.05104,-11.73161,2999.48,1194.46,2.39,2.22,51.1,-0.475,19.45,20.54,01a60694o0251o
60694.322615,-22.883,4.333,-3,11,o,0,3.25,47.05104,-11.73161,2938.47,1116.76,2.33,2.27,47.7,-0.492,19.47,20.56,01a60694o0260o
60694.336556,-21.708,1.655,-8,12,o,0,2.15,47.05104,-11.73161,2912.37,1232.54,2.48,2.45,-65.4,-0.473,19.39,20.55,01a60694o0290o
60695.083748,22.309,2.0,4,9,c,0,2.15,47.05104,-11.73161,3015.08,1135.33,2.51,2.08,37.6,-0.405,19.52,21.54,04a60695o0123c
60695.087004,-22.431,2.36,-4,9,c,0,1.5,47.05104,-11.73161,3036.16,1174.93,2.49,2.09,40.6,-0.403,19.5,21.53,04a60695o0130c
60695.093389,-25.18,28.5,0,9,c,0,2.13,47.05104,-11.73161,2973.96,1095.55,2.52,2.05,41.1,-0.401,19.52,21.51,04a60695o0144c
60695.10846,-22.974,4.692,-2,11,c,0,1.7,47.05104,-11.73161,2958.15,1217.01,2.68,2.26,40.3,-0.387,19.42,21.44,04a60695o0177c
60696.30164,-20.652,0.579,-20,12,c,0,1.15,47.05104,-11.73161,6315.87,1172.31,2.48,2.17,-62.8,-0.415,19.45,21.07,02a60696o0214c
60696.304816,22.475,2.741,4,10,c,0,1.53,47.05104,-11.73161,6296.86,1133.53,2.46,2.15,-64.0,-0.418,19.48,21.05,02a60696o0221c
60696.310259,20.921,0.75,16,12,c,0,1.25,47.05104,-11.73161,6357.12,1211.92,2.47,2.16,-64.2,-0.419,19.47,21.04,02a60696o0233c
60696.319999,22.622,3.348,3,11,c,0,1.46,47.05104,-11.73161,6376.49,1094.47,2.5,2.17,-61.7,-0.42,19.45,21.01,02a60696o0254c
60696.914866,-21.052,1.42,-14,20,o,0,1.27,47.05104,-11.73161,4148.96,9344.55,3.12,2.74,-34.4,-0.369,18.81,20.25,03a60697o0298o
60696.919474,-22.124,4.176,-5,21,o,0,1.28,47.05104,-11.73161,4168.73,9384.0,3.27,2.86,-35.4,-0.364,18.72,20.13,03a60697o0308o
60696.925755,22.434,6.091,4,24,o,0,1.45,47.05104,-11.73161,4109.6,9304.76,3.48,3.11,-34.2,-0.356,18.54,20.02,03a60697o0321o
60698.280496,-21.827,1.211,-7,8,o,0,3.93,47.05104,-11.73161,4448.17,3102.89,2.47,2.21,43.7,-0.432,19.6,20.97,01a60698o0031o
60698.283695,-20.981,0.672,-15,10,o,0,1.87,47.05104,-11.73161,4464.21,3141.08,2.56,2.31,45.2,-0.42,19.58,20.96,01a60698o0038o
60698.291028,-22.238,2.091,-5,10,o,0,1.9,47.05104,-11.73161,4404.06,3061.69,2.76,2.42,35.4,-0.4,19.52,20.95,01a60698o0054o
60698.302688,-21.72,1.444,-7,11,o,0,1.77,47.05104,-11.73161,4380.11,3176.77,2.67,2.43,45.0,-0.415,19.48,20.93,01a60698o0079o
60699.045527,-21.087,0.69,-13,9,c,0,1.46,47.05104,-11.73161,4455.31,3077.0,2.19,2.08,-3.3,-0.392,19.41,21.29,04a60699o0043c
60699.04869,22.092,1.564,5,8,c,0,2.38,47.05104,-11.73161,4471.45,3114.63,2.23,2.08,-3.4,-0.394,19.45,21.4,04a60699o0050c
60699.05413,21.102,0.65,13,8,c,0,1.36,47.05104,-11.73161,4414.68,3037.94,2.18,2.05,-5.7,-0.402,19.48,21.48,04a60699o0062c
60699.06553,21.786,1.283,7,9,c,0,1.47,47.05104,-11.73161,4394.94,3155.99,2.12,2.08,0.8,-0.403,19.48,21.43,04a60699o0087c
60700.290672,-13.973,0.637,-9351,5958,c,0,1.11,47.05104,-11.73161,6404.68,3120.6,2.55,2.37,-70.1,-0.383,15.3,16.79,02a60700o0193c
60700.293846,16.518,0.859,897,771,c,0,1.16,47.05104,-11.73161,6385.91,3082.04,2.48,2.39,-75.4,-0.396,16.55,18.1,02a60700o0200c
60700.80494,-21.338,0.944,-11,10,o,0,2.2,47.05104,-11.73161,4095.54,7405.74,2.36,2.1,-38.4,-0.392,19.36,20.87,03a60701o0081o
60700.808111,22.71,3.55,3,11,o,0,3.02,47.05104,-11.73161,4114.56,7445.5,2.35,2.08,-44.0,-0.398,19.39,20.86,03a60701o0088o
60700.819435,21.764,1.562,7,11,o,0,3.1,47.05104,-11.73161,4059.05,7365.67,2.34,2.08,-46.7,-0.39,19.42,20.86,03a60701o0113o
60700.829815,20.312,0.419,27,11,o,0,4.02,47.05104,-11.73161,4041.75,7482.52,2.45,2.19,-43.1,-0.385,19.35,20.85,03a60701o0136o
60703.03321,-21.621,2.349,-8,19,c,0,1.19,47.05104,-11.73161,7345.58,1430.62,2.81,2.37,-18.9,-0.354,18.94,20.07,04a60703o0031c
60703.036382,21.736,1.667,7,12,c,0,1.97,47.05104,-11.73161,7365.62,1469.65,2.78,2.34,-20.1,-0.366,19.2,20.59,04a60703o0038c
60703.044538,-22.77,3.933,-3,11,c,0,1.8,47.05104,-11.73161,7306.04,1391.92,2.78,2.35,-16.3,-0.369,19.42,21.24,04a60703o0056c
60703.05731,21.036,0.84,14,12,c,0,1.58,47.05104,-11.73161,7287.29,1510.85,2.78,2.31,-20.4,-0.367,19.4,21.31,04a60703o0084c
60704.31015,-17.826,0.318,-269,86,c,0,1.26,47.05104,-11.73161,2144.93,2798.39,2.85,2.57,-1.5,-0.389,17.12,18.66,02a60704o0099c
60704.317197,16.206,0.567,1195,678,c,0,1.04,47.05104,-11.73161,2124.42,2759.79,3.18,2.65,0.6,-0.378,15.26,16.79,02a60704o0114c
60704.3204,18.486,0.736,146,108,c,0,0.84,47.05104,-11.73161,2182.07,2838.01,2.56,2.53,-46.0,-0.409,17.01,18.55,02a60704o0121c
60704.335107,18.445,0.769,152,117,c,0,0.95,47.05104,-11.73161,2202.72,2721.56,2.7,2.6,-21.7,-0.393,16.68,18.19,02a60704o0153c
60704.784394,-20.516,0.966,-23,22,o,0,1.36,47.05104,-11.73161,8331.67,7822.13,2.78,2.35,-39.3,-0.377,18.83,19.78,03a60705o0026o
60704.788018,-20.705,0.843,-19,16,o,0,1.88,47.05104,-11.73161,8351.22,7861.3,2.72,2.35,-44.4,-0.383,18.95,20.03,03a60705o0034o
60704.793435,21.747,2.342,7,17,o,0,1.14,47.05104,-11.73161,8297.05,7781.19,2.79,2.33,-46.6,-0.393,19.04,20.24,03a60705o0046o
60704.812041,21.575,1.894,8,16,o,0,2.46,47.05104,-11.73161,8276.04,7895.98,2.72,2.24,-50.9,-0.398,19.11,20.31,03a60705o0087o
60706.799017,-21.539,1.681,-9,15,o,0,1.9,47.05104,-11.73161,1147.47,1143.95,2.73,2.33,-80.5,-0.403,19.23,20.7,03a60707o0074o
60706.80963,-22.383,3.636,-4,15,o,0,1.91,47.05104,-11.73161,1169.76,1183.87,2.67,2.31,-74.4,-0.412,19.24,20.66,03a60707o0097o
60706.812823,21.501,1.75,9,16,o,0,1.63,47.05104,-11.73161,1114.5,1104.73,2.78,2.5,-71.9,-0.405,19.17,20.67,03a60707o0104o
60706.822841,-20.684,0.811,-19,16,o,0,1.24,47.05104,-11.73161,1092.15,1220.97,2.87,2.53,-75.3,-0.4,19.13,20.59,03a60707o0126o
60708.278981,21.583,2.571,8,22,c,0,1.05,47.05104,-11.73161,9899.03,5344.61,6.76,3.31,1.4,-0.378,18.63,20.98,02a60708o0163c
60708.280357,-20.952,1.393,-15,21,c,0,1.01,47.05104,-11.73161,9899.12,5344.82,6.37,3.25,0.7,-0.384,18.7,20.98,02a60708o0166c
60708.283114,-21.994,2.636,-6,15,c,0,1.14,47.05104,-11.73161,9879.09,5306.54,3.63,2.82,-3.6,-0.404,19.11,20.99,02a60708o0172c
60708.289529,-20.988,1.289,-15,19,c,0,1.01,47.05104,-11.73161,9936.86,5384.68,4.65,3.2,-0.2,-0.414,18.93,20.99,02a60708o0186c
60708.300071,-21.335,1.852,-11,20,c,0,0.9,47.05104,-11.73161,9958.48,5268.13,5.18,3.04,-1.1,-0.374,18.93,20.98,02a60708o0209c
60712.243029,19.606,0.5,52,26,o,0,1.4,47.05104,-11.73161,84.26,914.41,2.65,1.78,-53.3,-0.466,18.82,19.3,02a60712o0066o
60712.253596,21.417,3.197,10,32,o,0,0.95,47.05104,-11.73161,61.46,873.62,2.69,2.01,-55.6,-0.506,18.74,19.29,02a60712o0089o
60712.256782,-20.65,1.408,-20,28,o,0,0.83,47.05104,-11.73161,121.02,954.38,2.82,2.06,-55.7,-0.465,18.71,19.28,02a60712o0096o
60712.259504,20.423,1.274,25,31,o,0,1.09,47.05104,-11.73161,10200.41,959.17,2.83,1.63,-58.7,-0.546,18.78,19.38,02a60712o0102o
60712.26314,-19.805,0.742,-43,32,o,0,0.83,47.05104,-11.73161,10181.19,921.39,2.76,1.52,-59.4,-0.568,18.82,19.32,02a60712o0110o
60712.264044,-20.203,0.886,-30,27,o,0,1.13,47.05104,-11.73161,141.38,837.07,2.63,1.76,-54.5,-0.498,18.79,19.26,02a60712o0112o
60712.273294,20.147,1.101,32,35,o,0,0.9,47.05104,-11.73161,10238.91,998.35,2.85,1.6,-57.3,-0.454,18.8,19.28,02a60712o0132o
