MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60685.097483,20.269,0.675,28,19,o,0,1.28,41.90417,-28.44845,4439.92,1168.45,1.93,1.88,6.8,-0.438,18.86,19.6,04a60685o0146o
60685.100346,20.086,0.533,34,18,o,0,1.36,41.90417,-28.44845,4457.21,1206.83,1.91,1.86,29.1,-0.453,18.9,19.62,04a60685o0152o
60685.106267,20.195,0.568,30,17,o,0,1.31,41.90417,-28.44845,4398.67,1129.13,1.89,1.87,36.7,-0.438,18.89,19.59,04a60685o0165o
60685.11707,-21.246,2.156,-12,25,o,0,0.91,41.90417,-28.44845,4382.05,1249.42,2.07,1.94,-37.4,-0.426,18.77,19.42,04a60685o0187o
60686.095333,-19.779,0.597,-44,27,o,0,0.85,41.90417,-28.44845,5903.01,6979.95,2.0,1.77,-29.1,-0.436,18.67,19.25,04a60686o0143o
60686.098519,20.201,0.816,30,25,o,0,1.26,41.90417,-28.44845,5919.99,7016.54,1.94,1.74,-37.0,-0.428,18.68,19.24,04a60686o0150o
60686.105391,-21.721,3.333,-7,25,o,0,0.83,41.90417,-28.44845,5863.54,6941.59,1.91,1.72,-27.3,-0.436,18.65,19.17,04a60686o0165o
60686.116669,19.968,0.83,37,31,o,0,0.88,41.90417,-28.44845,5845.07,7056.99,1.89,1.7,-36.4,-0.441,18.62,19.1,04a60686o0189o
60686.838178,-21.68,2.367,-8,18,o,0,1.66,41.90417,-28.44845,5842.85,7002.13,2.52,2.14,-47.8,-0.409,18.76,19.42,03a60687o0128o
60686.841025,21.049,1.705,14,24,o,0,0.66,41.90417,-28.44845,5863.72,7041.66,2.49,2.14,-48.8,-0.421,18.76,19.42,03a60687o0134o
60686.847384,20.884,1.458,16,24,o,0,1.28,41.90417,-28.44845,5807.75,6962.69,2.63,2.18,-47.4,-0.399,18.7,19.37,03a60687o0148o
