MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60687.452708,-19.96,1.144,-38,43,o,0,1.07,184.20673,51.29938,4009.98,5064.37,3.4,3.23,8.9,-0.369,18.04,18.78,02a60687o0462o
60687.455496,19.434,0.673,61,41,o,0,1.11,184.20673,51.29938,4028.55,5103.56,3.78,3.6,28.8,-0.374,17.86,18.79,02a60687o0468o
60687.458217,-25.539,159.0,0,35,o,0,1.35,184.20673,51.29938,3970.46,5024.79,3.01,2.74,18.1,-0.399,18.18,18.8,02a60687o0474o
60687.482442,-20.78,1.539,-18,27,o,0,1.35,184.20673,51.29938,3948.47,5137.88,2.68,2.37,31.4,-0.416,18.33,18.96,02a60687o0526o
60691.511348,-22.121,4.349,-5,22,o,0,1.11,184.20673,51.29938,7877.06,5319.9,2.22,2.03,39.2,-0.41,18.77,19.16,02a60691o0671o
60691.530099,-21.453,2.342,-10,22,o,0,1.24,184.20673,51.29938,7894.23,5359.89,2.31,2.05,39.9,-0.42,18.78,19.23,02a60691o0711o
60691.533762,19.719,0.513,47,24,o,0,0.85,184.20673,51.29938,7838.6,5287.41,2.3,2.0,42.3,-0.407,18.78,19.24,02a60691o0719o
60691.538944,-22.454,5.467,-4,21,o,0,1.22,184.20673,51.29938,7817.31,5406.48,2.35,2.05,41.2,-0.406,18.8,19.26,02a60691o0730o
60693.535332,-20.236,0.597,-29,18,o,0,0.87,184.20673,51.29938,8182.88,2829.95,2.61,2.47,50.3,-0.417,19.08,19.91,01a60693o0706o
60693.537618,-21.695,1.945,-8,15,o,0,1.3,184.20673,51.29938,8164.98,2789.47,2.62,2.52,40.6,-0.415,19.07,19.89,01a60693o0711o
60693.541305,-20.642,0.792,-20,16,o,0,0.84,184.20673,51.29938,8221.24,2869.13,2.64,2.44,46.4,-0.417,19.06,19.88,01a60693o0719o
60693.546818,-23.342,10.167,-2,17,o,0,0.85,184.20673,51.29938,8240.9,2751.81,2.74,2.47,34.5,-0.401,19.04,19.89,01a60693o0731o
60695.413521,20.912,0.942,16,15,o,0,1.47,184.20673,51.29938,5956.41,1088.72,2.08,1.94,-50.0,-0.44,19.0,19.76,02a60695o0444o
60695.41683,-22.059,2.681,-5,15,o,0,1.53,184.20673,51.29938,5974.85,1128.22,2.1,1.95,-39.8,-0.439,19.01,19.78,02a60695o0451o
60695.440229,-20.928,1.125,-15,17,o,0,1.07,184.20673,51.29938,5915.4,1047.29,2.13,1.91,-41.4,-0.438,19.07,19.8,02a60695o0501o
60695.448079,20.434,0.708,24,17,o,0,0.95,184.20673,51.29938,5896.29,1165.34,2.11,1.94,-42.0,-0.436,19.06,19.84,02a60695o0518o
60697.423828,-21.409,1.406,-10,14,o,0,1.19,184.20673,51.29938,2207.33,1243.36,2.14,2.07,-62.3,-0.465,19.2,20.48,02a60697o0426o
60697.423949,21.29,1.176,11,13,o,0,1.03,184.20673,51.29938,8385.92,9334.75,2.78,2.65,67.7,-0.428,19.33,20.7,01a60697o0431o
60697.428381,-20.684,0.657,-19,13,o,0,1.08,184.20673,51.29938,8387.85,9337.29,2.93,2.81,55.1,-0.417,19.32,20.74,01a60697o0440o
60697.43375,21.141,1.069,13,14,o,0,0.8,184.20673,51.29938,8386.51,9337.0,2.9,2.8,-83.8,-0.417,19.4,20.8,01a60697o0450o
60699.546141,22.328,2.618,4,11,o,0,1.1,184.20673,51.29938,1191.2,2933.65,2.28,2.05,38.4,-0.442,19.45,20.81,02a60699o0733o
60699.547958,-20.811,0.614,-17,11,o,0,0.97,184.20673,51.29938,1211.03,2973.86,2.31,2.05,38.3,-0.439,19.42,20.78,02a60699o0737o
60699.551144,0.0,21.321,0,11,o,0,1.36,184.20673,51.29938,1152.19,2893.84,2.29,2.01,36.0,-0.439,19.42,20.76,02a60699o0744o
60699.55886,21.453,1.208,10,12,o,0,1.36,184.20673,51.29938,1132.24,3009.43,2.26,2.02,37.5,-0.443,19.42,20.74,02a60699o0761o
60703.639908,-22.565,4.211,-3,14,c,0,0.95,184.20673,51.29938,871.28,9289.86,2.47,2.18,-46.6,-0.449,19.3,21.13,02a60703o0275c
60703.642759,-22.816,4.687,-3,13,c,0,0.9,184.20673,51.29938,852.96,9251.93,2.44,2.25,-44.6,-0.447,19.39,21.24,02a60703o0281c
60703.645117,-22.641,4.429,-3,14,c,0,0.88,184.20673,51.29938,10206.47,9343.5,2.92,2.54,-63.5,-0.41,19.42,21.28,02a60703o0286c
60703.645579,-21.1,1.13,-13,15,c,0,0.79,184.20673,51.29938,907.72,9324.13,2.45,2.2,-42.2,-0.453,19.4,21.25,02a60703o0287c
60703.648415,-22.834,4.667,-3,12,c,0,1.27,184.20673,51.29938,10187.25,9302.89,2.87,2.54,-65.0,-0.536,19.49,21.43,02a60703o0293c
60703.655923,-22.17,2.609,-5,13,c,0,0.88,184.20673,51.29938,10246.11,9388.85,2.85,2.55,-65.3,-0.403,19.45,21.3,02a60703o0309c
60703.659717,22.513,3.13,4,11,c,0,1.4,184.20673,51.29938,930.73,9206.04,2.49,2.23,-49.1,-0.448,19.5,21.32,02a60703o0317c
60703.664971,20.921,0.741,16,12,c,0,1.03,184.20673,51.29938,10261.22,9267.72,2.88,2.54,-61.4,-0.402,19.48,21.22,02a60703o0328c
60703.669333,22.22,2.968,5,14,c,0,0.99,184.20673,51.29938,892.15,9260.9,2.43,2.29,-29.9,-0.449,19.22,20.63,02a60703o0337c
60703.674616,25.017,76.5,0,27,c,0,1.49,184.20673,51.29938,10223.52,9324.66,2.64,2.56,-51.0,-0.406,18.48,19.57,02a60703o0348c
60709.521743,-21.541,1.236,-9,11,o,0,1.27,184.20673,51.29938,8539.38,5461.92,2.87,2.69,38.6,-0.398,19.4,20.82,01a60709o0688o
60709.524484,20.293,0.414,28,12,o,0,1.04,184.20673,51.29938,8521.45,5421.43,2.83,2.71,35.1,-0.403,19.41,20.82,01a60709o0694o
60709.527241,20.731,0.712,18,13,o,0,0.81,184.20673,51.29938,8580.11,5499.87,2.88,2.64,37.4,-0.393,19.4,20.83,01a60709o0700o
60709.532765,22.146,2.455,5,12,o,0,0.92,184.20673,51.29938,8596.12,5384.53,2.7,2.67,63.8,-0.422,19.46,20.84,01a60709o0712o
