MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60687.516566,20.242,1.333,29,39,o,0,0.89,217.30279,46.23913,5504.79,4705.59,3.09,2.69,17.2,-0.387,18.08,18.7,02a60687o0599o
60687.519753,-19.249,0.626,-72,45,o,0,1.45,217.30279,46.23913,5523.09,4742.6,3.84,3.55,30.4,-0.392,17.86,18.73,02a60687o0606o
60687.52806,-21.123,2.88,-13,37,o,0,1.01,217.30279,46.23913,5467.26,4666.34,3.43,2.82,14.0,-0.376,18.08,18.82,02a60687o0624o
60687.553359,19.408,0.67,63,42,o,0,0.91,217.30279,46.23913,5446.46,4778.86,3.98,3.49,24.8,-0.37,18.02,19.03,02a60687o0678o
60691.567949,22.314,4.444,4,19,o,0,1.4,217.30279,46.23913,9363.46,4906.0,2.18,2.01,-48.4,-0.443,18.88,19.4,02a60691o0792o
60691.576298,20.697,1.043,19,20,o,0,1.16,217.30279,46.23913,9381.93,4944.8,2.13,2.05,-32.8,-0.442,18.92,19.45,02a60691o0810o
60691.583081,20.708,1.05,19,20,o,0,1.03,217.30279,46.23913,9319.49,4867.57,2.16,2.07,-37.8,-0.433,18.92,19.49,02a60691o0824o
60691.597707,20.536,0.755,22,17,o,0,1.33,217.30279,46.23913,9300.37,4987.34,2.14,2.04,-44.4,-0.44,18.96,19.56,02a60691o0856o
60693.603433,23.879,12.5,1,13,o,0,1.39,217.30279,46.23913,7534.53,3174.56,2.56,2.36,44.8,-0.411,19.21,20.07,01a60693o0853o
60693.606254,23.082,6.812,2,14,o,0,1.03,217.30279,46.23913,7515.47,3135.01,2.6,2.45,45.6,-0.411,19.2,20.09,01a60693o0859o
60693.611464,22.236,2.8,5,13,o,0,1.21,217.30279,46.23913,7572.82,3213.15,2.58,2.45,45.6,-0.417,19.17,20.1,01a60693o0870o
60693.621322,22.164,2.711,5,13,o,0,0.94,217.30279,46.23913,7591.05,3096.0,2.66,2.4,43.0,-0.397,19.2,20.12,01a60693o0891o
60695.613081,-20.163,0.438,-31,14,o,0,1.11,217.30279,46.23913,3435.05,701.5,1.96,1.83,-66.5,-0.478,19.3,20.15,02a60695o0870o
60695.626421,21.551,1.573,9,14,o,0,0.89,217.30279,46.23913,3450.18,743.42,1.91,1.85,68.4,-0.474,19.31,20.22,02a60695o0899o
60695.631732,-21.116,0.833,-13,11,o,0,1.16,217.30279,46.23913,3388.28,662.2,1.88,1.82,-85.1,-0.473,19.34,20.25,02a60695o0910o
60695.636315,-20.291,0.514,-28,14,o,0,0.91,217.30279,46.23913,3371.31,781.91,1.9,1.83,-87.2,-0.478,19.31,20.27,02a60695o0920o
60697.491755,-20.265,0.637,-28,18,o,0,1.0,217.30279,46.23913,1413.77,9687.33,2.92,2.8,72.4,-0.413,19.1,20.32,01a60697o0560o
60697.493969,-19.449,0.631,-60,38,o,0,1.33,217.30279,46.23913,9173.76,841.58,2.91,2.21,-56.7,-0.447,16.88,18.03,02a60697o0561o
60697.49615,21.647,1.822,8,14,o,0,1.21,217.30279,46.23913,1415.61,9686.12,2.87,2.73,-59.2,-0.437,19.19,20.35,01a60697o0568o
60697.506933,-18.015,1.971,-226,445,o,0,1.42,217.30279,46.23913,9172.77,838.89,2.85,2.28,-56.3,-0.385,14.62,15.34,02a60697o0587o
60699.607609,-21.236,1.098,-12,13,o,0,0.88,217.30279,46.23913,3540.48,2653.35,2.32,2.02,40.4,-0.442,19.48,20.8,02a60699o0853o
60699.610835,-20.965,0.772,-15,12,o,0,0.86,217.30279,46.23913,3559.35,2692.25,2.4,2.03,37.9,-0.444,19.4,20.79,02a60699o0860o
60699.616315,-23.576,7.8,-1,10,o,0,1.39,217.30279,46.23913,3499.88,2612.89,2.43,2.06,38.7,-0.439,19.43,20.79,02a60699o0872o
60699.626989,22.284,2.794,4,12,o,0,0.95,217.30279,46.23913,3486.47,2734.04,2.47,1.98,39.2,-0.444,19.45,20.82,02a60699o0895o
60709.568842,20.853,0.701,17,12,o,0,1.32,217.30279,46.23913,7042.04,5779.33,3.25,2.72,42.8,-0.33,19.41,20.92,01a60709o0789o
60709.571697,23.169,5.818,2,11,o,0,0.93,217.30279,46.23913,7021.73,5740.18,3.36,2.78,44.5,-0.318,19.38,20.94,01a60709o0795o
60709.577246,22.938,4.625,2,11,o,0,0.86,217.30279,46.23913,7079.73,5817.13,2.87,2.63,48.4,-0.373,19.48,20.97,01a60709o0807o
60709.587397,22.008,1.861,6,11,o,0,1.04,217.30279,46.23913,7100.04,5701.16,3.08,2.62,44.0,-0.35,19.52,21.02,01a60709o0829o
60711.468931,-20.894,0.856,-16,14,o,0,0.95,217.30279,46.23913,1395.93,9707.6,2.87,2.74,-88.1,-0.42,19.27,20.59,01a60711o0502o
60711.473542,-21.068,0.853,-14,12,o,0,1.28,217.30279,46.23913,1380.11,9669.17,3.01,2.74,78.1,-0.411,19.27,20.63,01a60711o0511o
60711.48596,-22.454,3.543,-4,13,o,0,0.94,217.30279,46.23913,9177.48,777.41,2.13,1.59,-53.9,-0.525,19.32,20.47,02a60711o0529o
60711.490934,21.854,2.25,7,15,o,0,0.83,217.30279,46.23913,9157.0,895.94,2.13,1.63,-54.5,-0.525,19.34,20.48,02a60711o0538o
