MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60684.625727,19.981,0.603,37,22,o,0,1.57,214.81101,-11.45492,9245.67,8976.18,2.48,2.07,-60.9,-0.427,18.91,19.97,02a60684o0911o
60684.628903,-21.519,7.0,-9,63,o,0,1.16,214.81101,-11.45492,9264.71,9015.73,2.46,2.01,-60.2,-0.438,18.0,19.0,02a60684o0918o
60684.635279,20.094,1.0,33,33,o,0,1.06,214.81101,-11.45492,9204.49,8937.09,2.49,2.06,-63.6,-0.436,18.39,19.41,02a60684o0932o
60684.655041,17.685,1.484,306,454,o,0,0.72,214.81101,-11.45492,9182.69,9057.34,2.49,2.04,-63.7,-0.525,15.57,16.63,02a60684o0975o
60687.34351,-20.431,0.806,-24,20,o,0,0.98,214.81101,-11.45492,1025.4,5984.49,2.09,1.89,-68.0,-0.42,18.8,19.91,04a60687o0681o
60690.589938,20.366,0.719,26,19,o,0,1.0,214.81101,-11.45492,6895.94,5679.86,2.57,2.44,40.1,-0.386,18.81,19.32,01a60690o0835o
60690.593164,-20.319,0.714,-27,19,o,0,1.2,214.81101,-11.45492,6877.98,5641.35,2.52,2.31,38.9,-0.389,18.88,19.33,01a60690o0842o
60690.599647,22.028,3.605,6,20,o,0,0.95,214.81101,-11.45492,6940.75,5718.49,2.9,2.57,41.9,-0.346,18.76,19.37,01a60690o0856o
60690.61172,-21.879,2.759,-6,18,o,0,1.54,214.81101,-11.45492,6965.44,5602.19,2.56,2.29,35.7,-0.371,18.94,19.43,01a60690o0882o
60693.08838,20.497,1.077,23,25,o,0,0.77,214.81101,-11.45492,7225.15,3296.67,2.25,1.93,-59.9,-0.442,18.63,19.13,03a60693o0677o
60693.095537,-20.003,0.778,-36,28,o,0,1.09,214.81101,-11.45492,7208.04,3258.25,2.18,1.99,-53.2,-0.48,18.5,18.96,03a60693o0692o
60693.09993,-20.199,0.858,-30,26,o,0,1.28,214.81101,-11.45492,7264.25,3336.83,2.15,1.96,-53.0,-0.483,18.53,18.96,03a60693o0701o
60693.105842,-24.178,32.833,-1,25,o,0,0.86,214.81101,-11.45492,7287.17,3221.7,2.16,1.89,-55.2,-0.461,18.61,18.99,03a60693o0714o
60694.580332,21.919,4.2,6,26,o,0,0.78,214.81101,-11.45492,5326.22,9951.43,3.03,2.85,58.0,-0.368,18.72,19.4,01a60694o0804o
60694.584015,-19.347,0.372,-66,25,o,0,1.17,214.81101,-11.45492,5308.17,9911.82,3.38,3.28,61.4,-0.357,18.59,19.4,01a60694o0812o
60694.589523,-22.756,6.474,-3,19,o,0,1.23,214.81101,-11.45492,5370.46,9990.2,2.74,2.67,62.7,-0.385,18.85,19.44,01a60694o0824o
60694.606428,-19.791,0.467,-44,21,o,0,1.01,214.81101,-11.45492,5400.63,9873.1,2.74,2.59,68.5,-0.381,18.89,19.5,01a60694o0859o
60695.316906,-21.141,2.901,-13,37,o,0,0.79,214.81101,-11.45492,5302.4,9957.41,2.14,1.76,-66.1,-0.413,18.38,18.69,04a60695o0623o
60695.33162,-21.958,5.367,-6,32,o,0,0.79,214.81101,-11.45492,5279.57,9918.49,2.0,1.67,-36.8,-0.475,18.37,18.63,04a60695o0655o
60695.34479,20.384,1.257,26,32,o,0,1.11,214.81101,-11.45492,5340.06,9998.57,2.06,1.7,-69.3,-0.418,18.54,18.75,04a60695o0683o
