MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60684.378328,-20.914,2.859,-16,45,o,0,1.26,138.40883,13.33162,4910.83,1607.56,2.02,1.91,41.5,-0.438,17.64,17.95,02a60684o0379o
60684.381561,18.42,0.998,156,155,o,0,1.2,138.40883,13.33162,4931.23,1647.12,1.99,1.88,40.0,-0.449,16.78,17.21,02a60684o0386o
60684.384304,-18.881,1.022,-102,104,o,0,1.35,138.40883,13.33162,4871.27,1568.86,1.96,1.83,42.1,-0.456,17.37,17.65,02a60684o0392o
60684.419706,21.249,1.289,12,15,o,0,1.25,138.40883,13.33162,4842.23,1687.38,2.01,1.85,42.3,-0.446,19.18,19.86,02a60684o0468o
60684.463715,-21.222,1.095,-12,13,o,0,1.1,138.40883,13.33162,5709.83,8944.51,2.74,2.52,59.0,-0.388,19.23,20.16,01a60684o0550o
60684.482184,-22.35,3.031,-4,13,o,0,1.24,138.40883,13.33162,5689.16,8904.56,2.66,2.41,59.5,-0.398,19.29,20.23,01a60684o0589o
60684.484036,20.141,0.386,32,12,o,0,1.35,138.40883,13.33162,5748.21,8982.46,2.61,2.41,57.8,-0.398,19.32,20.23,01a60684o0593o
60684.502481,-21.634,1.714,-8,14,o,0,1.02,138.40883,13.33162,5769.43,8866.37,2.72,2.34,55.4,-0.389,19.35,20.29,01a60684o0630o
60684.977646,19.973,0.55,37,20,o,0,0.78,138.40883,13.33162,5560.37,8945.5,2.55,2.24,-40.7,-0.386,19.0,19.98,03a60685o0430o
60684.979477,-20.109,0.584,-33,19,o,0,0.92,138.40883,13.33162,5542.11,8906.35,2.65,2.26,-39.9,-0.381,18.98,20.01,03a60685o0434o
60684.983112,-19.831,0.382,-42,16,o,0,1.26,138.40883,13.33162,5600.68,8985.52,2.68,2.36,-38.2,-0.378,18.96,20.06,03a60685o0442o
60684.991213,-20.245,0.543,-29,16,o,0,1.09,138.40883,13.33162,5627.65,8868.8,2.56,2.2,-37.5,-0.388,19.14,20.24,03a60685o0459o
