MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60690.637119,-21.252,1.791,-12,20,o,0,0.96,234.54229,4.78067,3066.51,6620.07,2.81,2.36,45.1,-0.363,18.91,19.5,01a60690o0935o
60690.656678,20.821,1.065,17,18,o,0,1.22,234.54229,4.78067,3056.13,6581.54,2.75,2.45,42.1,-0.388,18.92,19.57,01a60690o0974o
60690.662022,22.293,4.353,4,19,o,0,0.97,234.54229,4.78067,3115.19,6660.67,2.64,2.37,43.6,-0.399,18.89,19.47,01a60690o0985o
60690.66667,-19.957,0.649,-38,24,o,0,0.91,234.54229,4.78067,3134.52,6544.45,2.68,2.38,43.4,-0.39,18.71,19.07,01a60690o0995o
60694.617587,-20.739,1.033,-18,19,o,0,1.06,234.54229,4.78067,2033.83,691.91,2.4,2.28,42.2,-0.466,19.14,19.91,01a60694o0883o
60694.629498,-21.557,1.597,-9,14,o,0,1.51,234.54229,4.78067,2014.89,654.41,2.35,2.27,43.0,-0.482,19.22,19.98,01a60694o0908o
60694.632713,-20.033,0.506,-35,18,o,0,1.1,234.54229,4.78067,2075.83,732.38,2.54,2.38,47.6,-0.64,19.12,19.98,01a60694o0915o
60694.641371,-20.375,0.645,-26,17,o,0,0.93,234.54229,4.78067,2094.33,616.54,2.44,2.26,49.4,-0.457,19.17,20.01,01a60694o0933o
60700.638115,-21.888,1.981,-6,13,o,0,1.0,234.54229,4.78067,8379.72,5959.26,2.2,2.01,37.4,-0.423,19.51,20.82,02a60700o0940o
60700.642268,-22.324,2.571,-4,11,o,0,1.28,234.54229,4.78067,8395.44,5998.11,2.36,2.01,29.5,-0.408,19.5,20.83,02a60700o0949o
60700.652421,21.037,0.863,14,12,o,0,0.92,234.54229,4.78067,8334.61,5920.98,2.19,1.96,33.9,-0.426,19.54,20.86,02a60700o0971o
60700.662048,21.273,1.209,11,14,o,0,0.89,234.54229,4.78067,8310.46,6039.1,2.36,2.14,33.4,-0.412,19.46,20.77,02a60700o0992o
