MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60684.296736,-21.041,1.639,-14,23,o,0,1.12,14.37845,35.73958,5784.33,9055.87,2.68,2.59,67.3,-0.397,18.74,19.13,01a60684o0205o
60684.302498,22.93,8.611,2,21,o,0,1.32,14.37845,35.73958,5802.58,9094.47,2.66,2.47,57.9,-0.39,18.75,19.1,01a60684o0217o
60684.305918,-22.744,7.476,-3,22,o,0,1.02,14.37845,35.73958,5741.9,9016.77,2.61,2.53,78.3,-0.403,18.71,19.09,01a60684o0224o
60684.340783,22.785,9.778,3,27,o,0,0.97,14.37845,35.73958,5713.71,9136.95,2.88,2.61,56.9,-0.37,18.53,18.92,01a60684o0298o
60685.284846,20.943,1.598,15,24,o,0,0.94,14.37845,35.73958,5786.81,9058.61,2.78,2.61,61.3,-0.385,18.69,19.06,01a60685o0177o
60685.291827,22.79,7.0,3,20,o,0,1.8,14.37845,35.73958,5804.39,9097.63,2.49,2.38,68.7,-0.418,18.77,19.03,01a60685o0192o
60685.29242,23.284,12.941,2,23,o,0,1.15,14.37845,35.73958,4776.42,1492.75,1.95,1.93,39.2,-0.457,18.63,18.97,02a60685o0154o
60685.294602,21.427,3.864,10,38,o,0,0.85,14.37845,35.73958,5744.51,9019.5,2.58,2.46,60.0,-0.408,18.39,18.56,01a60685o0198o
60685.304781,21.695,3.093,8,24,o,0,0.96,14.37845,35.73958,5724.5,9136.44,2.82,2.46,56.9,-0.37,18.63,18.96,01a60685o0220o
60688.320421,-14.073,0.55,-8527,4686,o,0,1.37,14.37845,35.73958,1232.92,1132.08,2.86,2.68,43.4,-0.383,13.71,13.42,01a60688o0260o
60690.267457,24.098,23.333,1,19,o,0,1.31,14.37845,35.73958,9526.26,5644.62,2.35,2.18,-54.7,-0.452,18.93,19.53,02a60690o0145o
60690.286314,20.633,1.234,20,25,o,0,1.18,14.37845,35.73958,9505.72,5605.46,2.73,2.53,-53.1,-0.421,18.68,19.41,02a60690o0186o
60690.289527,20.916,1.533,16,24,o,0,0.94,14.37845,35.73958,9564.73,5684.07,2.62,2.44,-51.7,-0.426,18.71,19.38,02a60690o0193o
60690.30392,20.464,0.98,24,23,o,0,1.4,14.37845,35.73958,9583.41,5567.86,2.52,2.32,-52.1,-0.44,18.76,19.3,02a60690o0224o
60691.331725,-19.656,0.439,-50,22,o,0,1.11,14.37845,35.73958,1000.04,4935.61,2.58,2.32,47.2,-0.407,18.81,19.28,01a60691o0054o
60691.334966,-20.592,1.633,-21,34,o,0,1.46,14.37845,35.73958,1018.75,4974.78,2.8,2.54,56.5,-0.416,18.22,18.77,01a60691o0061o
60691.33588,21.433,2.594,10,25,o,0,1.07,14.37845,35.73958,1014.18,4974.55,2.71,2.43,37.7,-0.387,18.74,19.23,01a60691o0063o
60691.342787,-19.721,0.513,-47,24,o,0,1.01,14.37845,35.73958,957.72,4893.9,2.59,2.41,43.4,-0.395,18.72,19.19,01a60691o0078o
60691.355679,-22.402,7.731,-4,31,o,0,0.89,14.37845,35.73958,935.99,5009.21,2.71,2.54,49.7,-0.398,18.61,19.09,01a60691o0106o
60693.337925,-20.696,1.102,-19,21,o,0,1.17,14.37845,35.73958,433.27,3195.43,2.27,2.24,-68.4,-0.409,18.69,19.41,02a60693o0281o
60693.341238,19.63,0.473,51,24,o,0,1.25,14.37845,35.73958,416.58,3151.68,2.59,2.28,-57.3,-0.394,18.6,19.33,02a60693o0288o
60693.346901,-20.524,1.174,-22,26,o,0,0.9,14.37845,35.73958,475.13,3230.94,2.49,2.4,-58.2,-0.389,18.52,19.22,02a60693o0300o
60694.254772,21.265,1.094,11,12,c,0,1.41,14.37845,35.73958,1628.73,9890.2,2.81,2.47,-53.4,-0.433,19.34,21.0,02a60694o0113c
60694.257946,20.625,0.593,20,12,c,0,1.28,14.37845,35.73958,1611.22,9849.48,2.83,2.5,-51.9,-0.431,19.31,21.01,02a60694o0120c
60694.264364,21.307,1.081,11,12,c,0,1.33,14.37845,35.73958,1667.43,9926.16,2.78,2.46,-51.3,-0.431,19.34,21.02,02a60694o0134c
60694.281913,21.941,2.069,6,13,c,0,1.35,14.37845,35.73958,1688.03,9806.14,3.02,2.68,-52.2,-0.428,19.24,20.97,02a60694o0172c
60695.262566,-22.041,2.196,-6,12,o,0,1.24,14.37845,35.73958,8871.07,643.92,2.37,2.22,-43.2,-0.477,19.34,20.36,01a60695o0128o
60695.265833,-22.291,2.541,-4,11,o,0,1.39,14.37845,35.73958,8890.75,682.29,2.39,2.23,-50.0,-0.471,19.36,20.34,01a60695o0135o
60695.273648,-21.601,1.766,-8,15,o,0,0.89,14.37845,35.73958,8834.01,607.05,2.52,2.31,-47.9,-0.466,19.3,20.33,01a60695o0152o
