MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60684.418763,21.008,0.95,14,14,o,0,1.23,131.26903,19.66637,88.61,855.75,2.41,2.33,51.9,-0.438,19.21,20.03,01a60684o0456o
60684.420591,21.013,0.786,14,11,o,0,1.44,131.26903,19.66637,68.13,816.5,2.49,2.39,65.9,-0.801,19.18,20.03,01a60684o0460o
60684.421961,22.794,4.625,3,13,o,0,1.22,131.26903,19.66637,10271.05,902.3,2.41,2.14,-44.9,-0.435,19.18,20.01,01a60684o0463o
60684.4238,-21.101,1.184,-13,16,o,0,0.97,131.26903,19.66637,126.31,895.75,2.4,2.27,56.6,-0.442,19.23,20.03,01a60684o0467o
60684.424719,21.497,1.76,9,16,o,0,1.03,131.26903,19.66637,10251.29,862.28,2.46,2.21,-49.3,-0.448,19.15,20.03,01a60684o0469o
60684.433233,22.832,5.476,3,15,o,0,0.84,131.26903,19.66637,146.89,779.55,2.5,2.36,75.8,-0.442,19.17,20.1,01a60684o0486o
60684.43508,20.922,1.105,16,17,o,0,1.26,131.26903,19.66637,10311.03,941.54,2.64,2.13,-49.6,-0.414,18.83,19.76,01a60684o0490o
60684.439815,-21.186,1.233,-12,15,o,0,1.26,131.26903,19.66637,10332.2,822.66,2.52,2.17,-51.7,-0.429,19.2,20.11,01a60684o0500o
60686.392986,20.339,0.797,27,21,o,0,1.39,131.26903,19.66637,4396.87,5327.74,2.3,2.03,24.5,-0.438,18.67,19.17,02a60686o0190o
60686.396168,22.238,4.892,5,23,o,0,1.27,131.26903,19.66637,4413.68,5366.5,2.28,2.04,30.3,-0.438,18.7,19.17,02a60686o0197o
60686.399337,-20.371,0.939,-26,24,o,0,0.98,131.26903,19.66637,4354.9,5288.91,2.31,2.07,24.8,-0.456,18.67,19.18,02a60686o0204o
60686.404781,-21.019,1.573,-14,22,o,0,1.12,131.26903,19.66637,4329.18,5404.53,2.48,2.26,19.1,-0.43,18.62,19.2,02a60686o0216o
60692.506327,20.838,1.149,17,19,o,0,1.05,131.26903,19.66637,4540.13,8047.58,2.62,2.27,49.9,-0.382,19.0,19.51,01a60692o0608o
60692.509536,-22.124,3.628,-5,19,o,0,1.12,131.26903,19.66637,4560.22,8086.53,2.61,2.28,48.9,-0.385,18.96,19.51,01a60692o0615o
60692.51766,21.532,1.836,9,16,o,0,1.51,131.26903,19.66637,4502.04,8008.07,2.66,2.28,50.5,-0.375,18.91,19.3,01a60692o0631o
60692.553514,-21.651,2.414,-8,19,o,0,0.98,131.26903,19.66637,4482.01,8119.89,2.86,2.44,47.9,-0.352,18.79,19.24,01a60692o0705o
60692.617622,-21.979,3.659,-6,22,o,0,1.65,131.26903,19.66637,8486.48,8414.38,2.65,2.47,52.8,-0.437,18.67,19.07,01a60692o0833o
60692.618079,21.41,2.451,10,24,o,0,1.14,131.26903,19.66637,8505.58,8453.09,2.6,2.44,48.4,-0.445,18.7,19.07,01a60692o0834o
60692.618536,23.937,25.857,1,25,o,0,1.03,131.26903,19.66637,8444.52,8375.43,2.59,2.42,48.1,-0.445,18.73,19.07,01a60692o0835o
60692.618993,20.627,1.0,20,20,o,0,1.28,131.26903,19.66637,8425.79,8492.56,2.62,2.47,51.8,-0.446,18.67,19.06,01a60692o0836o
60692.61945,20.985,1.72,15,25,o,0,1.19,131.26903,19.66637,8463.72,8433.67,2.55,2.41,49.1,-0.45,18.71,19.06,01a60692o0837o
60692.868531,21.157,2.301,12,29,o,0,1.1,131.26903,19.66637,2083.15,2088.14,2.45,2.2,-58.9,-0.392,18.39,18.87,03a60693o0199o
60692.868982,23.883,34.333,1,35,o,0,1.01,131.26903,19.66637,2064.96,2048.97,2.4,2.2,-54.9,-0.395,18.4,18.88,03a60693o0200o
60692.869432,-21.072,2.177,-14,30,o,0,1.1,131.26903,19.66637,2124.33,2127.58,2.42,2.22,-51.4,-0.398,18.37,18.87,03a60693o0201o
60692.869883,21.547,3.765,9,33,o,0,0.89,131.26903,19.66637,2145.94,2011.45,2.41,2.22,-55.1,-0.395,18.4,18.87,03a60693o0202o
60692.870333,-23.731,26.286,-1,31,o,0,1.32,131.26903,19.66637,2106.64,2069.08,2.37,2.19,-54.2,-0.4,18.4,18.87,03a60693o0203o
60693.522511,21.757,1.883,7,14,o,0,2.03,131.26903,19.66637,6011.84,2532.03,2.27,2.03,37.0,-0.42,19.08,19.84,02a60693o0667o
60693.525568,-21.775,1.627,-7,12,o,0,2.22,131.26903,19.66637,5991.43,2496.2,2.26,2.03,32.4,-0.425,19.05,19.83,02a60693o0673o
60693.531564,-22.224,3.475,-5,16,o,0,0.83,131.26903,19.66637,6049.88,2570.89,2.21,2.01,39.8,-0.429,19.08,19.77,02a60693o0686o
60693.567229,20.735,0.844,18,16,o,0,0.98,131.26903,19.66637,6068.76,2454.63,2.12,1.97,38.7,-0.43,19.02,19.7,02a60693o0758o
60694.498299,-20.437,0.646,-24,16,o,0,1.18,131.26903,19.66637,4411.34,9210.76,2.41,2.22,38.5,-0.407,19.2,20.17,02a60694o0629o
60694.501483,-20.229,0.514,-29,15,o,0,0.92,131.26903,19.66637,4395.56,9174.36,2.42,2.2,39.2,-0.404,19.19,20.19,02a60694o0636o
60694.506937,-21.507,1.762,-9,16,o,0,1.22,131.26903,19.66637,4451.75,9251.9,2.47,2.28,34.4,-0.403,19.14,20.18,02a60694o0648o
60694.538382,-22.787,5.227,-3,15,o,0,1.46,131.26903,19.66637,4462.58,9131.57,2.33,2.11,36.4,-0.408,19.23,20.2,02a60694o0710o
60695.462799,-21.439,1.234,-10,12,o,0,1.22,131.26903,19.66637,6102.54,1363.12,2.49,2.39,43.7,-0.433,19.37,20.38,01a60695o0543o
60695.468179,-21.403,1.551,-10,16,o,0,1.07,131.26903,19.66637,6122.55,1400.61,2.56,2.42,59.2,-0.421,19.32,20.39,01a60695o0553o
60695.496101,21.944,1.776,6,11,o,0,1.81,131.26903,19.66637,6067.87,1316.87,2.54,2.33,39.6,-0.431,19.32,20.31,01a60695o0611o
60695.498915,-21.335,1.299,-11,14,o,0,0.98,131.26903,19.66637,6048.69,1435.03,2.48,2.34,38.2,-0.437,19.33,20.31,01a60695o0617o
60696.49114,-20.79,0.736,-18,13,o,0,0.99,131.26903,19.66637,2345.35,9606.48,2.62,2.43,72.3,-0.415,19.39,20.62,01a60696o0604o
60696.494026,19.99,2.333,37,86,o,0,1.72,131.26903,19.66637,2365.1,9645.53,2.63,2.44,72.1,-0.414,17.21,17.99,01a60696o0610o
60696.520025,-26.042,92.0,0,13,o,0,0.91,131.26903,19.66637,2305.55,9563.13,2.65,2.44,73.5,-0.415,19.42,20.62,01a60696o0664o
