MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60687.491552,19.225,0.764,74,57,o,0,1.01,214.77721,42.45781,5852.67,1857.18,3.85,3.61,24.0,-0.357,17.54,18.44,02a60687o0546o
60687.513819,-19.371,0.603,-65,39,o,0,0.99,214.77721,42.45781,5871.48,1893.51,3.13,2.87,-9.0,-0.363,18.02,18.72,02a60687o0593o
60687.517022,-21.855,7.0,-7,46,o,0,1.07,214.77721,42.45781,5815.75,1816.31,3.37,3.23,3.0,-0.409,17.95,18.75,02a60687o0600o
60687.522479,20.238,1.659,29,48,o,0,0.89,214.77721,42.45781,5795.85,1931.94,3.93,3.45,-4.4,-0.359,17.92,18.83,02a60687o0612o
60690.569439,-20.776,1.398,-18,25,o,0,1.28,214.77721,42.45781,9732.08,2046.29,2.5,1.9,-55.3,-0.494,18.72,19.2,02a60690o0796o
60690.573257,21.175,1.946,12,24,o,0,1.28,214.77721,42.45781,9745.01,2084.54,2.41,2.0,-51.0,-0.485,18.63,19.22,02a60690o0803o
60690.593997,19.334,0.341,67,23,o,0,1.24,214.77721,42.45781,9685.81,2009.63,2.5,1.97,-55.0,-0.512,18.7,19.31,02a60690o0848o
60690.595817,21.47,2.541,9,24,o,0,1.04,214.77721,42.45781,154.69,2027.21,2.19,2.15,86.9,-0.441,18.74,19.28,02a60690o0852o
60690.599209,-20.285,0.731,-28,20,o,0,1.25,214.77721,42.45781,170.48,2066.8,2.03,2.02,-75.1,-0.465,18.8,19.31,02a60690o0858o
60690.601052,-22.923,8.714,-2,21,o,0,1.16,214.77721,42.45781,9664.45,2127.93,2.31,1.83,-57.7,-0.508,18.8,19.34,02a60690o0862o
60690.604723,-23.713,12.364,-1,15,o,0,1.58,214.77721,42.45781,112.5,1985.0,2.03,1.96,44.1,-0.457,18.79,19.33,02a60690o0870o
60690.62728,19.335,0.341,67,23,o,0,1.02,214.77721,42.45781,96.8,2100.13,2.16,2.13,50.1,-0.427,18.8,19.39,02a60690o0917o
60691.560913,-20.383,0.96,-26,24,o,0,0.79,214.77721,42.45781,9733.49,2046.16,2.26,1.63,-55.8,-0.503,18.88,19.38,02a60691o0777o
60691.564247,22.295,3.769,4,16,o,0,1.78,214.77721,42.45781,9749.0,2083.37,2.14,1.84,-52.1,-0.479,18.8,19.41,02a60691o0784o
60691.578132,20.192,0.607,30,18,o,0,1.31,214.77721,42.45781,9693.13,2009.67,2.14,1.62,-53.7,-0.52,18.94,19.46,02a60691o0814o
60691.583532,-20.695,0.888,-19,17,o,0,1.02,214.77721,42.45781,9669.69,2126.52,2.18,1.65,-54.1,-0.513,18.98,19.5,02a60691o0825o
60691.583987,-19.923,0.451,-39,18,o,0,0.94,214.77721,42.45781,157.25,2027.32,1.9,1.82,-71.5,-0.467,18.97,19.48,02a60691o0826o
60691.596801,-22.079,2.571,-5,14,o,0,1.66,214.77721,42.45781,175.58,2067.96,1.9,1.84,-59.5,-0.463,19.01,19.56,02a60691o0854o
60691.600913,-23.392,9.118,-2,15,o,0,1.22,214.77721,42.45781,118.88,1987.24,1.88,1.86,-54.9,-0.458,18.97,19.58,02a60691o0863o
60691.610812,-21.218,1.628,-12,19,o,0,1.35,214.77721,42.45781,92.06,2100.4,1.99,1.72,32.6,-0.443,19.01,19.63,02a60691o0884o
60693.602976,21.26,1.312,11,15,o,0,1.03,214.77721,42.45781,6994.09,6006.07,3.05,2.51,44.5,-0.326,19.12,20.07,01a60693o0852o
60693.605796,21.824,2.34,7,16,o,0,0.73,214.77721,42.45781,6974.53,5967.35,2.79,2.43,44.2,-0.357,19.21,20.09,01a60693o0858o
60693.611008,20.529,0.57,22,13,o,0,1.14,214.77721,42.45781,7031.6,6045.03,3.13,2.52,43.8,-0.315,19.13,20.11,01a60693o0869o
60693.620865,-22.796,4.35,-3,12,o,0,1.6,214.77721,42.45781,7049.95,5928.1,2.87,2.45,42.5,-0.351,19.18,20.12,01a60693o0890o
60695.607626,23.309,7.769,2,13,o,0,1.52,214.77721,42.45781,9813.6,7975.9,2.32,2.1,-49.9,-0.454,19.26,20.16,02a60695o0858o
60695.610798,20.359,0.552,26,14,o,0,1.33,214.77721,42.45781,9833.75,8015.17,2.29,2.06,-50.8,-0.455,19.28,20.17,02a60695o0865o
60695.616297,-21.732,2.404,-7,18,o,0,0.85,214.77721,42.45781,9768.91,7941.25,2.22,2.17,-57.0,-0.444,19.3,20.19,02a60695o0877o
60695.621356,19.848,0.368,42,15,o,0,1.07,214.77721,42.45781,9752.46,8059.84,2.27,2.09,-47.4,-0.451,19.32,20.22,02a60695o0888o
60697.491755,22.802,5.187,3,14,o,0,1.58,214.77721,42.45781,4827.17,2294.48,2.95,2.66,31.7,-0.404,19.1,20.32,01a60697o0560o
60697.493969,-19.783,2.042,-44,90,o,0,1.54,214.77721,42.45781,5818.45,8264.15,2.63,2.4,23.7,-0.407,16.88,18.03,02a60697o0561o
60697.49615,20.952,1.097,15,17,o,0,0.81,214.77721,42.45781,4827.59,2292.62,2.75,2.64,29.1,-0.431,19.19,20.35,01a60697o0568o
60697.506933,-18.07,5.943,-215,1276,o,0,1.56,214.77721,42.45781,5816.12,8260.78,2.61,2.46,30.0,-0.41,14.62,15.34,02a60697o0587o
60699.606686,21.147,1.044,13,13,o,0,0.9,214.77721,42.45781,9937.25,9933.72,2.42,2.04,-54.1,-0.459,19.43,20.81,02a60699o0851o
