MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60684.223018,-21.145,1.684,-13,21,o,0,1.15,343.71325,29.27153,5350.89,1236.69,2.89,2.7,32.4,-0.426,18.84,19.55,01a60684o0046o
60684.226246,22.361,5.385,4,22,o,0,0.93,343.71325,29.27153,5371.34,1276.61,2.75,2.63,-7.7,-0.45,18.85,19.55,01a60684o0053o
60684.231825,22.136,3.5,5,18,o,0,1.21,343.71325,29.27153,5310.94,1198.47,2.91,2.66,46.3,-0.401,18.81,19.55,01a60684o0065o
60684.246589,22.439,5.85,4,22,o,0,1.02,343.71325,29.27153,5288.73,1315.82,3.04,2.98,53.7,-0.405,18.7,19.46,01a60684o0097o
60685.231075,-20.785,1.308,-18,23,o,0,0.89,343.71325,29.27153,5151.31,9317.36,2.23,2.03,34.2,-0.413,18.78,19.19,02a60685o0020o
60685.235182,19.004,0.794,91,72,o,0,1.25,343.71325,29.27153,5130.29,9279.07,2.3,2.07,34.2,-0.413,18.71,19.12,02a60685o0029o
60685.241117,19.82,0.68,43,29,o,0,0.94,343.71325,29.27153,5188.42,9356.0,2.22,2.06,33.3,-0.417,18.67,19.01,02a60685o0042o
60685.253491,20.17,0.883,31,27,o,0,1.75,343.71325,29.27153,5205.13,9239.13,2.37,2.27,20.9,-0.408,18.49,18.99,02a60685o0069o
60686.212692,-19.947,0.581,-38,22,o,0,1.58,343.71325,29.27153,4447.2,3505.87,2.35,2.26,30.4,-0.434,18.59,19.11,02a60686o0030o
60686.216844,-19.986,0.578,-37,21,o,0,1.81,343.71325,29.27153,4429.8,3466.09,2.63,2.51,33.7,-0.415,18.51,19.21,02a60686o0039o
60686.222344,-16.319,0.561,-1078,604,o,0,0.75,343.71325,29.27153,4487.66,3542.81,2.63,2.57,33.5,-0.399,16.27,17.44,02a60686o0051o
60686.232442,21.54,5.1,9,45,o,0,0.95,343.71325,29.27153,4506.94,3425.6,2.45,2.35,33.7,-0.419,17.99,18.76,02a60686o0073o
60688.217115,-19.5,5.04,-58,290,o,0,2.16,343.71325,29.27153,9518.91,3446.47,3.01,2.91,-43.3,-0.376,14.97,15.56,01a60688o0037o
60689.213945,20.312,1.133,27,31,o,0,1.19,343.71325,29.27153,1027.3,7138.15,2.44,2.42,-43.1,-0.419,18.3,18.73,02a60689o0029o
60689.218063,-23.406,20.556,-2,32,o,0,1.36,343.71325,29.27153,1008.84,7100.15,2.6,2.58,-6.8,-0.401,18.33,18.86,02a60689o0038o
60689.223991,22.44,7.458,4,29,o,0,1.83,343.71325,29.27153,1065.28,7174.05,2.53,2.34,-46.7,-0.424,18.36,18.86,02a60689o0051o
60689.2455,21.03,3.129,14,44,o,0,0.76,343.71325,29.27153,1085.91,7055.17,2.52,2.42,-44.3,-0.42,18.17,18.65,02a60689o0098o
60690.213962,21.374,1.849,10,19,o,0,1.28,343.71325,29.27153,324.39,3258.33,2.22,2.04,-60.4,-0.411,18.79,19.32,02a60690o0028o
60690.217587,21.356,1.809,10,19,o,0,1.01,343.71325,29.27153,302.81,3218.87,2.18,2.01,-59.3,-0.426,18.85,19.52,02a60690o0036o
60690.221249,-19.859,0.521,-41,22,o,0,0.92,343.71325,29.27153,10335.64,3280.11,2.57,1.79,-55.7,-0.501,19.0,19.63,02a60690o0044o
60690.223069,20.756,1.223,18,22,o,0,0.88,343.71325,29.27153,364.53,3294.34,2.19,1.98,-60.0,-0.411,18.84,19.47,02a60690o0048o
60690.224882,-21.473,1.765,-9,16,o,0,2.25,343.71325,29.27153,10315.25,3240.26,2.59,1.81,-56.4,-0.504,18.94,19.56,02a60690o0052o
60690.231828,-19.866,0.631,-41,26,o,0,0.96,343.71325,29.27153,10372.7,3318.08,2.62,1.81,-56.1,-0.51,18.87,19.41,02a60690o0067o
60690.235028,21.838,3.14,7,21,o,0,1.61,343.71325,29.27153,380.12,3175.74,2.16,2.04,-57.7,-0.407,18.69,19.2,02a60690o0074o
60690.242301,-20.575,1.389,-21,30,o,0,0.86,343.71325,29.27153,10393.73,3200.0,2.66,1.83,-55.5,-0.5,18.75,19.22,02a60690o0090o
