MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60685.239718,-23.67,17.444,-1,22,o,0,1.21,356.38176,45.67894,8641.93,10090.99,2.48,2.37,-68.0,-0.428,18.62,19.1,01a60685o0080o
60685.242964,19.982,0.875,37,32,o,0,1.21,356.38176,45.67894,8662.98,10131.81,2.61,2.35,61.8,-0.414,18.27,18.57,01a60685o0087o
60685.249015,-21.432,6.068,-10,59,o,0,1.85,356.38176,45.67894,8599.72,10055.75,2.68,2.41,61.5,-0.42,17.59,17.65,01a60685o0100o
60685.266282,-19.431,0.642,-61,39,o,0,1.05,356.38176,45.67894,8577.28,10177.04,2.57,2.36,-68.1,-0.422,17.96,18.32,01a60685o0137o
60687.270287,19.919,0.628,39,25,o,0,1.58,356.38176,45.67894,1987.43,4812.8,2.56,2.4,59.0,-0.438,18.41,18.96,02a60687o0114o
60687.273483,-19.114,0.397,-82,33,o,0,0.82,356.38176,45.67894,1970.7,4774.0,2.6,2.51,-0.5,-0.446,18.37,18.93,02a60687o0121o
60687.279931,19.736,0.676,46,31,o,0,1.02,356.38176,45.67894,2026.14,4849.37,2.67,2.61,7.4,-0.432,18.29,18.9,02a60687o0135o
60687.291944,-20.294,1.208,-28,33,o,0,1.02,356.38176,45.67894,2047.55,4732.1,2.86,2.84,-27.3,-0.425,18.14,18.81,02a60687o0161o
60688.281929,0.0,0.0,0,0,o,0,-2.0,356.38176,45.67894,2539.41,2172.06,3.02,2.79,41.7,-0.426,13.47,13.21,01a60688o0177o
60691.237233,-22.722,4.269,-3,13,o,0,1.59,356.38176,45.67894,7837.05,4522.02,2.12,2.0,35.2,-0.43,19.36,20.42,02a60691o0077o
60691.24046,21.548,1.244,9,11,o,0,1.58,356.38176,45.67894,7818.86,4481.02,2.11,1.97,36.6,-0.429,19.39,20.44,02a60691o0084o
60691.246574,21.399,1.348,10,14,o,0,1.3,356.38176,45.67894,7874.65,4559.3,2.11,1.97,46.1,-0.43,19.36,20.38,02a60691o0097o
60691.25775,-23.012,6.15,-2,14,o,0,0.99,356.38176,45.67894,7894.4,4441.19,2.13,1.97,35.9,-0.426,19.2,19.97,02a60691o0121o
60693.287566,-21.153,1.259,-13,16,o,0,1.23,356.38176,45.67894,2344.68,8473.79,2.78,2.59,56.8,-0.389,19.18,20.24,01a60693o0178o
