MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60685.807752,-21.354,1.788,-10,19,o,0,1.33,41.93204,-42.47832,4316.28,3644.89,2.23,1.99,-59.2,-0.431,19.0,19.87,03a60686o0061o
60685.810956,-20.549,0.892,-22,20,o,0,1.09,41.93204,-42.47832,4335.31,3684.1,2.31,2.06,-59.1,-0.421,18.98,19.86,03a60686o0068o
60685.816939,-20.808,1.051,-17,18,o,0,1.4,41.93204,-42.47832,4278.59,3605.38,2.35,2.12,-56.1,-0.423,18.95,19.87,03a60686o0081o
60685.828451,21.32,1.417,11,15,o,0,1.8,41.93204,-42.47832,4260.2,3721.01,2.37,2.16,-56.8,-0.413,18.96,19.84,03a60686o0105o
60688.183178,19.868,1.564,41,64,o,0,0.85,41.93204,-42.47832,747.7,10346.08,3.04,1.99,-78.5,-0.374,17.87,18.17,04a60688o0121o
60688.206607,18.751,1.153,115,132,o,0,1.12,41.93204,-42.47832,768.25,10388.04,2.93,1.96,-75.7,-0.361,16.99,17.32,04a60688o0171o
60688.225173,17.638,0.511,320,164,o,0,1.34,41.93204,-42.47832,713.61,10313.02,3.17,1.99,-77.6,-0.342,16.51,16.46,04a60688o0210o
60688.240474,-17.902,0.581,-251,146,o,0,1.15,41.93204,-42.47832,694.11,10434.72,2.96,2.04,-73.7,-0.366,16.34,16.2,04a60688o0242o
60693.796875,21.098,1.134,13,15,o,0,1.6,41.93204,-42.47832,8091.39,9980.19,2.82,2.29,-49.6,-0.422,19.28,20.66,03a60694o0042o
60693.800504,-19.869,0.324,-41,13,o,0,1.89,41.93204,-42.47832,8110.88,10020.47,2.8,2.15,-47.3,-0.441,19.41,20.79,03a60694o0050o
60693.807347,-19.837,0.313,-42,13,o,0,1.58,41.93204,-42.47832,8059.45,9939.66,2.79,2.27,-45.8,-0.427,19.39,20.88,03a60694o0065o
60693.818018,-20.029,0.444,-35,16,o,0,1.08,41.93204,-42.47832,8039.04,10054.63,2.79,2.29,-52.0,-0.419,19.34,20.84,03a60694o0088o
60696.053053,-22.256,2.682,-4,12,c,0,1.82,41.93204,-42.47832,8146.47,7946.75,2.62,2.24,-60.7,-0.423,19.57,21.69,04a60696o0056c
60696.066834,-22.357,2.727,-4,11,c,0,1.41,41.93204,-42.47832,8167.46,7988.41,2.43,2.14,-56.3,-0.452,19.61,21.72,04a60696o0086c
60696.070112,-24.502,16.667,-1,10,c,0,1.95,41.93204,-42.47832,8112.55,7910.38,2.65,2.23,-58.0,-0.41,19.59,21.73,04a60696o0093c
60696.075425,20.6,0.528,21,11,c,0,2.13,41.93204,-42.47832,8090.86,8025.16,2.51,2.14,-60.9,-0.438,19.58,21.75,04a60696o0104c
60697.795935,19.784,0.276,44,12,o,0,1.58,41.93204,-42.47832,5077.17,1629.09,2.25,2.04,-51.8,-0.424,19.37,20.8,03a60698o0043o
60697.799114,-20.661,0.607,-20,12,o,0,1.7,41.93204,-42.47832,5096.69,1668.19,2.26,2.05,-52.0,-0.427,19.41,20.83,03a60698o0050o
60697.812664,-20.647,0.604,-20,12,o,0,1.67,41.93204,-42.47832,5040.08,1589.17,2.25,2.04,-51.3,-0.423,19.37,20.87,03a60698o0079o
