MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60684.560108,-21.201,0.979,-12,12,o,0,1.28,184.14481,33.52653,5364.38,7378.37,2.64,2.38,56.4,-0.378,19.59,20.92,01a60684o0749o
60684.561937,21.167,1.0,12,12,o,0,0.74,184.14481,33.52653,5343.91,7338.48,2.62,2.35,55.6,-0.383,19.62,20.93,01a60684o0753o
60684.577434,22.222,3.263,5,15,o,0,0.47,184.14481,33.52653,5402.76,7416.88,2.65,2.34,53.7,-0.374,19.65,21.06,01a60684o0785o
60684.595505,-20.916,0.952,-16,15,o,0,0.47,184.14481,33.52653,5422.56,7302.68,2.76,2.34,51.4,-0.366,19.65,21.06,01a60684o0823o
60686.538722,-25.322,99.0,0,27,o,0,0.81,184.14481,33.52653,337.75,8932.42,2.41,2.16,-1.6,-0.412,18.87,19.59,02a60686o0275o
60686.541583,-21.25,2.797,-12,32,o,0,0.71,184.14481,33.52653,356.41,8972.44,3.11,2.47,2.1,-0.402,18.67,19.63,02a60686o0281o
60686.567242,-21.056,3.525,-14,48,o,0,0.81,184.14481,33.52653,291.82,8893.0,2.96,2.54,-9.8,-0.396,18.46,19.41,02a60686o0335o
60686.570883,20.556,5.186,22,113,o,0,1.11,184.14481,33.52653,10415.19,8944.25,3.96,3.06,-11.3,-0.386,17.68,18.78,02a60686o0343o
60686.572239,-19.994,2.25,-36,82,o,0,0.7,184.14481,33.52653,10414.85,8944.7,3.2,2.67,-44.1,-0.394,17.85,18.57,02a60686o0346o
60686.572693,20.161,2.062,31,65,o,0,0.68,184.14481,33.52653,273.48,9009.95,2.48,2.23,-45.9,-0.412,17.98,18.63,02a60686o0347o
60686.574052,-20.453,1.494,-24,36,o,0,1.15,184.14481,33.52653,10434.63,8983.88,3.13,2.54,-54.1,-0.403,18.22,19.15,02a60686o0350o
60687.631425,21.754,3.957,7,29,o,0,0.54,184.14481,33.52653,328.16,8939.39,2.5,2.34,-39.4,-0.451,18.83,19.69,02a60687o0845o
60687.648553,-20.008,0.741,-36,27,o,0,0.72,184.14481,33.52653,10209.54,1600.05,2.7,2.14,-45.2,-0.469,18.87,19.8,02a60687o0881o
60687.668992,-23.529,19.0,-1,27,o,0,0.79,184.14481,33.52653,10263.72,1676.64,3.0,2.56,-55.3,-0.448,18.86,20.02,02a60687o0922o
60687.671806,20.845,1.466,17,24,o,0,0.89,184.14481,33.52653,10282.49,1558.74,2.75,2.19,-57.8,-0.465,18.94,19.9,02a60687o0928o
60690.525533,-21.791,4.849,-7,34,o,0,0.95,184.14481,33.52653,4436.88,9277.25,2.33,2.16,31.8,-0.415,18.58,18.96,02a60690o0703o
60690.527346,21.311,3.047,11,33,o,0,1.12,184.14481,33.52653,4457.84,9316.29,2.3,2.13,33.2,-0.404,18.6,18.97,02a60690o0707o
60690.531002,-20.288,1.238,-28,34,o,0,1.1,184.14481,33.52653,4396.25,9237.93,2.28,2.09,35.9,-0.413,18.62,18.98,02a60690o0715o
60690.54694,21.412,3.151,10,31,o,0,0.89,184.14481,33.52653,4372.86,9356.5,2.37,2.21,38.9,-0.403,18.63,19.05,02a60690o0748o
60691.519919,21.427,2.565,10,25,o,0,0.91,184.14481,33.52653,6182.83,1279.47,2.85,2.51,45.5,-0.373,18.66,19.14,01a60691o0457o
60691.521747,19.894,0.562,40,22,o,0,1.11,184.14481,33.52653,6160.48,1239.74,2.26,2.18,57.7,-0.469,18.82,19.14,01a60691o0461o
60691.524572,21.148,1.909,13,24,o,0,0.84,184.14481,33.52653,6221.29,1319.28,2.25,2.14,54.2,-0.472,18.85,19.16,01a60691o0467o
60691.529703,21.356,2.743,10,29,o,0,0.92,184.14481,33.52653,6239.72,1203.21,2.63,2.52,55.4,-0.432,18.7,19.17,01a60691o0478o
60691.635498,-23.151,12.0,-2,24,o,0,0.82,184.14481,33.52653,6129.06,1288.58,1.92,1.8,32.2,-0.441,18.86,19.27,02a60691o0937o
60691.663793,-24.317,31.286,-1,21,o,0,0.87,184.14481,33.52653,6102.54,1246.31,2.03,1.85,25.7,-0.426,18.86,19.36,02a60691o0996o
60691.666666,24.379,33.857,1,22,o,0,0.7,184.14481,33.52653,6165.4,1324.36,1.89,1.86,9.8,-0.435,18.9,19.31,02a60691o1002o
60691.675673,-20.702,2.236,-19,43,o,0,0.91,184.14481,33.52653,6182.6,1208.38,1.91,1.88,47.0,-0.414,18.07,18.11,02a60691o1020o
60692.527509,-20.421,1.192,-25,29,o,0,0.66,184.14481,33.52653,6194.29,9040.43,2.73,2.41,57.5,-0.397,18.79,19.2,01a60692o0650o
60692.530335,-19.668,0.59,-49,29,o,0,0.73,184.14481,33.52653,6175.75,9001.39,2.75,2.47,58.8,-0.403,18.74,19.21,01a60692o0656o
60692.533076,-20.6,1.361,-21,28,o,0,0.67,184.14481,33.52653,6231.4,9080.21,2.67,2.41,61.7,-0.405,18.79,19.22,01a60692o0662o
60692.562276,-21.656,2.852,-8,22,o,0,1.13,184.14481,33.52653,6249.35,8958.85,2.65,2.4,54.0,-0.398,18.85,19.3,01a60692o0720o
60693.506214,-19.801,0.539,-44,24,o,0,0.95,184.14481,33.52653,4413.54,1515.31,2.06,2.01,50.7,-0.439,18.88,19.45,02a60693o0636o
60693.508041,-20.295,0.712,-28,20,o,0,1.34,184.14481,33.52653,4432.04,1554.48,2.19,2.1,50.6,-0.441,18.83,19.45,02a60693o0640o
60693.510787,-25.563,124.0,0,27,o,0,0.55,184.14481,33.52653,4374.53,1476.05,2.03,1.99,56.0,-0.442,18.88,19.46,02a60693o0646o
