MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60682.111515,20.246,0.72,29,21,o,0,1.27,60.84,-35.02671,9257.43,7869.77,2.43,1.89,1.3,-0.417,19.24,20.47,04a60682o0176o
60682.114864,19.801,0.405,44,18,o,0,1.04,60.84,-35.02671,9276.75,7909.45,2.4,1.9,0.3,-0.423,19.25,20.44,04a60682o0183o
60682.131572,19.625,0.35,51,18,o,0,1.36,60.84,-35.02671,9200.06,7946.2,2.28,1.81,-0.2,-0.434,19.24,20.38,04a60682o0218o
60682.864291,20.037,0.556,35,20,o,0,0.86,60.84,-35.02671,9165.43,7978.24,3.01,2.4,-52.7,-0.389,19.07,20.34,03a60683o0184o
60682.867557,19.297,0.269,69,19,o,0,1.02,60.84,-35.02671,9184.27,8017.97,3.26,2.61,-43.4,-0.392,18.96,20.33,03a60683o0191o
60682.872687,20.815,1.056,17,18,o,0,1.11,60.84,-35.02671,9130.21,7937.31,3.3,2.63,-55.1,-0.374,18.95,20.32,03a60683o0202o
60682.883696,20.275,0.618,28,17,o,0,1.09,60.84,-35.02671,9112.19,8053.23,2.97,2.3,-50.9,-0.397,19.07,20.27,03a60683o0226o
60683.874128,20.586,0.706,21,15,o,0,1.05,60.84,-35.02671,9802.12,3948.18,2.45,1.98,-60.3,-0.387,19.09,20.12,03a60684o0205o
60683.876894,19.804,0.353,44,15,o,0,1.08,60.84,-35.02671,9822.41,3988.29,2.45,1.95,-58.6,-0.376,19.12,20.12,03a60684o0211o
60683.882513,19.875,0.422,41,17,o,0,0.94,60.84,-35.02671,9766.12,3906.65,2.46,1.97,-59.7,-0.381,19.1,20.09,03a60684o0223o
60683.897931,20.658,0.85,20,17,o,0,0.84,60.84,-35.02671,9745.65,4022.14,2.51,1.97,-59.9,-0.383,19.09,20.09,03a60684o0255o
60685.115547,19.81,0.443,43,19,o,0,1.02,60.84,-35.02671,9793.47,3814.39,2.62,1.99,-21.8,-0.412,18.9,19.73,04a60685o0184o
60685.121468,19.561,0.556,54,30,o,0,1.02,60.84,-35.02671,9814.5,3855.77,2.57,1.99,-21.7,-0.428,18.93,19.72,04a60685o0196o
