MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60683.311481,18.597,0.101,132,13,o,0,0.85,177.12212,3.66612,1186.74,6487.81,2.14,1.81,-84.3,-0.413,19.29,20.62,04a60683o0606o
60683.316927,18.77,0.105,113,12,o,0,1.21,177.12212,3.66612,1245.53,6565.27,2.11,1.81,-76.8,-0.425,19.35,20.67,04a60683o0618o
60683.324661,18.428,0.088,154,14,o,0,1.33,177.12212,3.66612,1267.17,6449.25,2.18,1.84,-73.3,-0.419,19.31,20.62,04a60683o0635o
60684.508049,18.536,0.301,140,42,o,0,1.53,177.12212,3.66612,8115.87,10191.41,2.29,1.95,-58.4,-0.45,17.74,18.29,02a60684o0656o
60684.531388,19.564,1.031,54,56,o,0,0.88,177.12212,3.66612,8125.11,10232.62,2.25,1.97,-61.5,-0.452,17.51,18.3,02a60684o0706o
60684.53459,18.815,0.355,108,38,o,0,0.82,177.12212,3.66612,8066.89,10153.73,2.35,2.07,-58.8,-0.443,18.51,19.47,02a60684o0713o
60684.546974,-20.58,2.571,-21,55,o,0,1.0,177.12212,3.66612,8041.62,10271.64,2.41,1.87,-59.4,-0.452,18.11,19.09,02a60684o0740o
60684.573693,21.961,3.262,6,20,o,0,1.62,177.12212,3.66612,2848.62,47.89,1.89,1.7,-77.0,-0.458,19.32,20.52,02a60684o0798o
60685.056016,18.335,0.081,168,14,c,0,0.75,177.12212,3.66612,2536.86,328.33,2.49,2.39,-60.8,-0.377,19.5,21.4,03a60685o0589c
60685.061031,18.266,0.061,179,11,c,0,1.38,177.12212,3.66612,2518.85,288.26,2.36,2.25,-64.0,-0.386,19.56,21.41,03a60685o0600c
60685.06466,18.435,0.073,154,11,c,0,1.45,177.12212,3.66612,2578.14,368.87,2.36,2.24,-58.5,-0.386,19.54,21.41,03a60685o0608c
60685.072824,18.311,0.063,172,11,c,0,1.45,177.12212,3.66612,2604.31,251.37,2.41,2.35,-56.2,-0.38,19.45,21.41,03a60685o0626c
60687.285922,19.677,3.137,49,153,o,0,0.98,177.12212,3.66612,7317.85,4765.82,2.2,1.92,-23.2,-0.471,17.09,17.31,04a60687o0556o
60687.299581,17.824,0.353,269,95,o,0,1.37,177.12212,3.66612,7298.05,4727.91,2.16,1.92,-19.2,-0.464,17.32,17.62,04a60687o0586o
60687.303215,18.46,0.729,150,109,o,0,1.32,177.12212,3.66612,7356.58,4805.45,2.2,1.94,-15.0,-0.441,16.97,17.01,04a60687o0594o
60687.310146,-16.576,0.62,-850,527,o,0,1.15,177.12212,3.66612,7377.14,4689.86,2.16,1.92,-19.1,-0.458,15.97,16.73,04a60687o0609o
60689.025266,18.796,0.313,110,34,o,0,0.91,177.12212,3.66612,3168.94,8278.85,2.3,2.11,-50.5,-0.381,18.39,18.67,03a60689o0539o
60689.044382,18.604,0.186,131,24,o,0,1.55,177.12212,3.66612,3153.54,8240.81,2.25,2.06,-50.8,-0.39,18.53,18.75,03a60689o0580o
60689.048006,18.703,0.264,120,32,o,0,0.74,177.12212,3.66612,3210.58,8319.37,2.29,2.11,-56.2,-0.531,18.51,18.77,03a60689o0588o
60689.052519,18.67,0.237,124,29,o,0,1.41,177.12212,3.66612,3234.63,8202.64,2.32,2.11,-49.9,-0.374,18.5,18.79,03a60689o0598o
60690.489196,19.115,0.281,82,23,o,0,1.11,177.12212,3.66612,3128.93,4453.85,2.62,2.37,44.5,-0.411,18.68,18.9,01a60690o0621o
60690.491511,19.4,0.376,63,24,o,0,1.23,177.12212,3.66612,3115.38,4420.21,3.15,2.62,42.2,-0.359,18.54,18.91,01a60690o0626o
60690.494722,19.27,0.385,71,27,o,0,0.87,177.12212,3.66612,3171.45,4495.98,2.75,2.47,42.7,-0.411,18.59,18.92,01a60690o0633o
60690.50485,19.293,0.324,70,23,o,0,1.12,177.12212,3.66612,3192.69,4381.11,2.62,2.32,39.8,-0.402,18.68,18.96,01a60690o0655o
60696.553306,18.792,0.321,110,36,o,0,1.33,177.12212,3.66612,10071.12,10106.06,2.52,1.83,-60.1,-0.463,18.45,18.95,02a60696o0754o
60696.557004,-18.181,0.38,-194,74,o,0,0.97,177.12212,3.66612,10088.67,10146.17,2.41,1.81,-62.4,-0.487,17.81,18.14,02a60696o0762o
60696.559736,20.408,1.85,25,46,o,0,0.87,177.12212,3.66612,10028.39,10068.12,2.4,1.85,-62.4,-0.472,18.17,18.62,02a60696o0768o
60696.595004,18.984,0.203,92,19,o,0,1.12,177.12212,3.66612,10009.99,10191.94,2.47,1.79,-60.4,-0.463,18.97,19.74,02a60696o0843o
60698.542092,19.332,0.148,67,10,o,0,1.35,177.12212,3.66612,5562.2,6785.99,3.02,2.73,33.6,-0.349,19.46,20.95,01a60698o0594o
60698.544844,19.411,0.188,62,12,o,0,0.98,177.12212,3.66612,5541.43,6746.91,3.05,2.76,34.7,-0.349,19.41,20.95,01a60698o0600o
60698.569583,19.384,0.183,64,12,o,0,1.03,177.12212,3.66612,5599.59,6824.67,3.09,2.75,32.0,-0.343,19.41,20.9,01a60698o0651o
60698.572375,19.176,0.163,78,13,o,0,0.85,177.12212,3.66612,5619.54,6709.33,3.06,2.79,36.9,-0.353,19.41,20.9,01a60698o0657o
60699.169015,19.191,0.188,76,14,c,0,1.03,177.12212,3.66612,5480.22,6790.59,2.25,2.01,-55.8,-0.381,19.08,20.76,04a60699o0314c
60699.193773,19.236,0.183,73,14,c,0,0.94,177.12212,3.66612,5459.47,6753.68,2.27,1.93,-61.1,-0.395,19.23,20.9,04a60699o0368c
60699.207327,19.165,0.147,78,12,c,0,1.1,177.12212,3.66612,5519.61,6831.77,2.4,1.97,-66.8,-0.404,19.29,20.97,04a60699o0397c
60699.218838,18.928,0.129,97,13,c,0,1.46,177.12212,3.66612,5540.51,6717.53,2.45,1.95,-67.4,-0.405,19.31,20.96,04a60699o0421c
60699.916806,18.986,0.187,92,17,o,0,0.83,177.12212,3.66612,9239.26,3932.78,2.66,2.11,-58.6,-0.379,18.95,20.3,03a60700o0309o
60699.917257,19.035,0.179,88,16,o,0,1.37,177.12212,3.66612,9223.4,3893.46,2.27,2.05,-52.0,-0.412,19.08,20.3,03a60700o0310o
60699.917708,19.41,0.232,62,14,o,0,1.71,177.12212,3.66612,9280.28,3971.99,2.26,2.03,-50.9,-0.418,19.08,20.29,03a60700o0311o
60699.918158,19.049,0.2,87,18,o,0,1.08,177.12212,3.66612,9300.46,3856.26,2.32,2.12,-50.4,-0.418,19.02,20.3,03a60700o0312o
60699.918609,19.361,0.274,65,18,o,0,1.09,177.12212,3.66612,9261.55,3913.33,2.48,2.24,-46.6,-0.396,19.01,20.3,03a60700o0313o
60700.168724,19.376,0.232,64,15,c,0,1.5,177.12212,3.66612,9218.0,3847.12,2.63,2.05,-20.8,-0.385,18.97,20.56,04a60700o0307c
60700.169175,19.197,0.232,76,18,c,0,1.23,177.12212,3.66612,9201.13,3808.33,2.59,2.39,-18.1,-0.364,18.96,20.56,04a60700o0308c
60700.169626,18.878,0.143,102,14,c,0,1.65,177.12212,3.66612,9260.18,3885.5,2.68,2.47,-17.3,-0.352,18.96,20.56,04a60700o0309c
60700.170076,18.963,0.183,94,17,c,0,1.39,177.12212,3.66612,9277.84,3769.2,2.65,2.49,-15.9,-0.359,18.94,20.57,04a60700o0310c
60700.170527,19.539,0.259,56,14,c,0,1.42,177.12212,3.66612,9240.19,3827.43,2.64,2.43,-17.1,-0.366,18.94,20.58,04a60700o0311c
60700.516047,19.294,0.159,70,11,c,0,1.18,177.12212,3.66612,9965.78,8138.46,2.58,2.5,-56.9,-0.414,19.64,21.45,02a60700o0682c
60700.517858,19.145,0.15,80,12,c,0,1.14,177.12212,3.66612,9985.86,8178.66,2.58,2.52,-47.4,-0.413,19.63,21.45,02a60700o0686c
60700.528401,19.342,0.18,66,12,c,0,1.06,177.12212,3.66612,9923.37,8101.57,2.6,2.55,-50.4,-0.407,19.62,21.46,02a60700o0707c
60700.531584,19.092,0.138,84,12,c,0,1.18,177.12212,3.66612,9902.15,8219.31,2.61,2.54,-54.7,-0.405,19.56,21.43,02a60700o0714c
60700.987156,18.818,0.134,108,14,o,0,1.02,177.12212,3.66612,627.21,2324.1,2.37,2.13,-70.5,-0.398,19.27,20.62,03a60701o0481o
60700.988957,19.007,0.126,91,11,o,0,2.06,177.12212,3.66612,608.23,2284.39,2.38,2.16,-69.6,-0.402,19.27,20.63,03a60701o0485o
60700.992121,18.937,0.139,97,13,o,0,1.87,177.12212,3.66612,665.85,2363.45,2.37,2.16,-67.0,-0.398,19.25,20.63,03a60701o0492o
