MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60682.445394,-22.306,3.111,-4,14,o,0,1.88,128.02037,21.62807,7344.87,9975.1,2.19,2.09,-70.4,-0.439,19.41,20.55,02a60682o0533o
60682.447202,20.373,0.498,26,13,o,0,2.08,128.02037,21.62807,7365.93,10014.54,2.23,2.11,-75.9,-0.44,19.45,20.56,02a60682o0537o
60682.451379,20.362,0.525,26,14,o,0,2.1,128.02037,21.62807,7307.21,9937.9,2.24,2.18,81.9,-0.437,19.44,20.6,02a60682o0546o
60682.470817,-19.802,0.327,-44,14,o,0,1.7,128.02037,21.62807,7282.55,10059.45,2.29,2.2,81.3,-0.433,19.44,20.73,02a60682o0584o
60684.418763,19.802,0.35,44,15,o,0,1.48,128.02037,21.62807,6027.99,4675.78,2.67,2.37,42.8,-0.387,19.21,20.03,01a60684o0456o
60684.420591,20.873,0.877,16,14,o,0,1.76,128.02037,21.62807,6008.82,4636.8,2.7,2.43,46.9,-0.393,19.18,20.03,01a60684o0460o
60684.4238,-21.703,1.917,-8,14,o,0,1.28,128.02037,21.62807,6064.42,4714.71,2.63,2.35,43.1,-0.391,19.23,20.03,01a60684o0467o
60684.433233,-20.515,0.612,-23,14,o,0,1.99,128.02037,21.62807,6086.43,4599.68,2.75,2.38,53.8,-0.387,19.17,20.1,01a60684o0486o
60686.38846,-20.622,1.154,-20,24,o,0,1.75,128.02037,21.62807,8397.29,1514.77,2.59,2.05,-57.1,-0.45,18.64,19.11,02a60686o0180o
60686.391174,-19.495,0.458,-58,26,o,0,1.46,128.02037,21.62807,8414.38,1553.42,2.91,2.4,-55.7,-0.431,18.5,19.12,02a60686o0186o
60686.39435,19.425,0.444,62,27,o,0,1.34,128.02037,21.62807,8355.58,1476.38,2.79,2.27,-58.4,-0.439,18.53,19.11,02a60686o0193o
60686.399791,-19.686,0.452,-48,22,o,0,1.56,128.02037,21.62807,8333.87,1595.33,2.46,1.85,-60.0,-0.469,18.7,19.16,02a60686o0205o
60692.493199,22.96,15.857,2,38,o,0,1.19,128.02037,21.62807,8666.46,4219.41,2.48,2.29,27.6,-0.43,17.93,18.2,01a60692o0581o
60692.496408,-21.148,2.258,-13,28,o,0,1.39,128.02037,21.62807,8686.02,4257.38,2.54,2.34,30.2,-0.423,18.62,19.08,01a60692o0588o
60692.504437,-19.823,0.434,-43,19,o,0,1.38,128.02037,21.62807,8627.65,4178.53,2.51,2.32,34.6,-0.423,19.0,19.56,01a60692o0604o
60692.515501,-19.719,0.311,-47,15,o,0,2.18,128.02037,21.62807,8610.86,4295.37,2.42,2.28,30.7,-0.426,18.99,19.52,01a60692o0627o
60692.617622,20.109,0.876,33,29,o,0,0.9,128.02037,21.62807,2589.22,4616.18,2.76,2.41,44.1,-0.395,18.67,19.07,01a60692o0833o
60692.618079,-20.92,1.561,-16,24,o,0,1.27,128.02037,21.62807,2607.94,4654.92,2.72,2.38,42.4,-0.391,18.7,19.07,01a60692o0834o
