MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60682.299996,-21.497,1.82,-9,17,o,0,0.96,37.51525,32.09815,304.56,569.18,2.17,1.67,-60.1,-0.503,19.15,19.82,02a60682o0223o
60682.303646,-20.603,0.67,-21,14,o,0,1.94,37.51525,32.09815,284.86,530.66,2.19,1.67,-60.9,-0.509,19.14,19.82,02a60682o0231o
60682.30933,20.847,0.808,17,13,o,0,1.53,37.51525,32.09815,346.62,611.3,2.24,1.79,-60.0,-0.468,19.19,19.94,02a60682o0243o
60682.328895,21.463,1.852,9,18,o,0,0.87,37.51525,32.09815,364.75,484.52,2.29,1.78,-61.9,-0.494,19.08,19.8,02a60682o0285o
60688.309704,16.823,1.047,677,709,o,0,1.34,37.51525,32.09815,9105.08,8125.84,2.79,2.7,-81.5,-0.535,14.93,14.84,01a60688o0237o
60688.322779,0.0,0.0,0,0,o,0,-2.0,37.51525,32.09815,9019.13,8042.42,2.62,2.41,24.3,-0.392,14.7,14.55,01a60688o0265o
60688.337796,-18.248,0.646,-182,118,o,0,1.15,37.51525,32.09815,9043.33,8204.12,2.81,2.73,46.0,-0.427,15.39,16.47,01a60688o0297o
60690.330538,-21.036,1.809,-14,25,o,0,1.11,37.51525,32.09815,9028.65,8758.29,2.97,2.73,-58.7,-0.395,18.69,19.44,02a60690o0282o
60690.334669,-21.562,3.083,-9,27,o,0,1.08,37.51525,32.09815,9010.66,8717.52,2.74,2.55,-63.8,-0.406,18.73,19.42,02a60690o0291o
60690.345788,-19.568,0.584,-54,32,o,0,0.95,37.51525,32.09815,9067.18,8796.67,2.89,2.72,-64.7,-0.404,18.58,19.39,02a60690o0315o
60690.357691,-22.699,9.105,-3,28,o,0,0.96,37.51525,32.09815,9086.6,8680.17,2.64,2.28,-55.9,-0.423,18.76,19.33,02a60690o0341o
60691.363064,21.025,1.136,14,16,o,0,1.45,37.51525,32.09815,1478.24,1824.11,2.42,2.26,41.7,-0.441,18.97,19.54,01a60691o0122o
60691.366263,20.608,0.913,21,19,o,0,1.19,37.51525,32.09815,1496.49,1863.64,2.49,2.35,43.6,-0.445,18.97,19.53,01a60691o0129o
60691.37228,-22.023,2.935,-6,16,o,0,1.49,37.51525,32.09815,1438.36,1782.93,2.41,2.31,40.0,-0.448,18.93,19.49,01a60691o0142o
60691.382484,21.099,1.221,13,16,o,0,1.72,37.51525,32.09815,1416.95,1899.56,2.49,2.34,39.6,-0.428,18.88,19.45,01a60691o0164o
60692.365099,-20.246,0.556,-29,16,o,0,1.14,37.51525,32.09815,9895.72,4222.81,2.6,2.55,-0.2,-0.362,18.9,19.6,01a60692o0310o
60692.367904,20.766,0.901,18,16,o,0,1.53,37.51525,32.09815,9914.93,4261.63,2.6,2.57,0.3,-0.362,18.9,19.62,01a60692o0316o
60692.377824,21.24,1.42,12,16,o,0,1.36,37.51525,32.09815,9855.7,4187.69,2.56,2.49,1.4,-0.366,18.88,19.52,01a60692o0336o
60692.383853,21.505,2.059,9,19,o,0,1.09,37.51525,32.09815,9834.05,4306.28,2.58,2.51,15.9,-0.369,18.83,19.48,01a60692o0349o
60692.394924,20.708,0.962,19,18,o,0,1.22,37.51525,32.09815,38.3,4254.39,2.66,2.51,46.2,-0.349,18.77,19.41,01a60692o0373o
60693.373643,-22.943,7.158,-2,17,o,0,1.19,37.51525,32.09815,616.04,6307.47,2.27,2.12,28.1,-0.387,18.82,19.51,02a60693o0356o
60693.37738,19.783,0.453,44,20,o,0,1.06,37.51525,32.09815,596.92,6265.75,2.3,2.22,27.6,-0.391,18.74,19.48,02a60693o0364o
60693.383062,20.378,0.912,26,23,o,0,0.74,37.51525,32.09815,653.15,6341.63,2.37,2.35,13.2,-0.394,18.67,19.41,02a60693o0376o
60693.391634,22.268,7.68,4,34,o,0,0.93,37.51525,32.09815,10490.57,6367.21,2.75,2.32,-53.9,-0.441,18.73,19.47,02a60693o0394o
60693.395836,-21.364,3.136,-10,32,o,0,1.02,37.51525,32.09815,10470.59,6328.83,2.66,2.29,-50.6,-0.453,18.74,19.44,02a60693o0403o
60693.397241,23.214,11.154,2,21,o,0,1.26,37.51525,32.09815,673.72,6226.38,2.42,2.23,28.7,-0.385,18.61,19.28,02a60693o0406o
60693.407665,-22.02,7.789,-6,44,o,0,1.88,37.51525,32.09815,10526.0,6411.37,2.38,2.2,-23.6,-0.444,18.68,19.38,02a60693o0428o
60694.285077,22.518,3.4,4,12,c,0,1.1,37.51525,32.09815,3602.1,2786.06,2.68,2.67,-62.3,-0.409,19.38,21.17,02a60694o0179c
60694.288249,-21.907,1.795,-6,11,c,0,1.02,37.51525,32.09815,3582.98,2746.89,2.56,2.53,-78.9,-0.405,19.39,21.16,02a60694o0186c
60694.295564,20.249,0.459,29,13,c,0,1.01,37.51525,32.09815,3642.64,2825.16,2.73,2.72,69.3,-0.403,19.33,21.12,02a60694o0202c
60694.313855,-22.176,2.0,-5,10,c,0,1.21,37.51525,32.09815,3662.2,2706.77,2.61,2.57,77.0,-0.407,19.35,21.07,02a60694o0242c
60695.314138,-22.282,2.912,-4,13,o,0,1.15,37.51525,32.09815,6950.92,7765.4,2.51,2.47,-71.1,-0.416,19.35,20.37,01a60695o0239o
60695.317404,22.343,3.29,4,14,o,0,1.07,37.51525,32.09815,6969.78,7803.93,2.66,2.47,53.1,-0.394,19.3,20.34,01a60695o0246o
60695.323575,-21.131,0.871,-13,11,o,0,1.7,37.51525,32.09815,6909.64,7726.87,2.75,2.46,47.6,-0.382,19.32,20.33,01a60695o0259o
60695.334544,-21.167,1.172,-12,14,o,0,0.95,37.51525,32.09815,6886.67,7843.64,2.55,2.44,-69.8,-0.421,19.31,20.3,01a60695o0282o
60696.297536,-21.902,1.37,-6,9,o,0,1.88,37.51525,32.09815,6846.61,5830.15,2.4,2.31,48.8,-0.412,19.41,20.37,01a60696o0203o
60696.300366,19.683,0.236,49,12,o,0,1.3,37.51525,32.09815,6866.2,5869.42,2.47,2.32,42.8,-0.403,19.39,20.36,01a60696o0209o
60696.306043,21.756,1.607,7,12,o,0,1.14,37.51525,32.09815,6805.27,5790.9,2.39,2.35,60.0,-0.412,19.39,20.35,01a60696o0221o
60696.319027,-22.193,2.794,-5,14,o,0,0.89,37.51525,32.09815,6785.39,5907.54,2.86,2.49,45.5,-0.357,19.32,20.44,01a60696o0248o
60699.308114,21.298,1.145,11,13,o,0,0.98,37.51525,32.09815,6025.63,9721.25,2.68,2.6,-83.4,-0.399,19.39,20.61,01a60699o0214o
60699.311358,21.292,1.25,11,14,o,0,0.96,37.51525,32.09815,6044.97,9760.13,2.88,2.72,-52.8,-0.397,19.34,20.61,01a60699o0221o
60699.317044,-21.282,1.179,-11,13,o,0,0.9,37.51525,32.09815,5984.14,9682.27,3.03,2.75,57.4,-0.363,19.24,20.53,01a60699o0233o
60699.328888,21.829,2.146,7,14,o,0,0.98,37.51525,32.09815,5962.34,9799.6,2.91,2.78,72.7,-0.374,19.27,20.52,01a60699o0258o
60700.348184,-23.697,10.889,-1,13,o,0,1.25,37.51525,32.09815,7737.59,3883.3,2.62,2.39,38.0,-0.401,19.28,20.3,01a60700o0048o
60700.351877,21.436,1.563,10,15,o,0,0.94,37.51525,32.09815,7757.35,3922.57,2.55,2.4,44.3,-0.405,19.23,20.22,01a60700o0056o
60700.361731,20.445,0.583,24,14,o,0,0.97,37.51525,32.09815,7695.89,3847.45,2.73,2.56,42.1,-0.389,19.2,20.25,01a60700o0077o
60700.36884,21.238,1.257,12,15,o,0,1.07,37.51525,32.09815,7674.85,3964.89,2.8,2.63,45.4,-0.384,19.13,20.21,01a60700o0092o
60703.32834,21.356,1.127,10,12,o,0,1.35,37.51525,32.09815,1028.82,8033.24,2.72,2.53,71.9,-0.426,19.36,20.52,01a60703o0083o
60703.334845,-20.688,0.714,-19,14,o,0,1.35,37.51525,32.09815,1047.36,8072.02,2.64,2.51,88.2,-0.443,19.37,20.47,01a60703o0097o
60703.338067,21.545,1.839,9,16,o,0,0.84,37.51525,32.09815,986.82,7993.32,2.77,2.62,77.1,-0.42,19.27,20.43,01a60703o0104o
60703.348262,-20.762,0.82,-18,15,o,0,1.11,37.51525,32.09815,963.84,8108.99,2.84,2.65,79.3,-0.413,19.25,20.44,01a60703o0126o
60704.310153,21.168,1.161,12,14,o,0,0.96,37.51525,32.09815,1966.32,4170.62,2.59,2.3,41.0,-0.416,19.31,20.37,01a60704o0241o
60704.313382,22.667,4.182,3,13,o,0,0.93,37.51525,32.09815,1985.55,4209.46,2.43,2.27,41.0,-0.435,19.29,20.31,01a60704o0248o
60704.323207,-22.89,4.941,-2,12,o,0,0.97,37.51525,32.09815,1927.4,4129.59,2.88,2.5,42.1,-0.381,19.29,20.48,01a60704o0269o
60704.329876,-21.208,1.439,-12,17,o,0,0.98,37.51525,32.09815,1906.9,4244.89,2.63,2.37,39.8,-0.408,19.03,20.08,01a60704o0283o
60708.229272,23.393,7.571,2,12,o,0,0.96,37.51525,32.09815,5278.92,1675.05,2.36,2.23,34.7,-0.459,19.4,20.35,01a60708o0061o
60708.232638,-20.356,0.445,-26,12,o,0,0.71,37.51525,32.09815,5299.45,1713.99,2.37,2.25,40.3,-0.458,19.42,20.37,01a60708o0068o
60708.254246,-21.193,0.96,-12,12,o,0,1.42,37.51525,32.09815,5243.07,1634.69,2.43,2.31,41.2,-0.444,19.42,20.48,01a60708o0114o
60708.272207,-20.849,0.595,-17,10,o,0,1.56,37.51525,32.09815,5224.18,1750.97,2.46,2.41,22.9,-0.441,19.44,20.53,01a60708o0152o
60709.235228,-20.582,0.884,-21,19,o,0,0.56,37.51525,32.09815,5236.31,8900.79,2.04,2.01,37.4,-0.45,19.3,20.1,02a60709o0072o
60709.238456,-21.273,1.277,-11,14,o,0,1.07,37.51525,32.09815,5216.44,8862.03,2.05,1.97,38.0,-0.455,19.29,20.1,02a60709o0079o
60709.244401,20.543,0.722,22,16,o,0,0.83,37.51525,32.09815,5272.33,8938.38,2.02,2.0,3.9,-0.453,19.3,20.11,02a60709o0092o
60709.261944,-20.645,0.883,-20,18,o,0,0.76,37.51525,32.09815,5293.39,8818.04,2.05,1.98,-12.2,-0.45,19.32,20.2,02a60709o0130o
60710.217836,-20.374,0.964,-26,25,o,0,1.65,37.51525,32.09815,1420.62,9135.96,2.18,1.85,-47.6,-0.489,18.75,19.14,02a60710o0032o
60710.220558,22.163,4.628,5,23,o,0,0.9,37.51525,32.09815,1402.93,9096.71,2.18,1.87,-51.4,-0.491,18.89,19.36,02a60710o0038o
60710.227913,22.324,4.892,4,21,o,0,0.92,37.51525,32.09815,1459.13,9171.46,2.21,1.84,-49.0,-0.484,19.0,19.55,02a60710o0054o
60710.239074,-21.778,2.613,-7,18,o,0,1.24,37.51525,32.09815,1480.02,9053.48,2.23,1.79,-49.6,-0.491,19.0,19.56,02a60710o0078o
