MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60682.439703,-19.309,0.256,-69,18,o,0,0.94,105.99019,27.90236,1186.94,2613.2,2.02,1.94,33.6,-0.453,19.46,20.52,02a60682o0522o
60682.46431,-19.647,0.455,-50,23,o,0,0.75,105.99019,27.90236,1163.03,2569.78,2.04,1.94,29.4,-0.449,19.46,20.68,02a60682o0571o
60682.467303,-19.099,0.141,-83,12,o,0,2.03,105.99019,27.90236,1222.68,2649.08,2.05,1.92,36.4,-0.45,19.52,20.69,02a60682o0577o
60682.491916,-19.498,0.216,-58,12,o,0,1.44,105.99019,27.90236,1236.83,2528.0,2.09,1.96,36.5,-0.451,19.41,20.6,02a60682o0628o
60684.368818,20.997,1.112,14,16,o,0,1.38,105.99019,27.90236,4622.34,6652.44,2.76,2.49,50.0,-0.366,19.03,19.8,01a60684o0354o
60684.371617,22.197,3.667,5,18,o,0,0.84,105.99019,27.90236,4603.53,6612.08,2.61,2.36,48.8,-0.377,19.12,19.8,01a60684o0360o
60684.374839,-19.761,0.432,-45,20,o,0,0.91,105.99019,27.90236,4658.77,6689.88,2.74,2.44,45.4,-0.365,19.07,19.81,01a60684o0367o
60684.401269,-19.567,0.294,-54,16,o,0,1.09,105.99019,27.90236,4676.09,6574.16,2.85,2.47,46.9,-0.358,19.13,19.9,01a60684o0421o
60691.472677,-21.185,1.743,-12,21,o,0,0.75,105.99019,27.90236,7444.89,10002.71,2.45,2.35,-72.0,-0.434,19.0,19.46,01a60691o0358o
60691.476454,22.505,5.5,4,20,o,0,1.51,105.99019,27.90236,7465.85,10041.4,2.56,2.41,-54.0,-0.427,18.97,19.45,01a60691o0366o
60691.486356,24.386,32.2,1,21,o,0,1.11,105.99019,27.90236,7402.97,9963.74,2.52,2.4,-76.8,-0.437,18.92,19.38,01a60691o0387o
60691.492915,21.469,2.338,9,22,o,0,1.03,105.99019,27.90236,7384.68,10080.98,2.65,2.51,-74.1,-0.416,18.86,19.35,01a60691o0401o
60692.461816,-20.466,0.748,-24,18,o,0,1.17,105.99019,27.90236,2982.18,2248.68,2.44,2.19,42.1,-0.453,19.09,19.73,01a60692o0514o
60692.465013,20.976,1.341,15,20,o,0,0.94,105.99019,27.90236,3001.98,2287.04,2.45,2.18,37.6,-0.454,19.13,19.74,01a60692o0521o
60692.470518,-20.03,0.528,-35,19,o,0,1.03,105.99019,27.90236,2943.69,2207.11,2.44,2.19,40.1,-0.45,19.13,19.73,01a60692o0533o
