MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60683.225024,21.3,1.455,11,16,o,0,1.25,9.82491,44.35367,7032.55,3971.94,2.16,1.92,34.7,-0.427,19.05,19.64,02a60683o0060o
60683.230691,-20.79,0.832,-18,15,o,0,1.66,9.82491,44.35367,7014.61,3932.56,2.13,1.95,35.5,-0.423,19.05,19.65,02a60683o0072o
60683.246818,20.94,0.944,15,14,o,0,1.56,9.82491,44.35367,7073.09,4011.06,2.14,1.89,33.6,-0.419,19.05,19.65,02a60683o0107o
60683.250018,-20.305,0.668,-27,18,o,0,1.17,9.82491,44.35367,7092.11,3891.48,2.16,1.92,33.9,-0.415,19.03,19.64,02a60683o0114o
60685.285308,-21.293,2.264,-11,25,o,0,0.86,9.82491,44.35367,7477.32,2506.76,2.46,2.38,12.2,-0.439,18.73,19.1,01a60685o0178o
60685.291063,19.781,1.681,44,75,o,0,1.66,9.82491,44.35367,3033.97,8027.45,2.25,2.08,20.4,-0.413,18.1,18.18,02a60685o0151o
60685.292288,-20.575,1.061,-21,23,o,0,1.02,9.82491,44.35367,7495.36,2545.51,2.35,2.3,10.1,-0.449,18.79,19.04,01a60685o0193o
60685.295071,19.951,0.702,38,27,o,0,1.51,9.82491,44.35367,7439.08,2469.09,2.43,2.39,14.0,-0.444,18.5,18.69,01a60685o0199o
60685.305713,21.192,1.871,12,23,o,0,1.23,9.82491,44.35367,7417.48,2587.49,2.34,2.3,5.9,-0.458,18.74,18.98,01a60685o0222o
60687.285953,22.334,5.833,4,25,o,0,1.22,9.82491,44.35367,3244.87,2215.04,2.37,2.23,32.7,-0.426,18.48,19.0,02a60687o0148o
60687.289188,-19.457,0.481,-60,29,o,0,1.25,9.82491,44.35367,3226.15,2175.25,2.74,2.6,37.9,-0.405,18.37,18.98,02a60687o0155o
60687.295598,19.425,0.517,62,32,o,0,1.05,9.82491,44.35367,3284.51,2251.78,2.53,2.4,34.8,-0.415,18.37,18.94,02a60687o0169o
60687.306786,-18.841,0.302,-106,32,o,0,1.31,9.82491,44.35367,3303.94,2132.8,2.77,2.72,-39.1,-0.411,18.23,18.85,02a60687o0193o
