MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60682.251391,24.766,39.25,0,18,o,0,1.21,31.85846,-2.08913,833.7,5066.84,2.49,2.17,44.1,-0.406,19.06,19.61,01a60682o0117o
60682.255527,-21.65,2.514,-8,20,o,0,0.95,31.85846,-2.08913,850.81,5105.92,2.45,2.15,46.3,-0.411,19.03,19.6,01a60682o0126o
60682.262385,21.116,1.202,13,16,o,0,1.55,31.85846,-2.08913,792.33,5028.52,2.36,2.11,45.9,-0.416,19.04,19.59,01a60682o0141o
60682.273786,22.629,5.8,3,19,o,0,0.89,31.85846,-2.08913,773.22,5144.0,2.38,2.14,48.1,-0.416,19.07,19.56,01a60682o0165o
60684.278685,21.507,2.899,9,26,o,0,0.86,31.85846,-2.08913,6028.38,9591.71,2.15,2.06,67.7,-0.455,18.73,19.18,02a60684o0168o
60684.281862,22.331,5.514,4,23,o,0,1.28,31.85846,-2.08913,6008.18,9551.92,2.17,2.04,58.1,-0.448,18.82,19.15,02a60684o0175o
60684.291868,23.495,14.25,2,21,o,0,1.43,31.85846,-2.08913,6067.8,9631.43,2.17,2.05,62.7,-0.436,18.83,19.12,02a60684o0197o
60684.302568,21.926,4.16,6,26,o,0,0.9,31.85846,-2.08913,6085.41,9514.23,2.17,2.04,55.2,-0.453,18.73,19.07,02a60684o0220o
60684.790956,19.566,0.697,54,38,o,0,0.87,31.85846,-2.08913,4619.61,957.4,2.46,2.28,-44.1,-0.387,18.28,18.74,03a60685o0025o
60684.794129,19.863,0.801,41,33,o,0,1.02,31.85846,-2.08913,4640.73,997.65,2.46,2.3,-41.1,-0.377,18.38,18.84,03a60685o0032o
60684.799575,-20.388,1.2,-25,30,o,0,0.91,31.85846,-2.08913,4586.41,917.53,2.57,2.38,-37.3,-0.379,18.35,18.9,03a60685o0044o
