MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60683.326016,21.083,1.123,13,15,o,0,4.55,181.19204,9.42198,8483.63,7491.89,2.13,1.81,-4.2,-0.441,19.26,20.54,04a60683o0638o
60683.32922,20.381,0.879,26,22,o,0,3.27,181.19204,9.42198,8463.57,7453.11,2.1,1.78,-8.5,-0.461,19.27,20.54,04a60683o0645o
60683.334706,-20.038,0.444,-35,16,o,0,4.6,181.19204,9.42198,8524.22,7531.98,2.15,1.79,-8.9,-0.446,19.28,20.56,04a60683o0657o
60683.351223,22.863,7.5,3,20,o,0,2.67,181.19204,9.42198,8540.7,7416.03,2.04,1.79,-11.1,-0.463,19.24,20.44,04a60683o0693o
60684.514696,-20.78,0.752,-18,13,o,0,2.23,181.19204,9.42198,4914.56,1360.47,2.36,2.24,26.3,-0.453,19.24,20.0,01a60684o0656o
60684.516539,21.34,1.58,11,17,o,0,1.72,181.19204,9.42198,4895.87,1322.18,2.41,2.28,30.3,-0.459,19.19,20.02,01a60684o0660o
60684.524361,-20.568,0.526,-22,11,o,0,3.91,181.19204,9.42198,4954.49,1401.52,2.42,2.33,31.4,-0.458,19.24,20.13,01a60684o0675o
60684.530368,-20.709,0.671,-19,13,o,0,2.26,181.19204,9.42198,4973.83,1283.75,2.47,2.3,43.9,-0.44,19.31,20.27,01a60684o0688o
60684.54833,-18.682,0.337,-122,41,o,0,1.62,181.19204,9.42198,5693.22,9190.79,2.11,1.97,30.7,-0.432,18.28,19.26,02a60684o0743o
60684.550139,-18.758,0.249,-114,28,o,0,1.55,181.19204,9.42198,5712.98,9230.33,2.06,1.97,32.3,-0.444,18.8,19.85,02a60684o0747o
60684.55332,-21.395,4.586,-10,46,o,0,1.29,181.19204,9.42198,5655.24,9152.68,2.07,1.92,34.6,-0.438,18.2,19.24,02a60684o0754o
60684.565485,20.614,0.893,21,18,o,0,1.38,181.19204,9.42198,5633.41,9270.93,2.11,1.99,33.2,-0.43,19.11,20.26,02a60684o0780o
60685.073274,20.385,0.401,26,10,c,0,1.73,181.19204,9.42198,4915.77,1376.34,2.52,2.33,-53.4,-0.397,19.43,21.36,03a60685o0627c
60685.07692,21.11,0.753,13,10,c,0,2.15,181.19204,9.42198,4898.28,1337.02,2.33,2.17,-48.6,-0.4,19.5,21.35,03a60685o0635c
60685.082348,-22.209,1.9,-5,9,c,0,2.03,181.19204,9.42198,4956.62,1415.98,2.34,2.22,-52.9,-0.393,19.51,21.35,03a60685o0647c
60685.089623,22.315,2.31,4,10,c,0,3.39,181.19204,9.42198,4983.32,1298.61,2.28,2.15,-49.2,-0.397,19.52,21.3,03a60685o0663c
60687.300497,-17.055,0.589,-547,322,o,0,0.86,181.19204,9.42198,4527.23,5749.73,2.16,1.92,-62.1,-0.442,16.23,17.36,04a60687o0588o
60687.303665,16.673,0.403,778,314,o,0,1.13,181.19204,9.42198,4507.72,5711.65,2.04,1.86,-59.1,-0.413,15.87,15.91,04a60687o0595o
