MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60686.003536,23.208,13.4,2,25,o,0,0.89,219.89754,-79.70506,5496.59,5951.4,2.65,2.37,-42.6,-0.376,18.59,19.47,03a60686o0484o
60686.006386,-19.937,0.561,-38,22,o,0,1.24,219.89754,-79.70506,5476.34,5920.15,2.61,2.2,-47.7,-0.378,18.63,19.51,03a60686o0490o
60686.022649,-20.339,0.735,-27,20,o,0,1.34,219.89754,-79.70506,5538.12,6000.22,2.44,2.15,-43.3,-0.412,18.85,19.81,03a60686o0525o
60686.038972,20.85,1.0,17,17,o,0,0.98,219.89754,-79.70506,5560.53,5877.96,2.77,2.47,-44.9,-0.397,18.97,20.37,03a60686o0560o
60686.104919,20.524,1.008,22,23,o,0,1.24,219.89754,-79.70506,5524.06,5947.08,2.63,2.33,-45.0,-0.39,18.5,19.3,03a60686o0703o
60688.344744,-21.239,6.415,-12,74,o,0,0.91,219.89754,-79.70506,6013.1,9546.06,2.26,1.83,-70.1,-0.445,17.44,17.68,04a60688o0465o
60688.359004,21.081,3.522,13,47,o,0,0.98,219.89754,-79.70506,5984.79,9508.76,2.15,1.82,-65.3,-0.406,18.02,18.25,04a60688o0495o
60688.361389,19.39,0.813,64,52,o,0,0.73,219.89754,-79.70506,6059.63,9583.88,2.26,1.84,-67.4,-0.43,18.09,18.5,04a60688o0500o
60688.364456,21.411,3.755,10,37,o,0,1.85,219.89754,-79.70506,6080.39,9466.75,2.26,1.86,-65.9,-0.44,18.17,18.5,04a60688o0506o
60692.308346,-21.603,3.288,-8,27,o,0,0.92,219.89754,-79.70506,6317.07,3224.36,2.12,1.93,-28.9,-0.438,18.55,19.3,04a60692o0539o
60692.31162,21.532,2.517,9,22,o,0,1.41,219.89754,-79.70506,6299.45,3187.62,2.25,2.02,-33.4,-0.417,18.53,19.3,04a60692o0546o
60692.317196,20.511,1.121,23,25,o,0,0.85,219.89754,-79.70506,6353.49,3262.08,2.16,1.95,-28.8,-0.445,18.58,19.32,04a60692o0558o
60692.328861,-21.754,3.44,-7,25,o,0,1.55,219.89754,-79.70506,6370.23,3150.19,2.12,1.95,-26.5,-0.462,18.62,19.33,04a60692o0583o
60694.036136,-20.55,0.897,-22,20,o,0,1.0,219.89754,-79.70506,5557.23,9919.61,2.69,2.26,-44.3,-0.382,18.79,19.69,03a60694o0559o
60694.039408,-20.898,1.329,-16,21,o,0,0.94,219.89754,-79.70506,5527.35,9891.64,2.74,2.21,-38.4,-0.378,18.8,19.69,03a60694o0566o
60694.044557,-19.931,0.526,-39,20,o,0,1.2,219.89754,-79.70506,5600.62,9969.78,2.82,2.35,-35.9,-0.372,18.79,19.69,03a60694o0577o
60694.064882,-20.433,0.984,-24,24,o,0,0.86,219.89754,-79.70506,5615.17,9843.43,2.73,2.29,-34.8,-0.379,18.8,19.68,03a60694o0620o
60696.352313,-19.69,0.325,-48,16,o,0,0.88,219.89754,-79.70506,5195.82,1725.17,2.06,1.93,-3.5,-0.463,19.08,20.18,04a60696o0682o
60696.356453,-21.003,1.021,-14,15,o,0,1.43,219.89754,-79.70506,5181.08,1682.29,2.11,1.96,3.3,-0.476,19.05,20.18,04a60696o0690o
60696.361674,-21.359,1.928,-10,20,o,0,0.94,219.89754,-79.70506,5230.24,1763.59,2.09,1.99,7.9,-0.464,19.02,20.09,04a60696o0701o
60698.082636,22.704,5.278,3,16,o,0,0.81,219.89754,-79.70506,30.47,7193.97,2.52,2.21,-60.5,-0.389,19.23,20.44,03a60698o0661o
60698.085401,-21.666,1.958,-8,15,o,0,0.73,219.89754,-79.70506,8870.77,7697.48,2.57,2.12,-57.1,-0.393,19.15,20.38,03a60698o0667o
60698.093819,-21.738,1.872,-7,14,o,0,1.26,219.89754,-79.70506,73.55,7239.64,2.43,2.11,-59.4,-0.402,19.21,20.37,03a60698o0685o
60698.105599,-21.478,1.643,-9,15,o,0,1.02,219.89754,-79.70506,8845.71,7670.83,2.58,2.13,-51.3,-0.398,19.07,20.25,03a60698o0709o
60698.110753,-20.225,12.071,-30,356,o,0,1.2,219.89754,-79.70506,8910.24,7743.86,2.73,2.29,-58.0,-0.374,15.72,16.18,03a60698o0720o
60698.114012,-20.212,0.516,-30,15,o,0,1.14,219.89754,-79.70506,8932.19,7624.98,2.48,2.23,-46.7,-0.384,18.91,19.88,03a60698o0727o
60700.330461,-21.917,2.525,-6,16,o,0,0.86,219.89754,-79.70506,7009.04,3563.88,2.2,1.89,-28.1,-0.483,19.2,20.58,04a60700o0638o
60700.333714,-24.474,21.75,-1,13,o,0,1.38,219.89754,-79.70506,6991.49,3527.38,2.24,1.91,-27.5,-0.467,19.24,20.59,04a60700o0645o
60700.339359,-20.003,0.378,-36,14,o,0,1.16,219.89754,-79.70506,7047.18,3599.02,2.29,1.91,-23.3,-0.455,19.18,20.52,04a60700o0657o
60700.358249,-22.201,3.75,-5,18,o,0,0.8,219.89754,-79.70506,7065.11,3484.68,2.29,1.89,-25.4,-0.477,19.22,20.53,04a60700o0696o
60704.317626,20.779,0.639,18,11,c,0,1.15,219.89754,-79.70506,4555.79,3362.35,2.18,2.1,-15.1,-0.395,19.35,21.07,04a60704o0640c
60704.320436,-21.361,1.254,-10,13,c,0,0.82,219.89754,-79.70506,4537.73,3326.1,2.28,2.25,-50.3,-0.405,19.3,21.04,04a60704o0646c
60704.325624,-20.763,0.545,-18,10,c,0,1.62,219.89754,-79.70506,4589.3,3408.6,2.12,2.01,-21.6,-0.405,19.37,21.06,04a60704o0657c
60704.335549,-21.712,1.396,-8,10,c,0,1.31,219.89754,-79.70506,4606.76,3292.2,2.16,2.05,-22.8,-0.401,19.34,21.06,04a60704o0678c
60706.094628,21.431,1.383,10,13,o,0,1.79,219.89754,-79.70506,8005.98,9685.17,2.9,2.36,-39.9,-0.404,19.14,20.54,03a60706o0708o
60706.099764,21.869,2.812,6,18,o,0,0.91,219.89754,-79.70506,7977.86,9650.26,2.87,2.34,-39.5,-0.401,19.14,20.55,03a60706o0719o
60706.116516,19.915,0.577,39,23,o,0,1.1,219.89754,-79.70506,8043.87,9725.41,2.86,2.3,-41.8,-0.41,18.85,19.87,03a60706o0754o
60706.120781,20.106,1.007,33,33,o,0,0.97,219.89754,-79.70506,8068.65,9608.47,2.99,2.57,-46.0,-0.382,18.41,19.17,03a60706o0763o
