MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60682.122961,-21.316,2.167,-11,23,o,0,1.04,34.71271,-19.71141,3445.53,8654.56,2.29,1.73,-74.1,-0.47,18.86,19.64,04a60682o0200o
60682.126388,-22.422,5.28,-4,21,o,0,1.98,34.71271,-19.71141,3464.48,8694.59,2.29,1.75,-74.5,-0.471,18.8,19.63,04a60682o0207o
60682.132068,20.36,0.784,26,20,o,0,1.6,34.71271,-19.71141,3407.37,8617.12,2.2,1.75,-74.6,-0.479,18.83,19.64,04a60682o0219o
60682.14774,21.033,1.624,14,23,o,0,1.49,34.71271,-19.71141,3387.53,8735.82,2.41,1.77,-79.6,-0.439,18.81,19.67,04a60682o0252o
60682.866153,20.469,0.907,24,21,o,0,1.74,34.71271,-19.71141,3363.81,8609.88,3.23,2.7,-27.0,-0.341,18.67,19.73,03a60683o0188o
60682.86942,-20.198,0.78,-30,24,o,0,1.24,34.71271,-19.71141,3380.35,8648.36,3.28,2.66,-15.9,-0.352,18.61,19.73,03a60683o0195o
60682.874972,-21.554,3.029,-9,26,o,0,1.31,34.71271,-19.71141,3326.17,8570.16,3.22,2.75,-34.5,-0.341,18.46,19.43,03a60683o0207o
60682.888272,-21.115,1.932,-13,25,o,0,1.4,34.71271,-19.71141,3304.64,8686.64,3.02,2.57,-38.4,-0.341,18.54,19.37,03a60683o0236o
60683.841261,-23.242,10.615,-2,20,o,0,1.22,34.71271,-19.71141,6158.8,4623.16,2.35,2.01,-56.2,-0.419,18.83,19.67,03a60684o0134o
60683.846376,20.989,1.302,15,19,o,0,1.87,34.71271,-19.71141,6175.9,4662.14,2.42,2.1,-54.7,-0.418,18.85,19.67,03a60684o0145o
60683.856459,-20.661,1.053,-20,21,o,0,1.03,34.71271,-19.71141,6123.94,4583.23,2.43,2.07,-56.3,-0.413,18.83,19.64,03a60684o0167o
60683.859208,-22.174,4.032,-5,20,o,0,1.4,34.71271,-19.71141,6101.83,4698.2,2.51,2.11,-56.7,-0.405,18.76,19.62,03a60684o0173o
60685.081378,21.071,1.273,14,17,o,0,1.91,34.71271,-19.71141,6153.92,4587.29,2.1,1.8,-26.0,-0.456,18.77,19.45,04a60685o0112o
60685.084617,-22.0,4.229,-6,24,o,0,1.22,34.71271,-19.71141,6172.02,4625.82,2.05,1.75,-25.7,-0.471,18.75,19.39,04a60685o0119o
60685.102647,-21.18,1.916,-12,24,o,0,0.88,34.71271,-19.71141,6117.6,4551.31,2.07,1.86,-31.1,-0.467,18.69,19.32,04a60685o0157o
60685.108271,21.624,3.044,8,25,o,0,1.08,34.71271,-19.71141,6096.6,4666.51,2.01,1.79,-30.7,-0.459,18.71,19.33,04a60685o0169o
60686.083571,-19.795,0.55,-44,24,o,0,1.19,34.71271,-19.71141,6433.74,217.78,2.26,2.04,-25.9,-0.394,18.62,19.2,04a60686o0118o
