MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60682.594338,-21.022,0.917,-14,13,o,0,0.81,217.42589,26.45046,6263.02,595.92,2.07,1.81,-61.9,-0.473,19.45,20.72,02a60682o0847o
60682.597967,26.37,113.0,0,12,o,0,1.08,217.42589,26.45046,6283.22,635.06,2.02,1.8,-64.4,-0.465,19.44,20.74,02a60682o0855o
60682.60399,-20.732,0.456,-18,8,o,0,2.05,217.42589,26.45046,6225.56,556.71,2.1,1.89,-65.1,-0.453,19.43,20.77,02a60682o0868o
60682.61377,-21.513,1.115,-9,10,o,0,1.35,217.42589,26.45046,6204.61,675.21,2.02,1.83,-67.0,-0.468,19.43,20.82,02a60682o0889o
60684.588356,-21.369,1.052,-10,11,o,0,0.95,217.42589,26.45046,2692.84,3853.7,2.67,2.37,45.8,-0.406,19.5,20.85,01a60684o0808o
60684.591607,20.926,0.713,16,11,o,0,1.04,217.42589,26.45046,2672.86,3815.15,2.67,2.38,45.2,-0.408,19.5,20.84,01a60684o0815o
60684.60296,22.243,2.222,5,10,o,0,1.22,217.42589,26.45046,2732.95,3892.03,2.63,2.32,48.4,-0.409,19.57,20.89,01a60684o0839o
60684.608516,22.767,3.333,3,10,o,0,1.37,217.42589,26.45046,2751.37,3775.24,2.7,2.39,47.6,-0.405,19.53,20.91,01a60684o0851o
60690.581142,-22.362,5.441,-4,22,o,0,1.03,217.42589,26.45046,8422.59,2616.89,2.2,2.07,-55.5,-0.429,18.72,19.26,02a60690o0820o
60690.584325,-19.628,0.482,-51,25,o,0,0.93,217.42589,26.45046,8439.99,2655.48,2.4,2.29,-61.8,-0.402,18.69,19.28,02a60690o0827o
60690.590724,21.841,3.288,7,22,o,0,1.09,217.42589,26.45046,8380.2,2577.5,2.26,2.16,-53.3,-0.419,18.74,19.31,02a60690o0841o
60690.602407,21.227,1.936,12,23,o,0,0.95,217.42589,26.45046,8360.29,2694.34,2.24,2.15,-56.9,-0.409,18.77,19.36,02a60690o0865o
60691.59271,-21.014,1.298,-14,18,o,0,1.0,217.42589,26.45046,2184.09,7933.97,2.74,2.63,57.9,-0.426,18.96,19.7,01a60691o0609o
60691.596041,20.247,0.609,29,18,o,0,1.35,217.42589,26.45046,2167.19,7895.68,2.85,2.64,56.6,-0.413,18.96,19.72,01a60691o0616o
60691.601222,20.156,0.532,32,17,o,0,1.46,217.42589,26.45046,2225.41,7975.07,3.02,2.7,56.2,-0.377,18.94,19.74,01a60691o0627o
60691.613576,20.942,1.247,15,19,o,0,1.0,217.42589,26.45046,2246.92,7858.2,2.96,2.7,58.0,-0.396,18.96,19.78,01a60691o0652o
60692.57565,21.222,1.613,12,19,o,0,0.92,217.42589,26.45046,2655.14,5500.99,2.62,2.32,44.0,-0.398,19.03,19.65,01a60692o0748o
60692.57844,21.332,1.792,11,19,o,0,1.08,217.42589,26.45046,2637.71,5462.9,2.88,2.5,42.1,-0.38,18.95,19.66,01a60692o0754o
60692.583595,21.498,1.684,9,15,o,0,1.25,217.42589,26.45046,2697.2,5543.26,2.56,2.24,45.4,-0.407,19.1,19.69,01a60692o0765o
60692.594293,-20.223,0.561,-30,17,o,0,0.91,217.42589,26.45046,2718.47,5427.52,2.61,2.28,46.8,-0.403,19.08,19.74,01a60692o0787o
60693.574455,-21.907,2.735,-6,17,o,0,0.91,217.42589,26.45046,7957.09,5040.84,2.34,2.08,33.4,-0.408,18.96,19.61,02a60693o0773o
60693.577245,-21.599,2.152,-8,18,o,0,1.06,217.42589,26.45046,7974.32,5079.66,2.32,2.06,32.2,-0.409,18.99,19.64,02a60693o0779o
60693.581949,21.403,1.765,10,18,o,0,1.01,217.42589,26.45046,7916.55,5002.87,2.25,2.0,33.1,-0.414,19.04,19.67,02a60693o0789o
60693.591805,19.778,0.38,44,17,o,0,1.07,217.42589,26.45046,7894.02,5121.96,2.33,1.96,33.0,-0.409,19.05,19.74,02a60693o0810o
60694.593579,-20.481,0.781,-23,18,o,0,1.52,217.42589,26.45046,10006.65,8510.55,2.59,2.3,-50.3,-0.444,18.99,19.89,02a60694o0827o
60694.59678,21.087,1.662,13,22,o,0,0.97,217.42589,26.45046,10025.84,8549.5,2.69,2.46,-54.7,-0.425,18.95,19.89,02a60694o0834o
60694.604093,20.007,0.484,36,18,o,0,1.17,217.42589,26.45046,9963.73,8471.96,2.42,2.2,-53.0,-0.444,19.06,19.92,02a60694o0848o
60694.614674,-20.052,0.516,-35,18,o,0,1.2,217.42589,26.45046,9939.52,8589.96,2.54,2.32,-51.6,-0.439,19.05,19.98,02a60694o0871o
60695.594764,20.084,0.469,34,16,o,0,1.05,217.42589,26.45046,623.73,2032.04,2.51,2.34,54.4,-0.407,19.21,20.14,01a60695o0817o
60695.596616,22.658,4.16,3,13,o,0,1.28,217.42589,26.45046,602.4,1993.53,2.5,2.33,55.9,-0.401,19.23,20.15,01a60695o0821o
60695.601779,-21.199,1.233,-12,15,o,0,0.62,217.42589,26.45046,663.47,2072.15,2.5,2.29,54.6,-0.4,19.26,20.14,01a60695o0832o
60695.611968,20.652,0.718,20,14,o,0,1.41,217.42589,26.45046,679.85,1956.84,2.62,2.4,53.7,-0.394,19.17,20.13,01a60695o0854o
60696.583819,-17.004,0.496,-573,284,o,0,1.18,217.42589,26.45046,733.33,3980.94,3.14,2.73,43.2,-0.305,17.16,17.83,01a60696o0797o
60696.587036,23.415,22.0,2,34,o,0,1.96,217.42589,26.45046,709.82,3940.22,2.62,2.39,47.8,-0.371,18.39,19.22,01a60696o0804o
60696.592209,23.543,12.778,1,18,o,0,1.2,217.42589,26.45046,771.39,4017.12,2.66,2.5,50.6,-0.371,18.98,19.91,01a60696o0815o
60696.602847,-20.898,3.648,-16,58,o,0,0.62,217.42589,26.45046,789.29,3902.24,2.68,2.48,48.5,-0.372,17.82,18.35,01a60696o0837o
60697.516136,16.054,9.578,1375,13172,o,0,1.5,217.42589,26.45046,6029.22,8758.05,2.37,2.13,23.7,-0.427,13.44,14.1,02a60697o0606o
60697.520608,-19.525,2.933,-56,165,o,0,0.88,217.42589,26.45046,6027.95,8757.5,2.34,2.18,26.9,-0.414,17.23,18.15,02a60697o0615o
60697.525859,19.128,0.881,81,71,o,0,1.18,217.42589,26.45046,6027.54,8757.07,2.27,2.06,32.2,-0.416,17.91,18.82,02a60697o0625o
60699.595629,21.317,1.056,11,11,o,0,1.19,217.42589,26.45046,8425.39,10291.71,2.82,2.71,-79.5,-0.378,19.4,20.83,01a60699o0800o
60699.598861,21.545,1.309,9,12,o,0,1.3,217.42589,26.45046,8408.91,10252.07,3.12,2.6,52.4,-0.365,19.28,20.83,01a60699o0805o
60699.603531,22.519,2.964,4,11,o,0,0.95,217.42589,26.45046,6660.93,53.09,2.47,2.43,-88.0,-0.439,19.51,20.88,01a60699o0815o
60699.603989,20.542,0.493,22,11,o,0,1.21,217.42589,26.45046,8466.72,10329.34,2.76,2.62,82.4,-0.381,19.47,20.83,01a60699o0816o
60699.612731,-21.542,1.323,-9,12,o,0,0.91,217.42589,26.45046,6697.05,90.97,2.59,2.53,-79.4,-0.42,19.49,20.89,01a60699o0834o
60699.61457,20.091,0.283,33,10,o,0,1.67,217.42589,26.45046,8484.82,10209.46,2.66,2.53,80.9,-0.416,19.5,20.84,01a60699o0838o
60700.59783,21.405,0.957,10,10,o,0,1.14,217.42589,26.45046,4835.55,5880.02,2.78,2.52,45.4,-0.386,19.61,21.1,01a60700o0575o
60700.600599,20.65,0.487,20,10,o,0,1.03,217.42589,26.45046,4814.7,5841.42,2.69,2.42,46.6,-0.394,19.63,21.12,01a60700o0581o
60704.582663,-22.096,2.812,-5,15,o,0,0.84,217.42589,26.45046,711.38,5632.08,2.58,2.38,51.5,-0.396,19.3,20.77,01a60704o0805o
60704.584967,21.797,2.059,7,14,o,0,1.33,217.42589,26.45046,691.3,5594.04,2.65,2.41,48.4,-0.39,19.1,20.56,01a60704o0810o
60704.58773,-20.446,0.664,-24,16,o,0,1.67,217.42589,26.45046,752.46,5670.09,2.63,2.38,48.4,-0.39,19.01,20.46,01a60704o0816o
60704.594446,20.018,0.416,36,15,o,0,1.47,217.42589,26.45046,769.16,5554.49,2.72,2.46,50.9,-0.386,19.01,20.5,01a60704o0830o
60708.571853,20.673,0.545,20,11,o,0,1.03,217.42589,26.45046,8277.09,8142.08,2.72,2.59,48.9,-0.428,19.49,20.95,01a60708o0779o
60708.574639,20.817,0.708,17,12,o,0,0.92,217.42589,26.45046,8255.71,8101.8,3.01,2.87,42.6,-0.411,19.39,20.94,01a60708o0785o
60708.579754,-23.549,8.143,-1,11,o,0,1.36,217.42589,26.45046,8315.09,8180.98,3.22,3.01,47.1,-0.401,19.37,20.98,01a60708o0796o
60708.587647,22.557,3.688,3,13,o,0,1.02,217.42589,26.45046,8337.28,8062.82,3.3,3.19,58.0,-0.4,19.3,20.97,01a60708o0813o
60709.552639,-22.606,3.043,-3,10,c,0,1.04,217.42589,26.45046,2345.01,2423.64,2.37,2.3,-83.2,-0.418,19.47,21.15,02a60709o0748c
60709.555831,-21.252,0.788,-12,9,c,0,1.19,217.42589,26.45046,2365.81,2462.87,2.38,2.33,80.7,-0.41,19.47,21.15,02a60709o0755c
60709.559534,-21.003,0.654,-14,9,c,0,1.47,217.42589,26.45046,2306.55,2384.64,2.34,2.29,82.0,-0.41,19.5,21.16,02a60709o0763c
60709.569687,-21.257,0.892,-11,10,c,0,0.91,217.42589,26.45046,2283.88,2500.35,2.51,2.42,62.8,-0.398,19.48,21.19,02a60709o0785c
60710.513861,21.556,1.466,9,13,o,0,1.35,217.42589,26.45046,4576.6,1774.94,2.75,2.52,40.2,-0.417,19.28,20.48,01a60710o0584o
60710.545271,22.195,1.833,5,9,c,0,1.59,217.42589,26.45046,6182.21,2246.19,2.52,2.45,65.8,-0.395,19.52,21.32,02a60710o0720c
60710.548173,-21.483,1.032,-9,10,c,0,1.31,217.42589,26.45046,6199.79,2285.45,2.44,2.36,70.5,-0.398,19.52,21.34,02a60710o0726c
60710.55487,20.773,0.508,18,9,c,0,1.38,217.42589,26.45046,6140.16,2208.38,2.35,2.29,71.1,-0.402,19.56,21.36,02a60710o0740c
60710.56568,-22.377,2.0,-4,8,c,0,1.43,217.42589,26.45046,6116.72,2323.82,2.37,2.31,65.9,-0.397,19.56,21.4,02a60710o0763c
60711.513353,-24.149,15.2,-1,12,o,0,1.21,217.42589,26.45046,4572.11,1776.18,2.77,2.67,39.3,-0.418,19.35,20.74,01a60711o0581o
