MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60693.595487,21.074,1.222,14,16,o,0,1.6,242.58625,67.83527,5047.03,4298.28,2.84,2.48,44.5,-0.377,18.97,19.72,01a60693o0836o
60693.598747,19.714,0.408,47,19,o,0,1.26,242.58625,67.83527,5027.33,4260.14,2.75,2.52,43.2,-0.392,18.93,19.75,01a60693o0843o
60693.603923,21.072,1.341,14,18,o,0,1.44,242.58625,67.83527,5085.4,4338.4,2.76,2.56,38.0,-0.4,18.91,19.79,01a60693o0854o
60693.615181,21.191,1.369,12,17,o,0,1.76,242.58625,67.83527,5103.65,4223.55,2.68,2.48,47.2,-0.404,19.0,19.85,01a60693o0878o
60697.551307,19.482,0.373,58,22,o,0,1.28,242.58625,67.83527,4202.39,593.65,3.09,2.96,23.3,-0.432,18.82,20.02,01a60697o0668o
60697.558129,19.874,0.378,41,15,o,0,1.61,242.58625,67.83527,4200.43,593.19,2.69,2.59,27.4,-0.439,19.09,20.22,01a60697o0680o
60697.565893,19.47,0.305,59,18,o,0,1.55,242.58625,67.83527,4196.99,593.27,2.84,2.75,30.6,-0.44,19.11,20.35,01a60697o0694o
60697.57731,18.865,0.352,103,36,o,0,1.16,242.58625,67.83527,4192.21,592.21,3.95,3.74,38.6,-0.354,18.21,19.81,01a60697o0715o
60699.651362,-22.908,4.952,-2,12,o,0,2.04,242.58625,67.83527,4612.83,1506.62,2.11,2.06,60.9,-0.439,19.38,20.59,02a60699o0948o
60699.655535,20.37,0.452,26,12,o,0,2.59,242.58625,67.83527,4626.66,1541.92,2.28,2.24,-86.0,-0.43,19.28,20.58,02a60699o0957o
60699.660624,-21.694,1.9,-8,14,o,0,1.67,242.58625,67.83527,4574.51,1464.44,2.14,2.1,75.5,-0.437,19.33,20.5,02a60699o0968o
60699.665774,-22.427,4.069,-4,16,o,0,1.66,242.58625,67.83527,4556.13,1579.43,2.24,2.21,83.7,-0.43,19.17,20.36,02a60699o0979o
60709.612113,-21.754,1.838,-7,13,o,0,1.59,242.58625,67.83527,6782.74,6935.44,3.17,2.96,49.7,-0.367,19.25,20.66,01a60709o0882o
60709.615322,22.789,4.687,3,13,o,0,1.67,242.58625,67.83527,6763.41,6898.17,3.02,2.77,46.3,-0.367,19.3,20.7,01a60709o0889o
60709.620469,-21.197,0.947,-12,11,o,0,2.08,242.58625,67.83527,6819.52,6977.17,2.83,2.71,49.5,-0.382,19.37,20.69,01a60709o0900o
60709.640363,20.386,0.537,25,14,o,0,1.47,242.58625,67.83527,6837.4,6860.76,3.03,2.75,46.6,-0.358,19.33,20.76,01a60709o0943o
60710.559136,23.765,14.167,1,16,o,0,1.71,242.58625,67.83527,4158.59,619.07,2.96,2.86,36.1,-0.421,19.03,20.28,01a60710o0664o
60710.564808,19.982,0.399,37,15,o,0,2.16,242.58625,67.83527,4133.51,581.77,2.97,2.77,43.7,-0.41,19.08,20.37,01a60710o0674o
60710.569279,20.265,0.536,28,15,o,0,1.54,242.58625,67.83527,4196.39,655.97,2.75,2.6,51.2,-0.42,19.15,20.39,01a60710o0683o
60710.574146,20.112,0.454,33,15,o,0,1.62,242.58625,67.83527,4215.59,538.33,2.84,2.72,52.5,-0.407,19.13,20.41,01a60710o0692o
60711.540157,20.216,0.57,30,17,o,0,1.54,242.58625,67.83527,4162.86,610.99,3.36,3.31,89.4,-0.401,18.9,20.3,01a60711o0630o
60711.546808,21.949,2.629,6,16,o,0,1.7,242.58625,67.83527,4138.66,579.42,2.86,2.73,64.5,-0.405,19.1,20.32,01a60711o0642o
60711.552909,-23.216,7.818,-2,15,o,0,1.63,242.58625,67.83527,4200.61,656.69,2.82,2.68,61.1,-0.426,19.16,20.35,01a60711o0653o
60711.556966,19.655,0.302,50,15,o,0,1.51,242.58625,67.83527,4220.35,535.28,2.86,2.72,59.1,-0.413,19.13,20.38,01a60711o0660o
