MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60682.250496,19.585,0.21,53,11,o,0,1.09,144.40425,-19.02179,6004.06,3245.58,1.93,1.81,-27.6,-0.491,19.43,20.8,04a60682o0471o
60682.252319,20.069,0.324,34,11,o,0,1.1,144.40425,-19.02179,5984.59,3207.45,1.95,1.84,-32.5,-0.488,19.43,20.8,04a60682o0475o
60682.255231,19.751,0.274,46,12,o,0,0.99,144.40425,-19.02179,6042.29,3284.68,1.97,1.81,-24.9,-0.494,19.4,20.82,04a60682o0481o
60682.27184,19.751,0.269,46,12,o,0,1.2,144.40425,-19.02179,6063.4,3169.28,2.1,1.81,-30.6,-0.493,19.4,20.86,04a60682o0515o
60683.008815,19.975,0.207,37,8,c,0,1.61,144.40425,-19.02179,6089.03,3248.9,2.38,2.22,-61.4,-0.41,19.73,21.85,03a60683o0483c
60683.011189,20.402,0.301,25,8,c,0,1.45,144.40425,-19.02179,6070.94,3209.5,2.34,2.18,-58.7,-0.409,19.77,21.86,03a60683o0488c
60683.027923,20.072,0.238,34,8,c,0,1.44,144.40425,-19.02179,6136.04,3290.17,2.41,2.2,-51.8,-0.406,19.71,21.91,03a60683o0524c
60683.037998,20.614,0.426,21,9,c,0,0.78,144.40425,-19.02179,4407.99,7374.61,2.5,2.24,-57.5,-0.387,19.72,21.88,03a60683o0545c
60684.031112,19.835,0.204,42,9,c,0,1.15,144.40425,-19.02179,6357.17,7307.69,2.38,2.1,-55.5,-0.401,19.76,21.77,03a60684o0522c
60684.064106,19.456,0.148,60,9,c,0,1.35,144.40425,-19.02179,4239.55,3282.14,2.44,2.21,-56.9,-0.404,19.64,21.75,03a60684o0591c
60684.092683,20.17,0.288,31,9,c,0,1.44,144.40425,-19.02179,4190.58,3204.75,2.38,2.24,-51.1,-0.404,19.57,21.54,03a60684o0652c
60684.103751,23.006,5.375,2,12,c,0,1.3,144.40425,-19.02179,4169.96,3320.36,2.39,2.12,-56.0,-0.394,19.25,20.5,03a60684o0675c
60685.254139,19.262,0.202,72,14,o,0,1.38,144.40425,-19.02179,6368.81,7303.26,2.06,1.8,-42.2,-0.444,19.26,20.41,04a60685o0471o
60685.261177,19.335,0.196,67,13,o,0,1.45,144.40425,-19.02179,6348.92,7265.09,2.07,1.83,-43.2,-0.453,19.24,20.52,04a60685o0486o
60685.289572,19.74,0.207,46,10,o,0,1.64,144.40425,-19.02179,4145.56,3209.71,1.88,1.88,-46.3,-0.484,19.43,20.86,04a60685o0543o
60685.314365,19.527,0.171,56,10,o,0,1.52,144.40425,-19.02179,4129.11,3326.84,2.0,1.95,-23.0,-0.478,19.44,20.95,04a60685o0595o
60686.221182,19.926,0.567,39,22,o,0,0.97,144.40425,-19.02179,2042.97,1477.18,1.93,1.73,47.1,-0.45,18.81,19.6,04a60686o0409o
60686.249047,19.707,0.39,48,18,o,0,1.6,144.40425,-19.02179,2025.71,1437.53,2.02,1.72,45.4,-0.446,18.9,19.71,04a60686o0467o
60686.251328,20.396,0.687,25,17,o,0,1.02,144.40425,-19.02179,2083.67,1517.37,2.04,1.76,45.5,-0.443,18.92,19.73,04a60686o0472o
60686.276761,19.556,0.363,55,20,o,0,0.99,144.40425,-19.02179,8439.42,9155.87,2.16,1.85,-11.3,-0.401,19.07,20.02,04a60686o0526o
60686.997995,19.608,0.358,52,19,o,0,0.85,144.40425,-19.02179,2180.6,1386.3,2.3,2.14,-58.4,-0.42,18.91,19.75,03a60687o0415o
60686.999839,20.806,1.226,17,21,o,0,0.81,144.40425,-19.02179,2163.21,1347.24,2.35,2.17,-61.9,-0.412,18.91,19.76,03a60687o0419o
60687.003022,19.848,0.352,42,15,o,0,1.56,144.40425,-19.02179,2221.8,1428.18,2.33,2.12,-58.5,-0.419,18.92,19.77,03a60687o0426o
60687.008054,19.439,0.28,61,17,o,0,1.28,144.40425,-19.02179,2245.44,1312.51,2.28,2.1,-51.6,-0.42,18.97,19.79,03a60687o0437o
60689.242605,21.807,6.6,7,45,o,0,1.0,144.40425,-19.02179,8069.7,5068.4,2.07,1.86,-28.3,-0.488,18.23,18.32,04a60689o0396o
60689.244548,21.227,3.333,12,39,o,0,1.1,144.40425,-19.02179,8050.08,5030.91,2.2,1.86,-23.3,-0.461,18.23,18.38,04a60689o0400o
60689.269529,19.348,0.548,66,36,o,0,1.34,144.40425,-19.02179,8109.3,5107.59,2.18,1.95,-23.1,-0.462,18.25,18.42,04a60689o0453o
60689.272721,20.072,0.932,34,32,o,0,1.41,144.40425,-19.02179,8128.03,4992.39,2.23,1.93,-29.2,-0.454,18.22,18.42,04a60689o0460o
60690.223604,20.808,2.454,17,42,o,0,0.76,144.40425,-19.02179,7800.14,1190.85,2.25,2.04,-35.6,-0.417,18.1,18.14,04a60690o0415o
60690.225871,19.061,0.407,86,35,o,0,1.46,144.40425,-19.02179,7781.05,1152.13,2.18,1.96,-31.0,-0.431,18.13,18.2,04a60690o0420o
60690.229051,20.702,2.111,19,40,o,0,1.03,144.40425,-19.02179,7838.57,1230.47,2.2,1.99,-32.3,-0.436,18.15,18.22,04a60690o0427o
60690.251159,-19.721,0.846,-47,40,o,0,1.48,144.40425,-19.02179,7857.71,1113.62,2.27,1.99,-28.2,-0.429,18.12,18.17,04a60690o0473o
60690.95658,19.28,0.705,70,50,o,0,0.87,144.40425,-19.02179,7915.93,1242.77,3.36,3.16,-41.6,-0.414,17.99,18.56,03a60691o0386o
60690.958833,19.916,0.953,39,37,o,0,1.04,144.40425,-19.02179,7897.06,1203.65,2.61,2.41,-44.9,-0.411,18.23,18.57,03a60691o0391o
60690.962005,19.122,0.395,82,32,o,0,1.32,144.40425,-19.02179,7954.42,1282.39,2.53,2.31,-46.8,-0.411,18.29,18.59,03a60691o0398o
60690.984332,19.682,0.595,49,29,o,0,1.1,144.40425,-19.02179,7986.27,1166.66,2.35,2.12,-45.0,-0.432,18.34,18.6,03a60691o0446o
60692.037612,19.953,0.881,38,33,o,0,0.72,144.40425,-19.02179,8404.79,1713.62,2.36,2.12,-51.5,-0.422,18.55,18.96,03a60692o0559o
60692.064796,20.135,0.838,32,27,o,0,1.41,144.40425,-19.02179,8428.34,1754.22,2.44,2.19,-50.6,-0.422,18.47,18.94,03a60692o0616o
60692.093405,19.712,0.641,47,30,o,0,0.85,144.40425,-19.02179,8378.79,1675.16,2.58,2.33,-48.4,-0.401,18.56,19.2,03a60692o0677o
60692.114956,20.387,2.14,25,54,o,0,0.91,144.40425,-19.02179,8357.4,1790.59,2.8,2.54,-64.5,-0.406,17.91,18.09,03a60692o0722o
60693.29722,19.254,0.34,72,24,o,0,1.13,144.40425,-19.02179,8339.24,1609.68,2.32,2.07,-33.2,-0.397,18.69,19.09,04a60693o0573o
60693.299999,19.573,0.496,54,27,o,0,1.15,144.40425,-19.02179,8356.7,1649.63,2.43,1.99,-20.9,-0.4,18.59,19.04,04a60693o0579o
60693.33529,19.41,0.383,62,24,o,0,1.07,144.40425,-19.02179,8304.42,1573.64,2.31,2.05,-32.1,-0.405,18.7,19.32,04a60693o0653o
60693.352517,19.901,0.54,40,22,o,0,1.9,144.40425,-19.02179,8282.83,1689.64,2.27,2.05,-40.8,-0.411,18.71,19.25,04a60693o0688o
60694.216224,21.674,2.193,8,17,o,0,0.95,144.40425,-19.02179,320.54,5434.41,2.25,1.97,82.7,-0.387,19.09,20.12,04a60694o0390o
60694.218479,19.973,0.387,37,14,o,0,1.6,144.40425,-19.02179,301.16,5395.16,2.19,1.93,84.4,-0.393,19.09,20.11,04a60694o0395o
60694.220337,19.721,0.507,47,24,o,0,0.79,144.40425,-19.02179,10328.31,5428.76,2.36,2.11,0.1,-0.452,19.05,19.99,04a60694o0399o
60694.221249,19.3,0.244,69,17,o,0,1.31,144.40425,-19.02179,359.07,5474.01,2.17,1.92,86.1,-0.403,19.06,20.1,04a60694o0401o
60694.25491,20.196,0.59,30,18,o,0,0.87,144.40425,-19.02179,10308.69,5392.23,2.35,2.14,-3.7,-0.453,19.01,20.03,04a60694o0469o
60694.255822,20.209,0.364,30,11,o,0,1.8,144.40425,-19.02179,378.27,5355.99,2.08,1.84,86.5,-0.41,19.12,20.13,04a60694o0471o
60694.256724,19.901,0.426,40,17,o,0,1.23,144.40425,-19.02179,10366.67,5468.41,2.32,2.04,-9.8,-0.454,19.08,20.07,04a60694o0473o
60694.260336,20.503,0.845,23,19,o,0,0.93,144.40425,-19.02179,10385.5,5352.46,2.33,2.03,-9.5,-0.462,19.05,20.05,04a60694o0481o
60694.945472,19.93,0.369,39,14,o,0,1.24,144.40425,-19.02179,348.79,5293.23,2.42,2.15,-75.7,-0.4,19.16,20.21,03a60695o0365o
60694.947285,19.756,0.393,45,18,o,0,0.73,144.40425,-19.02179,332.2,5254.3,2.49,2.2,-74.9,-0.397,19.12,20.2,03a60695o0369o
60694.949993,20.323,0.533,27,14,o,0,1.09,144.40425,-19.02179,10327.64,5531.03,2.59,2.06,-59.4,-0.372,19.11,20.16,03a60695o0375o
60694.950444,20.328,0.593,27,16,o,0,0.95,144.40425,-19.02179,388.94,5334.83,2.42,2.13,-71.1,-0.399,19.17,20.23,03a60695o0376o
60694.955681,20.347,0.568,26,15,o,0,1.04,144.40425,-19.02179,414.19,5216.93,2.42,2.15,-74.0,-0.405,19.19,20.23,03a60695o0387o
60694.956132,19.787,0.349,44,15,o,0,1.16,144.40425,-19.02179,10310.74,5490.75,2.46,2.03,-58.1,-0.363,19.13,20.16,03a60695o0388o
60694.958393,21.076,1.044,14,14,o,0,1.43,144.40425,-19.02179,10368.26,5569.96,2.55,2.09,-62.9,-0.363,19.14,20.16,03a60695o0393o
60694.963819,19.677,0.307,49,15,o,0,1.46,144.40425,-19.02179,10392.66,5455.54,2.55,2.05,-57.6,-0.363,19.13,20.16,03a60695o0405o
60695.384716,19.885,0.333,40,14,o,0,1.46,144.40425,-19.02179,1067.09,2956.71,2.43,2.35,43.4,-0.412,19.26,20.25,01a60695o0387o
60695.384953,20.101,0.407,33,14,c,0,1.39,144.40425,-19.02179,9542.83,7587.65,2.73,2.58,-63.2,-0.414,19.41,20.97,02a60695o0390c
60695.385173,19.542,0.239,55,13,o,0,1.42,144.40425,-19.02179,1047.75,2917.92,2.73,2.47,44.3,-0.379,19.22,20.25,01a60695o0388o
60695.385406,20.784,0.768,18,14,c,0,0.93,144.40425,-19.02179,9562.1,7626.98,2.65,2.58,-74.4,-0.415,19.41,20.97,02a60695o0391c
60695.38563,19.578,0.236,54,13,o,0,1.63,144.40425,-19.02179,1105.91,2997.43,2.75,2.46,42.8,-0.378,19.2,20.25,01a60695o0389o
60695.385858,20.838,0.753,17,13,c,0,1.18,144.40425,-19.02179,9503.52,7548.11,2.67,2.61,-69.5,-0.413,19.4,20.97,02a60695o0392c
60695.386087,19.165,0.18,78,14,o,0,1.44,144.40425,-19.02179,1125.44,2881.55,2.74,2.47,45.3,-0.385,19.24,20.24,01a60695o0390o
60695.38631,20.869,0.835,16,14,c,0,1.18,144.40425,-19.02179,9484.15,7664.24,2.72,2.61,-65.3,-0.409,19.35,20.97,02a60695o0393c
60695.386544,19.742,0.3,46,14,o,0,1.33,144.40425,-19.02179,1086.79,2939.57,2.72,2.46,44.4,-0.385,19.2,20.24,01a60695o0391o
60695.386762,19.893,0.398,40,16,c,0,0.78,144.40425,-19.02179,9522.82,7606.83,2.65,2.58,-67.3,-0.413,19.36,20.97,02a60695o0394c
60695.397641,20.399,0.562,25,14,c,0,1.2,144.40425,-19.02179,9397.74,7665.13,2.61,2.51,-68.2,-0.415,19.31,20.74,02a60695o0416c
60697.211496,19.738,0.266,46,12,o,0,2.47,144.40425,-19.02179,4421.71,7401.95,2.03,1.79,-56.5,-0.435,19.17,20.34,04a60697o0370o
