MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60659.559256,18.007,0.818,228,186,o,0,0.67,181.64617,54.13392,3419.62,9843.04,2.2,2.14,-33.4,-0.456,16.81,16.86,02a60659o0801o
60659.566729,-19.905,5.259,-40,208,o,0,0.94,181.64617,54.13392,3440.92,9882.43,2.25,2.19,41.0,-0.428,16.41,16.57,02a60659o0817o
60659.570749,-19.548,4.62,-55,254,o,0,1.13,181.64617,54.13392,3372.28,9794.4,2.46,2.17,34.0,-0.412,16.29,16.36,02a60659o0825o
60659.581743,-18.932,1.266,-97,123,o,0,0.96,181.64617,54.13392,3357.78,9917.63,2.19,2.17,46.9,-0.456,17.27,17.27,02a60659o0848o
60663.617263,-22.336,3.765,-4,16,o,0,1.16,181.64617,54.13392,8181.86,3988.66,2.24,2.11,32.8,-0.422,19.06,19.81,02a60663o0924o
60663.620482,-23.441,9.0,-2,14,o,0,1.56,181.64617,54.13392,8206.22,4031.29,2.26,2.15,38.9,-0.42,19.06,19.82,02a60663o0931o
60663.625978,-23.006,6.722,-2,15,o,0,1.45,181.64617,54.13392,8146.98,3957.15,2.3,2.14,35.2,-0.408,19.04,19.85,02a60663o0943o
60663.650414,21.072,1.17,14,16,o,0,0.96,181.64617,54.13392,8123.81,4076.53,2.34,2.11,37.0,-0.411,19.04,19.86,02a60663o0995o
60665.59215,-19.538,0.356,-56,20,o,0,1.31,181.64617,54.13392,6185.24,2458.88,3.09,2.6,45.3,-0.354,18.9,19.98,01a60665o0854o
60665.595364,21.469,1.772,9,17,o,0,0.91,181.64617,54.13392,6163.31,2419.78,3.17,2.64,46.4,-0.353,19.05,20.08,01a60665o0861o
60665.600517,-20.602,0.88,-21,18,o,0,0.9,181.64617,54.13392,6223.09,2498.59,3.23,2.7,46.8,-0.348,18.96,20.06,01a60665o0872o
60665.613645,21.212,1.333,12,16,o,0,1.31,181.64617,54.13392,6237.62,2381.62,3.04,2.6,42.4,-0.378,19.05,20.14,01a60665o0900o
60667.58494,-23.461,7.636,-2,11,o,0,1.58,181.64617,54.13392,4377.08,4224.69,2.52,1.98,40.6,-0.43,19.23,20.26,02a60667o0851o
60667.604152,21.066,0.87,14,12,o,0,1.77,181.64617,54.13392,4393.14,4268.85,2.59,1.98,38.7,-0.435,19.32,20.51,02a60667o0892o
60667.607381,-21.159,0.927,-12,12,o,0,1.57,181.64617,54.13392,4333.81,4188.58,2.54,1.93,37.7,-0.436,19.37,20.49,02a60667o0899o
60667.613878,20.333,0.505,27,14,o,0,0.86,181.64617,54.13392,4313.67,4303.2,2.48,1.93,38.8,-0.44,19.34,20.48,02a60667o0913o
60671.555618,-21.02,0.688,-14,10,o,0,1.69,181.64617,54.13392,5292.48,2000.08,2.07,2.04,59.2,-0.432,19.49,20.89,02a60671o0782o
60671.557428,20.176,0.394,31,12,o,0,1.63,181.64617,54.13392,5309.88,2037.79,2.07,2.03,77.5,-0.438,19.5,20.9,02a60671o0786o
60671.579899,20.91,0.841,16,13,o,0,0.89,181.64617,54.13392,5255.01,1966.16,2.12,2.03,57.2,-0.429,19.48,20.79,02a60671o0834o
60671.585383,23.178,6.444,2,12,o,0,0.95,181.64617,54.13392,5234.78,2083.16,2.05,1.99,63.7,-0.433,19.51,20.78,02a60671o0846o
60673.562764,21.668,1.48,8,12,o,0,1.52,181.64617,54.13392,7165.79,8486.11,2.84,2.64,58.3,-0.406,19.42,20.75,01a60673o0792o
60673.565618,20.086,0.337,34,11,o,0,1.62,181.64617,54.13392,7146.97,8447.77,2.94,2.69,57.4,-0.396,19.38,20.73,01a60673o0798o
60673.571348,20.299,0.473,28,13,o,0,1.02,181.64617,54.13392,7204.97,8527.09,2.86,2.72,63.5,-0.411,19.4,20.74,01a60673o0810o
60673.580552,-21.141,0.911,-13,12,o,0,1.41,181.64617,54.13392,7223.71,8407.75,2.97,2.63,51.9,-0.392,19.4,20.83,01a60673o0830o
60677.560939,21.159,1.029,12,13,o,0,1.19,181.64617,54.13392,9234.27,695.1,3.14,2.92,-58.5,-0.393,19.29,20.87,01a60677o0786o
60677.563233,-22.986,5.067,-2,12,o,0,1.31,181.64617,54.13392,9212.81,653.95,2.79,2.62,-58.8,-0.431,19.39,20.86,01a60677o0791o
60677.569318,-23.822,10.625,-1,11,o,0,1.35,181.64617,54.13392,9272.56,734.98,2.58,2.43,-62.4,-0.438,19.44,20.83,01a60677o0804o
60677.577519,22.05,2.237,6,12,o,0,0.97,181.64617,54.13392,9289.6,615.89,2.69,2.55,-63.3,-0.434,19.43,20.85,01a60677o0821o
60679.567879,21.022,0.773,14,11,o,0,1.31,181.64617,54.13392,3441.89,5951.58,2.45,1.97,38.7,-0.437,19.5,20.82,02a60679o0802o
60679.569697,-23.423,7.5,-2,12,o,0,1.23,181.64617,54.13392,3461.77,5990.27,2.54,1.98,38.8,-0.411,19.48,20.81,02a60679o0806o
60679.572884,-20.502,0.564,-23,13,o,0,1.35,181.64617,54.13392,3401.98,5911.7,2.49,1.95,38.7,-0.429,19.48,20.83,02a60679o0813o
60679.596627,-20.447,0.465,-24,11,o,0,1.43,181.64617,54.13392,3378.64,6028.38,3.14,2.14,36.2,-0.41,19.48,20.96,02a60679o0864o
60681.543797,-25.869,73.0,0,12,o,0,1.15,181.64617,54.13392,2168.35,2694.57,3.13,2.61,48.7,-0.363,19.44,20.96,01a60681o0737o
60681.54663,-21.82,1.25,-7,8,o,0,2.36,181.64617,54.13392,2149.19,2656.06,2.64,2.35,48.3,-0.421,19.57,20.96,01a60681o0743o
60681.55276,-22.086,1.829,-5,10,o,0,1.35,181.64617,54.13392,2204.42,2736.34,2.65,2.3,49.7,-0.426,19.57,20.98,01a60681o0756o
60681.560324,-21.098,0.812,-13,11,o,0,0.83,181.64617,54.13392,2221.77,2619.68,2.64,2.32,49.3,-0.431,19.55,21.0,01a60681o0772o
60683.581464,-20.494,0.421,-23,10,o,0,1.92,181.64617,54.13392,6421.22,8007.26,2.66,2.17,41.8,-0.421,19.51,21.08,02a60683o0830o
60683.584645,-19.413,0.158,-62,10,o,0,1.44,181.64617,54.13392,6440.83,8043.89,2.53,2.05,45.0,-0.43,19.54,21.08,02a60683o0837o
60683.588296,-20.504,0.443,-23,10,o,0,1.59,181.64617,54.13392,6378.66,7969.17,2.46,1.99,43.8,-0.431,19.61,21.07,02a60683o0845o
60683.593762,21.921,1.911,6,12,o,0,1.32,181.64617,54.13392,6358.13,8086.45,2.57,2.04,42.1,-0.426,19.56,21.04,02a60683o0857o
60687.564988,19.866,0.734,41,30,o,0,1.1,181.64617,54.13392,5507.48,9762.9,2.66,2.53,55.2,-0.407,18.56,19.21,02a60687o0703o
60687.568181,19.633,0.578,51,29,o,0,1.13,181.64617,54.13392,5530.76,9803.27,2.79,2.66,50.6,-0.397,18.51,19.2,02a60687o0710o
60687.592983,-21.289,2.371,-11,26,o,0,1.42,181.64617,54.13392,5460.21,9723.5,2.67,2.59,76.1,-0.403,18.56,19.27,02a60687o0763o
