MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60659.274191,0.0,0.0,0,0,o,0,-2.0,337.67109,39.29172,2318.18,2435.58,2.21,1.92,37.7,-0.526,14.23,14.41,02a60659o0186o
60659.280299,18.986,0.281,92,26,o,0,2.69,337.67109,39.29172,8227.84,8034.51,2.62,2.55,-83.7,-0.434,18.6,18.89,01a60659o0196o
60659.281526,-17.231,1.367,-465,636,o,0,2.43,337.67109,39.29172,2346.08,2440.14,2.27,1.91,37.2,-0.484,15.37,15.3,02a60659o0202o
60659.283538,19.673,0.561,49,28,o,0,1.93,337.67109,39.29172,8246.01,8073.74,2.72,2.69,-85.7,-0.421,18.41,18.79,01a60659o0203o
60659.284711,19.392,1.756,64,112,o,0,1.76,337.67109,39.29172,2406.06,2517.53,2.13,1.89,34.0,-0.467,16.71,16.76,02a60659o0209o
60659.289166,-19.716,2.073,-47,98,o,0,0.98,337.67109,39.29172,8185.02,7997.97,2.55,2.49,83.3,-0.454,17.05,16.8,01a60659o0215o
60659.301955,-19.396,2.34,-63,148,o,0,0.92,337.67109,39.29172,8162.62,8116.7,2.7,2.63,77.6,-0.441,16.88,16.48,01a60659o0242o
60660.253846,-19.97,0.644,-37,24,o,0,1.6,337.67109,39.29172,2184.81,7877.17,2.5,2.35,59.0,-0.443,18.84,19.33,01a60660o0138o
60660.257068,19.405,0.291,63,18,o,0,2.43,337.67109,39.29172,2207.26,7915.87,2.52,2.35,59.0,-0.443,18.86,19.32,01a60660o0145o
60660.279399,18.955,0.249,95,24,o,0,2.67,337.67109,39.29172,2144.17,7834.56,2.5,2.39,54.1,-0.438,18.83,19.21,01a60660o0192o
60660.294442,19.505,0.444,57,25,o,0,1.96,337.67109,39.29172,2123.52,7949.27,2.81,2.59,55.6,-0.4,18.62,19.11,01a60660o0224o
60661.289388,18.99,0.243,92,22,o,0,3.74,337.67109,39.29172,8410.55,2690.95,2.12,1.91,-55.6,-0.42,18.84,19.32,02a60661o0218o
60661.293114,18.806,0.21,109,23,o,0,5.49,337.67109,39.29172,8389.62,2652.35,2.13,1.93,-54.6,-0.42,18.78,19.29,02a60661o0226o
60661.299024,18.316,0.14,171,24,o,0,4.48,337.67109,39.29172,8448.05,2730.46,2.19,1.99,-55.2,-0.414,18.78,19.24,02a60661o0239o
60661.31302,19.841,0.678,42,28,o,0,1.24,337.67109,39.29172,2177.69,7871.76,3.07,2.83,51.6,-0.38,18.59,19.2,01a60661o0068o
60661.313225,19.43,0.415,61,25,o,0,4.2,337.67109,39.29172,8467.95,2614.27,2.22,1.87,-53.0,-0.436,18.63,19.13,02a60661o0270o
60661.320482,19.037,0.335,88,30,o,0,1.77,337.67109,39.29172,2195.11,7911.09,2.96,2.92,66.9,-0.404,18.55,19.14,01a60661o0084o
60661.326062,20.645,1.451,20,29,o,0,1.65,337.67109,39.29172,2135.4,7831.88,3.09,2.98,58.8,-0.389,18.49,19.11,01a60661o0096o
60661.347558,18.588,0.274,133,36,o,0,1.6,337.67109,39.29172,2108.55,7947.07,3.31,3.27,36.7,-0.345,18.27,18.94,01a60661o0142o
60662.272544,19.434,0.263,61,16,o,0,5.68,337.67109,39.29172,3926.9,8276.73,2.22,2.13,19.0,-0.414,19.16,20.08,02a60662o0181o
60662.275316,-17.695,0.044,-303,14,o,0,8.04,337.67109,39.29172,3906.55,8237.22,2.3,2.19,15.8,-0.4,19.1,20.03,02a60662o0187o
60662.280809,18.266,0.108,179,19,o,0,6.16,337.67109,39.29172,3964.27,8314.43,2.28,2.14,26.4,-0.409,19.05,19.9,02a60662o0199o
60662.302765,-20.931,1.244,-15,19,o,0,6.67,337.67109,39.29172,3981.36,8198.31,2.19,2.05,23.6,-0.417,18.96,19.58,02a60662o0247o
60663.202927,-18.725,0.142,-117,17,o,0,7.55,337.67109,39.29172,3901.98,8295.42,2.1,1.92,25.6,-0.431,19.27,20.06,02a60663o0028o
60663.206631,-17.901,0.048,-251,12,o,0,18.97,337.67109,39.29172,3880.6,8255.15,2.06,1.86,22.4,-0.439,19.45,20.46,02a60663o0036o
60663.212577,18.421,0.096,155,15,o,0,10.04,337.67109,39.29172,3938.01,8332.62,2.01,1.89,14.1,-0.443,19.49,20.69,02a60663o0049o
60663.229619,20.729,0.796,19,15,o,0,7.02,337.67109,39.29172,3951.94,8213.61,2.03,1.9,17.2,-0.439,19.48,20.78,02a60663o0086o
60665.230044,-21.433,1.375,-10,13,o,0,3.53,337.67109,39.29172,3546.58,6340.09,2.87,2.6,52.6,-0.375,19.39,20.74,01a60665o0076o
60665.240748,-20.711,0.725,-19,14,o,0,2.17,337.67109,39.29172,3568.37,6377.91,3.04,2.59,49.2,-0.354,19.38,20.72,01a60665o0099o
60665.25504,-19.737,0.257,-46,12,o,0,4.25,337.67109,39.29172,3510.08,6298.95,2.77,2.45,44.7,-0.38,19.41,20.66,01a60665o0130o
60665.264294,19.253,0.21,72,15,o,0,5.61,337.67109,39.29172,3487.84,6414.52,2.65,2.51,43.6,-0.396,19.37,20.61,01a60665o0150o
60665.269556,19.277,0.192,71,14,o,0,8.52,337.67109,39.29172,7008.07,4229.5,2.15,1.93,32.4,-0.429,19.37,20.47,02a60665o0172o
60665.272742,-18.819,0.121,-108,13,o,0,9.31,337.67109,39.29172,6987.57,4192.23,2.2,1.95,37.3,-0.433,19.36,20.44,02a60665o0179o
60665.292921,22.96,6.333,2,15,o,0,9.17,337.67109,39.29172,7046.49,4266.28,2.12,1.94,26.6,-0.429,19.34,20.36,02a60665o0223o
60665.298843,-18.327,0.104,-170,18,o,0,6.11,337.67109,39.29172,7066.89,4150.18,2.06,1.96,29.1,-0.429,19.3,20.31,02a60665o0236o
60667.202901,-18.122,0.097,-205,20,o,0,5.53,337.67109,39.29172,7690.58,8116.17,2.21,2.09,47.1,-0.442,19.06,19.71,02a60667o0025o
60667.206136,20.127,0.539,32,17,o,0,5.75,337.67109,39.29172,7670.38,8075.87,2.2,2.07,44.0,-0.44,19.27,20.14,02a60667o0032o
60667.211621,-19.209,0.183,-75,14,o,0,8.05,337.67109,39.29172,7726.88,8154.69,2.2,2.1,82.1,-0.443,19.4,20.46,02a60667o0044o
60667.223093,22.356,3.343,4,14,o,0,28.6,337.67109,39.29172,7741.43,8037.55,2.12,2.06,-88.5,-0.453,19.47,20.54,02a60667o0069o
60670.249475,21.54,1.608,9,14,o,0,9.04,337.67109,39.29172,2727.95,10359.65,2.21,1.84,-49.6,-0.455,19.32,20.28,02a60670o0125o
60670.252687,-18.56,0.128,-137,18,o,0,6.0,337.67109,39.29172,2708.69,10318.93,2.19,1.87,-47.3,-0.461,19.3,20.26,02a60670o0132o
60670.271933,-17.792,0.043,-278,12,o,0,16.09,337.67109,39.29172,2764.17,10396.22,2.25,1.87,-49.6,-0.456,19.25,20.2,02a60670o0174o
60670.2784,-21.27,1.357,-11,15,o,0,8.25,337.67109,39.29172,2786.2,10274.7,2.21,1.86,-49.0,-0.459,19.2,20.21,02a60670o0188o
60671.282526,-17.811,0.059,-273,16,o,0,10.93,337.67109,39.29172,10264.31,204.15,2.75,1.66,-59.0,-0.52,19.23,20.42,02a60671o0194o
60671.286704,-18.431,0.161,-154,25,o,0,8.79,337.67109,39.29172,10244.26,161.35,3.01,1.55,-59.9,-0.509,19.27,20.42,02a60671o0203o
60671.288577,20.176,1.062,31,33,o,0,2.57,337.67109,39.29172,31.42,228.35,2.55,1.8,-61.9,-0.51,19.25,20.3,02a60671o0207o
60671.29419,-18.846,0.221,-105,23,o,0,7.97,337.67109,39.29172,10306.83,237.99,3.06,1.61,-60.3,-0.486,19.29,20.37,02a60671o0219o
60671.317366,16.404,0.031,996,31,o,0,76.92,337.67109,39.29172,10325.55,122.13,3.34,1.54,-58.0,-0.553,19.22,20.14,02a60671o0269o
60673.234705,18.881,0.163,102,17,o,0,6.37,337.67109,39.29172,8543.67,10473.81,2.63,2.41,-71.2,-0.399,19.32,20.57,01a60673o0089o
60673.237939,19.744,0.3,46,14,o,0,7.2,337.67109,39.29172,8564.46,10513.03,2.78,2.54,-68.1,-0.376,19.35,20.59,01a60673o0096o
60673.241512,18.581,0.129,134,17,o,0,5.06,337.67109,39.29172,4602.85,10232.33,2.34,2.14,-49.7,-0.408,19.31,20.47,02a60673o0104o
60673.244831,18.474,0.095,148,14,o,0,6.81,337.67109,39.29172,8499.8,10436.46,2.64,2.48,-87.7,-0.395,19.35,20.63,01a60673o0111o
60673.254799,-20.368,0.614,-26,16,o,0,4.41,337.67109,39.29172,4581.96,10192.02,2.34,2.14,-47.9,-0.413,19.32,20.48,02a60673o0133o
60673.258459,18.764,0.161,113,18,o,0,6.71,337.67109,39.29172,4638.06,10270.38,2.34,2.07,-49.3,-0.409,19.31,20.45,02a60673o0141o
60673.270859,18.606,0.16,131,21,o,0,4.25,337.67109,39.29172,4658.8,10151.5,2.4,2.12,-49.8,-0.402,19.28,20.37,02a60673o0168o
60674.261027,-19.902,0.437,-40,17,o,0,2.68,337.67109,39.29172,5780.07,8181.16,2.42,2.32,24.9,-0.425,19.24,20.43,02a60674o0146o
60674.264257,19.815,0.313,43,14,o,0,5.66,337.67109,39.29172,5761.74,8142.59,2.48,2.34,-43.7,-0.425,19.23,20.4,02a60674o0153o
60674.269797,18.232,0.105,185,19,o,0,3.44,337.67109,39.29172,5818.06,8219.52,2.43,2.37,-12.0,-0.425,19.19,20.37,02a60674o0165o
60674.284584,19.593,0.368,53,20,o,0,2.13,337.67109,39.29172,5836.18,8102.84,2.4,2.33,-14.0,-0.431,19.14,20.34,02a60674o0197o
60675.226751,19.417,0.255,62,16,o,0,4.19,337.67109,39.29172,5788.78,8183.55,2.46,2.26,30.7,-0.42,19.24,20.36,02a60675o0005o
60675.22994,-19.162,0.22,-78,17,o,0,5.86,337.67109,39.29172,5770.24,8145.06,2.79,2.62,26.1,-0.406,19.09,20.4,02a60675o0012o
60675.239996,-19.706,0.329,-48,16,o,0,3.68,337.67109,39.29172,5824.98,8224.09,2.73,2.62,28.9,-0.421,19.13,20.39,02a60675o0034o
60675.245975,-18.002,0.075,-229,17,o,0,2.81,337.67109,39.29172,5841.98,8106.85,2.79,2.7,31.4,-0.413,19.05,20.42,02a60675o0047o
60677.230417,-20.999,1.076,-14,16,o,0,1.83,337.67109,39.29172,6248.6,8169.67,2.86,2.69,56.0,-0.379,19.22,20.41,01a60677o0076o
60677.235577,19.692,0.354,48,17,o,0,2.29,337.67109,39.29172,6266.6,8209.34,2.9,2.82,71.4,-0.38,19.2,20.43,01a60677o0087o
60677.247149,-20.316,0.47,-27,13,o,0,3.01,337.67109,39.29172,6202.14,8132.77,2.57,2.51,75.9,-0.404,19.34,20.43,01a60677o0112o
60677.250387,-19.957,0.369,-38,14,o,0,2.38,337.67109,39.29172,6184.02,8249.78,2.84,2.57,47.5,-0.365,19.24,20.4,01a60677o0119o
60679.203425,-19.146,0.33,-80,26,o,0,2.92,337.67109,39.29172,3153.92,6360.06,2.31,1.9,28.5,-0.42,18.46,18.63,02a60679o0015o
60679.206599,19.301,0.25,69,17,o,0,7.29,337.67109,39.29172,3137.06,6320.54,2.27,1.95,29.6,-0.428,18.84,19.33,02a60679o0022o
60679.213497,-19.004,0.152,-91,14,o,0,13.64,337.67109,39.29172,3193.43,6394.26,2.18,1.85,28.8,-0.441,19.22,20.01,02a60679o0037o
