MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60659.634501,-20.039,1.419,-35,50,o,0,0.89,226.2198,20.09816,4088.88,5974.8,3.28,2.88,43.9,-0.353,17.97,18.32,01a60659o0947o
60659.644605,20.056,1.144,34,40,o,0,0.71,226.2198,20.09816,4071.95,5931.55,3.09,2.71,42.4,-0.357,18.15,18.42,01a60659o0968o
60661.639128,21.061,1.819,14,25,o,0,1.31,226.2198,20.09816,400.0,4358.06,2.45,2.23,33.5,-0.386,18.47,19.09,02a60661o0960o
60661.641943,-19.661,0.571,-50,28,o,0,1.2,226.2198,20.09816,10353.58,4341.17,2.69,2.41,-52.8,-0.47,18.64,19.28,02a60661o0966o
60661.652231,19.595,0.531,53,28,o,0,1.1,226.2198,20.09816,10375.78,4379.01,2.48,2.16,-59.1,-0.492,18.71,19.34,02a60661o0988o
60661.653135,22.839,8.526,3,23,o,0,1.0,226.2198,20.09816,423.42,4394.94,2.39,2.21,29.9,-0.382,18.54,19.21,02a60661o0990o
60661.6611,19.968,0.63,37,24,o,0,1.09,226.2198,20.09816,362.96,4316.58,2.14,1.99,28.3,-0.385,18.59,19.05,02a60661o1007o
60661.663024,-23.344,17.0,-2,28,o,0,1.17,226.2198,20.09816,10319.35,4303.64,2.32,1.94,-57.8,-0.497,18.6,19.08,02a60661o1011o
60661.665357,20.99,2.098,15,31,o,0,1.17,226.2198,20.09816,344.34,4432.89,2.26,2.0,28.3,-0.403,18.2,18.65,02a60661o1016o
60661.667277,19.669,0.865,49,43,o,0,0.73,226.2198,20.09816,10301.37,4420.7,2.29,1.98,-52.2,-0.504,18.19,18.5,02a60661o1020o
60662.636672,21.186,2.077,12,25,o,0,1.4,226.2198,20.09816,9971.8,8921.55,2.59,2.14,-56.4,-0.439,18.79,19.43,02a60662o0960o
60662.640809,21.882,3.718,6,24,o,0,1.42,226.2198,20.09816,9992.12,8959.44,2.7,2.23,-55.4,-0.423,18.82,19.43,02a60662o0969o
60662.647278,20.514,1.186,23,27,o,0,1.42,226.2198,20.09816,9931.46,8881.73,2.56,2.19,-55.5,-0.441,18.83,19.49,02a60662o0983o
60662.657823,19.661,0.542,50,27,o,0,0.99,226.2198,20.09816,9916.47,9001.87,2.59,2.12,-54.3,-0.433,18.85,19.42,02a60662o1004o
60665.640439,-20.095,0.514,-33,17,o,0,1.26,226.2198,20.09816,2604.52,2830.39,2.2,1.87,32.8,-0.45,19.04,19.71,02a60665o0967o
60665.64561,20.48,0.725,23,17,o,0,0.82,226.2198,20.09816,2623.12,2869.35,2.12,1.77,32.9,-0.453,19.1,19.76,02a60665o0978o
