MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60659.240348,20.114,0.664,33,22,o,0,1.19,327.82833,25.17431,5483.93,4917.58,2.63,2.33,42.4,-0.425,18.72,19.03,01a60659o0110o
60659.245492,20.344,0.971,26,26,o,0,1.07,327.82833,25.17431,5502.88,4956.24,2.48,2.33,49.6,-0.442,18.73,19.0,01a60659o0121o
60659.248258,-20.308,0.982,-27,27,o,0,0.81,327.82833,25.17431,5445.18,4879.55,2.54,2.3,43.6,-0.43,18.69,18.98,01a60659o0127o
60659.261685,20.218,0.799,30,24,o,0,1.44,327.82833,25.17431,5420.46,4995.22,2.55,2.33,44.3,-0.431,18.66,18.83,01a60659o0156o
60660.265737,20.165,0.763,31,24,o,0,1.22,327.82833,25.17431,9346.4,4675.15,2.6,2.27,-60.7,-0.463,18.68,18.98,01a60660o0163o
60660.268537,-21.092,1.75,-13,23,o,0,1.3,327.82833,25.17431,9363.69,4714.2,2.6,2.23,-59.0,-0.465,18.64,18.95,01a60660o0169o
60660.284071,-20.427,1.111,-24,27,o,0,1.05,327.82833,25.17431,9298.44,4640.81,2.66,2.37,-60.9,-0.449,18.52,18.8,01a60660o0202o
60660.290625,-23.426,17.1,-2,26,o,0,1.47,327.82833,25.17431,9277.06,4758.39,2.68,2.62,-74.6,-0.414,18.38,18.73,01a60660o0216o
60661.235621,-22.167,3.667,-5,18,o,0,0.89,327.82833,25.17431,1213.41,5852.51,2.05,1.97,26.1,-0.451,19.04,19.73,02a60661o0101o
60661.238795,21.317,1.5,11,16,o,0,1.37,327.82833,25.17431,1195.43,5813.26,2.14,2.07,35.0,-0.445,18.95,19.65,02a60661o0108o
60661.245703,25.03,62.667,0,22,o,0,0.91,327.82833,25.17431,1258.36,5888.43,2.09,2.04,29.4,-0.451,18.87,19.53,02a60661o0123o
60661.256399,21.191,1.635,12,20,o,0,1.58,327.82833,25.17431,1277.6,5774.53,2.12,2.0,33.6,-0.448,18.77,19.34,02a60661o0146o
60662.232315,-22.023,1.547,-6,9,o,0,1.98,327.82833,25.17431,4490.98,1267.06,2.08,1.86,-58.7,-0.461,19.41,20.48,02a60662o0093o
60662.235528,-20.76,0.755,-18,14,o,0,0.84,327.82833,25.17431,4470.91,1227.84,2.18,1.94,-56.4,-0.46,19.34,20.5,02a60662o0100o
60662.241027,21.718,1.785,8,13,o,0,1.0,327.82833,25.17431,4532.54,1305.47,2.17,1.93,-54.9,-0.454,19.36,20.48,02a60662o0112o
60662.252937,21.478,1.212,9,11,o,0,1.2,327.82833,25.17431,4552.32,1185.54,2.12,1.85,-57.4,-0.459,19.37,20.47,02a60662o0138o
60664.269224,21.308,1.069,11,12,o,0,1.08,327.82833,25.17431,10498.69,3092.63,2.56,2.29,-54.4,-0.39,19.31,20.48,01a60664o0068o
60664.270147,-21.912,2.089,-6,13,o,0,1.12,327.82833,25.17431,607.35,3140.58,2.64,2.47,46.4,-0.385,19.33,20.56,01a60664o0070o
60664.272056,20.866,0.803,16,13,o,0,1.28,327.82833,25.17431,10515.22,3131.8,2.69,2.38,-51.0,-0.37,19.24,20.46,01a60664o0074o
60664.272975,-22.462,3.138,-4,12,o,0,1.24,327.82833,25.17431,626.02,3178.82,2.53,2.4,47.5,-0.39,19.36,20.55,01a60664o0076o
60664.277229,21.718,1.7,8,13,o,0,1.08,327.82833,25.17431,10453.84,3057.08,2.57,2.25,-55.6,-0.387,19.28,20.37,01a60664o0085o
60664.278147,-20.706,0.725,-19,14,o,0,1.0,327.82833,25.17431,565.55,3099.01,2.58,2.48,49.0,-0.388,19.32,20.48,01a60664o0087o
60664.291062,22.539,4.792,4,17,o,0,0.68,327.82833,25.17431,10427.35,3179.39,2.77,2.41,-58.9,-0.385,19.07,20.15,01a60664o0115o
60664.292946,-21.558,1.281,-9,11,o,0,1.96,327.82833,25.17431,540.58,3214.11,2.55,2.42,48.3,-0.382,19.21,20.28,01a60664o0119o
60665.225627,-22.483,4.231,-4,16,o,0,0.88,327.82833,25.17431,9914.13,7441.68,2.45,2.11,-53.7,-0.45,19.4,20.52,02a60665o0076o
60665.228795,21.047,1.294,14,18,o,0,0.86,327.82833,25.17431,9894.91,7402.06,2.36,2.08,-54.5,-0.46,19.39,20.51,02a60665o0083o
60665.233379,20.474,0.749,24,18,o,0,1.47,327.82833,25.17431,50.55,7481.13,2.06,1.83,-48.9,-0.41,19.36,20.44,02a60665o0093o
60665.234336,20.839,0.803,17,14,o,0,1.41,327.82833,25.17431,9951.68,7483.05,2.33,2.13,-48.7,-0.461,19.38,20.47,02a60665o0095o
60665.253563,21.682,2.0,8,15,o,0,1.14,327.82833,25.17431,72.23,7361.74,2.03,1.78,-50.4,-0.437,19.31,20.34,02a60665o0137o
60665.254016,21.612,1.983,8,16,o,0,0.96,327.82833,25.17431,9969.11,7365.95,2.36,2.05,-49.9,-0.471,19.36,20.43,02a60665o0138o
60666.229576,20.597,0.579,21,12,o,0,1.19,327.82833,25.17431,8407.25,1099.02,2.28,1.65,-57.6,-0.499,19.45,20.56,02a60666o0084o
