MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60656.3597,0.0,0.0,0,0,o,0,-0.0,81.19997,17.96081,8200.72,5828.63,2.64,2.52,22.1,-0.461,14.71,14.89,01a60656o0358o
60656.368654,17.759,0.163,286,47,o,0,1.09,81.19997,17.96081,8179.97,5788.17,3.02,2.55,16.5,-0.351,17.81,18.18,01a60656o0377o
60656.371876,17.765,0.17,284,48,o,0,0.76,81.19997,17.96081,8238.21,5866.33,2.96,2.48,18.4,-0.375,18.09,18.57,01a60656o0384o
60656.377361,16.472,0.43,936,402,o,0,1.19,81.19997,17.96081,8259.07,5750.17,2.84,2.44,18.1,-0.406,15.54,15.72,01a60656o0396o
60661.512328,18.022,0.106,224,24,o,0,1.3,81.19997,17.96081,6065.52,2016.36,2.2,2.06,16.6,-0.404,18.46,18.88,02a60661o0696o
60661.542009,17.931,0.098,244,24,o,0,1.74,81.19997,17.96081,6052.8,1979.77,2.05,1.92,38.5,-0.433,18.44,18.79,02a60661o0758o
60661.570725,17.849,0.114,263,30,o,0,0.96,81.19997,17.96081,6117.05,2057.92,2.07,2.0,39.0,-0.418,18.34,18.64,02a60661o0819o
60661.595917,17.92,0.16,247,39,o,0,0.89,81.19997,17.96081,6143.85,1942.03,2.03,2.01,16.9,-0.42,18.17,18.46,02a60661o0872o
60662.444961,18.099,0.116,209,24,o,0,0.89,81.19997,17.96081,92.54,7653.88,2.21,1.95,-5.2,-0.378,18.94,19.61,02a60662o0556o
60662.448591,18.025,0.097,224,22,o,0,1.27,81.19997,17.96081,74.24,7614.85,2.11,1.91,-3.6,-0.397,18.97,19.61,02a60662o0564o
60662.449947,17.921,0.094,246,23,o,0,0.9,81.19997,17.96081,10187.45,7695.62,2.43,2.21,-33.4,-0.438,18.92,19.58,02a60662o0567o
60662.454152,17.982,0.086,233,20,o,0,1.09,81.19997,17.96081,10168.83,7658.18,2.27,1.96,-54.0,-0.475,19.02,19.56,02a60662o0576o
60662.456036,17.919,0.078,247,19,o,0,1.05,81.19997,17.96081,133.52,7695.24,1.97,1.85,-19.6,-0.424,19.03,19.6,02a60662o0580o
60662.459749,18.145,0.106,200,21,o,0,1.13,81.19997,17.96081,10229.35,7739.23,2.36,1.99,-54.1,-0.465,19.0,19.56,02a60662o0588o
60662.468483,17.951,0.069,240,17,o,0,1.81,81.19997,17.96081,156.92,7577.08,1.99,1.88,-8.9,-0.41,19.0,19.57,02a60662o0607o
60662.47184,18.161,0.126,198,25,o,0,0.69,81.19997,17.96081,10250.79,7618.75,2.39,2.13,-47.4,-0.452,18.94,19.55,02a60662o0614o
60663.476187,18.098,0.077,209,16,o,0,1.07,81.19997,17.96081,357.07,2884.44,2.65,2.48,61.4,-0.382,19.12,20.15,01a60663o0227o
60663.479463,18.088,0.069,211,14,o,0,1.28,81.19997,17.96081,377.33,2923.0,2.62,2.38,53.9,-0.38,19.17,20.12,01a60663o0234o
60663.484607,18.172,0.082,196,16,o,0,1.21,81.19997,17.96081,318.09,2843.39,2.78,2.56,50.9,-0.364,19.12,20.09,01a60663o0245o
60663.496758,18.23,0.084,185,16,o,0,1.02,81.19997,17.96081,298.69,2957.53,2.65,2.44,49.7,-0.368,19.17,20.05,01a60663o0271o
60664.453708,18.082,0.066,212,14,o,0,1.59,81.19997,17.96081,6689.65,6985.1,2.69,2.44,51.1,-0.374,19.23,20.29,01a60664o0461o
60664.456916,18.249,0.07,182,13,o,0,1.86,81.19997,17.96081,6710.54,7023.32,2.57,2.34,46.6,-0.389,19.29,20.3,01a60664o0468o
60664.462436,18.156,0.079,198,16,o,0,0.9,81.19997,17.96081,6652.72,6945.17,2.7,2.42,41.8,-0.37,19.24,20.3,01a60664o0480o
60664.473389,18.149,0.073,200,15,o,0,1.27,81.19997,17.96081,6632.94,7060.72,2.63,2.39,49.5,-0.371,19.26,20.2,01a60664o0503o
