MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60661.072082,20.161,0.443,31,14,o,0,1.97,9.64021,-27.19939,2292.55,4487.95,2.03,1.86,86.3,-0.416,19.08,20.12,04a60661o0101o
60661.075844,21.501,1.776,9,16,o,0,1.4,9.64021,-27.19939,2310.89,4527.65,2.09,1.99,-75.1,-0.432,19.0,20.02,04a60661o0109o
60661.08142,20.669,1.031,20,20,o,0,0.78,9.64021,-27.19939,2253.45,4451.08,2.27,2.09,78.7,-0.395,18.9,19.89,04a60661o0121o
60661.09172,21.927,3.114,6,19,o,0,0.98,9.64021,-27.19939,2233.02,4567.93,2.25,2.01,78.1,-0.398,18.83,19.71,04a60661o0143o
60662.075843,-26.083,121.0,0,16,o,0,2.13,9.64021,-27.19939,8353.62,9047.42,2.26,1.85,-3.7,-0.414,19.32,20.58,04a60662o0109o
60662.079156,21.964,3.381,6,20,o,0,1.05,9.64021,-27.19939,8372.09,9087.55,2.33,1.9,-4.8,-0.414,19.23,20.57,04a60662o0116o
60662.086111,20.77,0.861,18,15,o,0,1.55,9.64021,-27.19939,8314.18,9008.42,2.31,1.99,-12.7,-0.399,19.22,20.54,04a60662o0131o
60662.104861,20.752,1.015,18,18,o,0,1.43,9.64021,-27.19939,8293.45,9127.15,2.27,1.89,-10.2,-0.395,18.94,19.98,04a60662o0171o
60662.842444,-21.99,2.379,-6,14,o,0,1.71,9.64021,-27.19939,8241.47,9125.25,2.84,2.34,-46.7,-0.41,19.27,20.78,03a60663o0157o
60662.864417,21.407,1.729,10,17,o,0,1.49,9.64021,-27.19939,8261.73,9163.07,2.86,2.38,-46.3,-0.41,19.08,20.37,03a60663o0205o
60662.868097,20.222,0.59,30,18,o,0,1.22,9.64021,-27.19939,8205.43,9082.22,2.88,2.34,-45.5,-0.411,18.99,20.2,03a60663o0213o
60662.87319,-20.455,0.81,-24,19,o,0,1.1,9.64021,-27.19939,8181.34,9197.98,2.82,2.32,-45.6,-0.402,18.92,20.05,03a60663o0224o
60663.851063,-21.014,1.04,-14,15,o,0,1.21,9.64021,-27.19939,4407.8,2917.28,2.27,2.08,-50.4,-0.424,19.24,20.46,03a60664o0176o
60663.886747,21.681,2.298,8,18,o,0,0.94,9.64021,-27.19939,4425.68,2955.81,2.36,2.22,-46.3,-0.427,19.04,20.15,03a60664o0250o
60663.899395,20.102,0.685,33,23,o,0,1.07,9.64021,-27.19939,4368.67,2878.37,2.37,2.2,-48.4,-0.434,18.92,19.85,03a60664o0277o
60663.90271,21.356,1.897,10,20,o,0,1.46,9.64021,-27.19939,4343.98,2992.48,2.51,2.33,-57.6,-0.402,18.79,19.79,03a60664o0284o
60665.06855,24.413,18.0,1,11,o,0,1.53,9.64021,-27.19939,4359.89,2923.59,1.98,1.9,-20.9,-0.469,19.26,20.51,04a60665o0090o
60665.0714,-21.135,1.119,-13,14,o,0,1.44,9.64021,-27.19939,4380.43,2962.28,1.99,1.84,-24.9,-0.488,19.24,20.47,04a60665o0096o
60665.077038,21.611,1.438,8,12,o,0,1.95,9.64021,-27.19939,4320.31,2885.05,1.88,1.86,-47.2,-0.448,19.28,20.57,04a60665o0108o
60665.08682,-20.889,0.813,-16,13,o,0,1.36,9.64021,-27.19939,4300.37,3002.24,2.01,1.89,-10.4,-0.487,19.25,20.53,04a60665o0129o
60666.088846,20.498,0.677,23,16,o,0,1.69,9.64021,-27.19939,4536.56,9215.69,2.05,1.74,-61.6,-0.425,19.37,20.77,04a60666o0132o
60666.092064,-21.775,2.264,-7,16,o,0,1.45,9.64021,-27.19939,4557.1,9254.95,2.09,1.73,-68.9,-0.452,19.36,20.79,04a60666o0139o
