MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60666.333971,-21.035,1.363,-14,19,o,0,1.28,207.93738,-29.33689,703.96,7335.94,2.25,1.87,-73.6,-0.402,18.91,19.81,04a60666o0645o
60666.338135,-20.21,0.518,-30,16,o,0,1.69,207.93738,-29.33689,683.58,7296.99,2.21,1.87,-75.7,-0.407,18.94,19.8,04a60666o0654o
60666.345598,-20.233,0.722,-29,21,o,0,1.19,207.93738,-29.33689,742.27,7375.35,2.15,1.84,-65.5,-0.419,18.8,19.48,04a60666o0670o
60666.354769,19.123,0.472,81,38,o,0,0.83,207.93738,-29.33689,761.44,7260.79,2.24,1.93,-68.5,-0.407,18.37,18.76,04a60666o0688o
60676.077565,20.926,1.054,16,16,c,0,1.18,207.93738,-29.33689,2710.89,1584.44,3.09,2.94,-20.9,-0.423,19.02,20.88,03a60676o0642c
60676.081756,-20.172,0.508,-31,16,c,0,0.82,207.93738,-29.33689,2691.62,1543.4,2.84,2.8,-38.3,-0.39,19.13,20.83,03a60676o0651c
60676.089417,20.549,0.822,22,18,c,0,1.4,207.93738,-29.33689,2749.94,1622.89,3.28,3.14,-14.7,-0.382,18.82,20.59,03a60676o0666c
60676.099001,20.806,1.729,17,30,c,0,1.01,207.93738,-29.33689,2771.48,1506.79,3.24,3.16,-46.9,-0.38,18.44,19.62,03a60676o0687c
60677.330231,22.25,4.714,5,22,o,0,0.71,207.93738,-29.33689,2615.54,1647.55,1.86,1.73,55.2,-0.431,19.05,19.99,04a60677o0631o
60679.068088,20.638,0.636,20,13,c,0,0.95,207.93738,-29.33689,6602.35,5633.17,2.55,2.25,-53.5,-0.394,19.4,21.14,03a60679o0621c
60679.071813,20.527,0.564,22,13,c,0,0.69,207.93738,-29.33689,6585.11,5592.98,2.52,2.25,-56.4,-0.396,19.41,21.16,03a60679o0629c
60679.089753,-21.122,0.882,-13,11,c,0,1.53,207.93738,-29.33689,6642.0,5671.65,2.59,2.27,-53.7,-0.395,19.37,21.0,03a60679o0667c
60679.099188,-21.89,2.8,-6,18,c,0,1.33,207.93738,-29.33689,6664.6,5554.68,2.88,2.61,-50.7,-0.381,18.84,20.12,03a60679o0686c
60680.073504,20.421,0.517,25,13,c,0,1.32,207.93738,-29.33689,898.93,3545.97,2.54,2.35,-59.3,-0.383,19.3,20.95,03a60680o0613c
60680.077635,-21.235,1.333,-12,16,c,0,0.75,207.93738,-29.33689,879.85,3505.88,2.56,2.38,-55.0,-0.386,19.32,20.98,03a60680o0622c
60680.087766,-22.238,2.269,-5,10,c,0,1.59,207.93738,-29.33689,938.39,3585.32,2.59,2.43,-56.9,-0.375,19.29,20.91,03a60680o0644c
60680.096434,-20.166,0.463,-31,14,c,0,0.9,207.93738,-29.33689,959.93,3468.9,2.41,2.24,-54.7,-0.386,19.17,20.5,03a60680o0663c
60681.336281,-20.632,0.734,-20,15,o,0,1.65,207.93738,-29.33689,846.91,3658.08,2.06,1.78,52.9,-0.411,19.29,20.56,04a60681o0591o
60681.341528,21.505,1.684,9,15,o,0,1.13,207.93738,-29.33689,826.13,3619.78,2.02,1.79,59.4,-0.416,19.29,20.6,04a60681o0602o
60681.363013,-21.297,1.564,-11,17,o,0,1.94,207.93738,-29.33689,885.76,3698.48,1.99,1.79,64.2,-0.42,18.93,19.8,04a60681o0644o
60682.331171,19.432,0.222,61,14,o,0,1.32,207.93738,-29.33689,2776.29,3592.31,1.84,1.79,69.4,-0.448,19.29,20.58,04a60682o0641o
60682.33407,-19.986,0.42,-37,15,o,0,0.8,207.93738,-29.33689,2758.52,3553.53,1.88,1.79,78.8,-0.434,19.29,20.61,04a60682o0647o
60682.348003,21.172,1.232,12,15,o,0,1.1,207.93738,-29.33689,2816.23,3632.09,1.88,1.78,77.8,-0.444,19.33,20.63,04a60682o0677o
60682.356031,20.347,0.431,26,11,o,0,1.57,207.93738,-29.33689,2836.12,3515.93,1.85,1.76,72.3,-0.436,19.27,20.44,04a60682o0694o
60682.366253,19.864,0.656,41,27,o,0,0.66,207.93738,-29.33689,2797.62,3576.28,1.86,1.73,78.2,-0.437,18.77,19.42,04a60682o0716o
60683.075452,-22.261,1.935,-4,9,c,0,1.23,207.93738,-29.33689,2832.03,3521.77,2.32,2.14,-50.5,-0.413,19.56,21.41,03a60683o0622c
60683.079581,22.125,2.03,5,10,c,0,0.85,207.93738,-29.33689,2813.86,3483.24,2.43,2.23,-50.4,-0.399,19.53,21.4,03a60683o0631c
60683.092094,21.63,1.346,8,11,c,0,0.82,207.93738,-29.33689,2871.01,3561.2,2.45,2.23,-53.5,-0.4,19.46,21.21,03a60683o0658c
60683.104702,-22.884,7.647,-2,20,c,0,0.91,207.93738,-29.33689,2896.99,3444.62,2.42,2.21,-52.1,-0.396,18.9,19.83,03a60683o0682c
60684.07834,-20.738,0.676,-18,12,c,0,1.06,207.93738,-29.33689,4753.73,7628.3,2.84,2.44,-47.9,-0.352,19.19,21.3,03a60684o0621c
60684.081966,20.492,0.53,23,12,c,0,0.69,207.93738,-29.33689,4735.29,7589.84,2.62,2.31,-49.1,-0.367,19.35,21.32,03a60684o0629c
60684.088806,22.9,4.133,2,10,c,0,1.15,207.93738,-29.33689,4794.66,7668.03,2.61,2.28,-45.6,-0.372,19.47,21.23,03a60684o0644c
