MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60661.093973,20.455,1.19,24,28,o,0,0.84,25.46709,-19.72146,1616.81,141.39,2.76,1.95,47.4,-0.441,18.88,19.84,04a60661o0148o
60661.097169,21.736,3.048,7,22,o,0,1.15,25.46709,-19.72146,1636.42,181.05,2.69,1.92,46.4,-0.459,18.84,19.83,04a60661o0155o
60661.107048,-21.335,2.712,-11,29,o,0,1.48,25.46709,-19.72146,1575.27,103.11,2.56,1.84,41.3,-0.49,18.86,19.68,04a60661o0176o
60661.112326,20.456,1.006,24,24,o,0,1.0,25.46709,-19.72146,1557.91,221.37,2.63,1.82,44.3,-0.46,18.82,19.63,04a60661o0187o
60661.125903,21.211,2.047,12,24,o,0,1.11,25.46709,-19.72146,2369.84,10349.03,2.54,1.88,-74.0,-0.469,18.79,19.54,04a60661o0215o
60661.128725,-20.131,0.945,-32,30,o,0,1.13,25.46709,-19.72146,2389.5,10388.66,2.45,1.83,-71.8,-0.496,18.8,19.51,04a60661o0221o
60661.134663,-20.78,1.245,-18,22,o,0,1.5,25.46709,-19.72146,2329.49,10309.98,2.71,1.86,-74.2,-0.422,18.76,19.49,04a60661o0233o
60661.1453,-20.012,0.794,-36,28,o,0,0.99,25.46709,-19.72146,2308.87,10429.2,2.42,1.83,-72.3,-0.468,18.77,19.43,04a60661o0255o
60662.12485,22.049,3.325,6,18,o,0,1.27,25.46709,-19.72146,7548.56,4713.53,2.27,1.91,-23.4,-0.452,18.9,19.79,04a60662o0214o
60662.127729,20.064,0.519,34,18,o,0,1.04,25.46709,-19.72146,7570.43,4752.07,2.2,1.84,-22.6,-0.442,18.91,19.76,04a60662o0220o
60662.137569,22.333,4.839,4,20,o,0,1.05,25.46709,-19.72146,7509.47,4674.31,2.23,1.83,-20.4,-0.464,18.84,19.66,04a60662o0241o
60662.157162,20.798,1.358,17,24,o,0,1.0,25.46709,-19.72146,7489.03,4793.16,2.16,1.83,-23.8,-0.461,18.76,19.58,04a60662o0282o
60662.852058,20.629,0.58,20,12,o,0,0.97,25.46709,-19.72146,7546.58,4783.66,2.54,2.23,-57.9,-0.421,19.38,20.97,03a60663o0178o
60662.855264,21.828,1.875,7,13,o,0,1.24,25.46709,-19.72146,7568.04,4822.67,2.52,2.22,-58.4,-0.419,19.33,20.91,03a60663o0185o
60662.861676,22.465,3.909,4,15,o,0,0.72,25.46709,-19.72146,7512.63,4743.7,2.53,2.23,-58.5,-0.423,19.24,20.7,03a60663o0199o
60662.876861,21.39,1.468,10,15,o,0,1.09,25.46709,-19.72146,7492.06,4858.41,2.48,2.17,-60.5,-0.412,19.0,20.21,03a60663o0232o
60663.908334,22.201,3.621,5,17,o,0,1.09,25.46709,-19.72146,4472.4,8754.24,2.52,2.17,-39.5,-0.393,18.99,19.94,03a60664o0296o
60663.933507,22.442,5.263,4,20,o,0,1.16,25.46709,-19.72146,4492.7,8791.92,2.82,2.4,-36.6,-0.364,18.77,19.7,03a60664o0350o
60663.940785,20.348,0.943,26,25,o,0,0.81,25.46709,-19.72146,4437.03,8712.91,2.84,2.51,-40.5,-0.36,18.65,19.6,03a60664o0366o
60663.944418,19.925,0.551,39,21,o,0,1.42,25.46709,-19.72146,4414.57,8828.74,2.92,2.57,-35.2,-0.345,18.59,19.57,03a60664o0374o
60665.095415,-21.97,2.432,-6,14,o,0,1.29,25.46709,-19.72146,4567.15,8766.33,2.28,1.88,-65.2,-0.484,19.27,20.56,04a60665o0147o
60665.098671,19.812,0.335,43,14,o,0,0.82,25.46709,-19.72146,4586.09,8805.35,2.09,1.79,-64.4,-0.43,19.27,20.54,04a60665o0154o
60665.121136,21.392,1.447,10,15,o,0,0.73,25.46709,-19.72146,4530.14,8730.54,1.97,1.78,-60.1,-0.442,19.28,20.54,04a60665o0201o
60665.126662,20.502,0.6,23,14,o,0,1.32,25.46709,-19.72146,4507.58,8844.94,2.07,1.71,-68.6,-0.464,19.29,20.55,04a60665o0213o
60666.126711,20.944,0.75,15,11,o,0,0.91,25.46709,-19.72146,3678.36,4899.35,1.96,1.76,-75.0,-0.439,19.4,20.83,04a60666o0213o
60666.129645,21.7,1.264,8,10,o,0,1.08,25.46709,-19.72146,3697.26,4938.16,1.87,1.74,-67.9,-0.449,19.41,20.83,04a60666o0219o
60666.135516,-21.028,0.754,-14,11,o,0,1.18,25.46709,-19.72146,3636.91,4862.13,1.93,1.76,-74.6,-0.448,19.4,20.84,04a60666o0231o
60666.162019,20.614,0.584,21,12,o,0,1.07,25.46709,-19.72146,3615.68,4979.93,1.98,1.84,-72.0,-0.428,19.32,20.72,04a60666o0287o
60666.888645,20.314,0.455,27,12,c,0,0.76,25.46709,-19.72146,3685.2,4872.06,2.64,2.44,-52.7,-0.385,19.46,21.57,03a60667o0207c
60666.892304,21.629,1.244,8,10,c,0,1.19,25.46709,-19.72146,3702.66,4910.59,2.6,2.35,-51.5,-0.383,19.52,21.55,03a60667o0215c
60666.898767,21.123,0.708,13,9,c,0,1.59,25.46709,-19.72146,3644.86,4832.48,2.54,2.34,-50.6,-0.387,19.52,21.54,03a60667o0229c
60666.920567,21.722,1.316,7,10,c,0,1.42,25.46709,-19.72146,3624.67,4947.06,2.61,2.41,-60.2,-0.384,19.45,21.48,03a60667o0276c
60667.859999,21.042,0.918,14,13,c,0,1.07,25.46709,-19.72146,10239.52,8665.32,3.12,2.48,-54.0,-0.414,19.48,21.49,03a60668o0190c
60667.863217,21.268,1.167,11,13,c,0,1.06,25.46709,-19.72146,10258.39,8704.95,3.33,2.78,-53.7,-0.398,19.36,21.47,03a60668o0197c
60667.869212,20.409,0.5,25,12,c,0,1.22,25.46709,-19.72146,10201.79,8623.65,3.17,2.68,-52.4,-0.4,19.38,21.45,03a60668o0210c
60667.87331,22.777,4.364,3,12,c,0,1.06,25.46709,-19.72146,276.86,8406.62,3.16,2.84,-34.2,-0.365,19.39,21.5,03a60668o0219c
60667.88067,21.664,1.531,8,12,c,0,1.14,25.46709,-19.72146,295.82,8445.74,3.07,2.77,-40.7,-0.371,19.4,21.5,03a60668o0235c
60667.881121,-21.6,1.437,-8,12,c,0,1.27,25.46709,-19.72146,10183.17,8738.94,3.24,2.73,-57.4,-0.393,19.32,21.42,03a60668o0236c
60667.887107,20.539,0.489,22,11,c,0,1.25,25.46709,-19.72146,240.6,8367.73,3.08,2.73,-39.6,-0.361,19.4,21.46,03a60668o0249c
60669.115086,0.0,20.287,0,28,o,0,0.72,25.46709,-19.72146,10340.94,8536.68,2.59,1.78,0.8,-0.466,19.29,20.62,04a60669o0186o
60669.118341,21.029,1.571,14,22,o,0,1.0,25.46709,-19.72146,10360.86,8576.85,2.58,1.82,0.2,-0.478,19.27,20.59,04a60669o0193o
60669.124153,-21.269,1.814,-11,20,o,0,1.49,25.46709,-19.72146,10299.58,8496.05,2.66,1.94,3.8,-0.493,19.28,20.54,04a60669o0205o
60669.130004,20.448,0.545,24,13,o,0,1.5,25.46709,-19.72146,347.55,8523.61,2.6,1.99,-83.3,-0.369,19.31,20.59,04a60669o0217o
60669.132841,20.404,0.503,25,13,o,0,1.3,25.46709,-19.72146,366.66,8562.79,2.6,1.87,-83.5,-0.384,19.33,20.56,04a60669o0223o
60669.139962,20.443,0.697,24,17,o,0,1.04,25.46709,-19.72146,308.93,8486.44,2.68,1.95,-83.1,-0.369,19.28,20.6,04a60669o0238o
60669.145376,-21.815,3.029,-7,21,o,0,1.52,25.46709,-19.72146,10280.84,8613.56,2.48,1.77,1.2,-0.481,19.23,20.46,04a60669o0249o
60669.164782,23.331,8.3,2,14,o,0,1.56,25.46709,-19.72146,288.3,8607.58,2.66,1.91,-86.1,-0.375,19.24,20.43,04a60669o0290o
60670.0798,20.15,0.576,32,18,o,0,1.35,25.46709,-19.72146,9394.06,2692.34,2.75,2.01,-28.3,-0.397,19.39,20.85,04a60670o0109o
60670.082672,24.752,38.0,0,17,o,0,1.32,25.46709,-19.72146,9411.36,2730.57,2.73,1.95,-27.6,-0.405,19.42,20.87,04a60670o0115o
60670.089703,20.356,0.651,26,17,o,0,0.94,25.46709,-19.72146,9353.97,2652.77,2.52,1.93,-26.9,-0.435,19.42,20.84,04a60670o0129o
60670.100223,20.099,0.521,33,17,o,0,1.15,25.46709,-19.72146,9334.97,2772.11,2.6,2.01,-26.7,-0.419,19.37,20.89,04a60670o0151o
60670.805298,-19.247,0.585,-73,42,c,0,1.2,25.46709,-19.72146,9428.43,2816.35,2.87,2.42,-59.9,-0.376,17.83,19.7,03a60671o0058c
60670.808473,-20.687,0.676,-19,13,c,0,0.83,25.46709,-19.72146,9447.5,2856.15,2.64,2.23,-60.1,-0.385,19.03,20.96,03a60671o0065c
60670.824532,-20.759,0.514,-18,9,c,0,1.5,25.46709,-19.72146,9396.55,2775.63,2.66,2.21,-61.4,-0.384,19.54,21.54,03a60671o0100c
60670.829975,21.446,0.883,10,8,c,0,1.54,25.46709,-19.72146,9371.2,2893.41,2.6,2.13,-62.1,-0.389,19.56,21.56,03a60671o0112c
60671.804989,21.332,0.903,11,10,c,0,1.13,25.46709,-19.72146,7471.59,2849.42,2.66,2.28,-59.3,-0.398,19.53,21.47,03a60672o0057c
60671.808168,24.677,19.0,0,9,c,0,1.1,25.46709,-19.72146,7490.01,2888.87,2.55,2.2,-59.1,-0.408,19.55,21.49,03a60672o0064c
60671.825507,21.733,1.432,7,10,c,0,1.37,25.46709,-19.72146,7436.83,2809.93,2.76,2.42,-57.8,-0.399,19.43,21.48,03a60672o0102c
60671.830994,21.337,1.0,11,11,c,0,1.48,25.46709,-19.72146,7417.47,2925.21,2.99,2.68,-57.8,-0.398,19.38,21.48,03a60672o0114c
60673.05049,22.358,3.5,4,14,o,0,0.89,25.46709,-19.72146,7430.48,2773.38,2.23,1.83,-25.5,-0.438,19.33,20.59,04a60673o0047o
60673.05378,20.474,0.595,24,14,o,0,1.01,25.46709,-19.72146,7450.35,2812.59,2.24,1.87,-25.3,-0.439,19.35,20.63,04a60673o0054o
60673.064163,20.709,0.662,19,12,o,0,0.87,25.46709,-19.72146,7391.16,2735.5,2.23,1.87,-24.1,-0.435,19.34,20.7,04a60673o0076o
60673.069661,-21.208,1.167,-12,14,o,0,0.8,25.46709,-19.72146,7371.32,2851.23,2.24,1.83,-27.7,-0.426,19.37,20.71,04a60673o0088o
60674.121453,22.289,2.769,4,12,o,0,0.61,25.46709,-19.72146,5611.28,4802.37,1.97,1.76,-44.2,-0.449,19.28,20.65,04a60674o0198o
60674.12429,21.46,1.298,10,12,o,0,0.87,25.46709,-19.72146,5630.13,4841.11,1.96,1.76,-35.0,-0.462,19.3,20.63,04a60674o0204o
60674.12989,20.266,0.392,28,11,o,0,1.67,25.46709,-19.72146,5572.87,4764.55,1.92,1.73,-39.7,-0.456,19.3,20.57,04a60674o0216o
60674.139827,22.345,2.487,4,10,o,0,1.07,25.46709,-19.72146,5554.32,4880.92,1.89,1.73,-45.0,-0.45,19.26,20.55,04a60674o0237o
60675.840041,-21.801,1.781,-7,12,c,0,0.99,25.46709,-19.72146,5938.93,469.84,2.97,2.63,-49.9,-0.368,19.36,21.24,03a60676o0132c
60675.842826,-20.69,0.521,-19,10,c,0,1.26,25.46709,-19.72146,5956.3,510.07,2.47,2.3,-49.8,-0.391,19.47,21.23,03a60676o0138c
60675.874488,20.814,0.72,17,12,c,0,1.38,25.46709,-19.72146,5902.64,429.9,2.5,2.4,-28.9,-0.367,19.37,20.95,03a60676o0206c
60675.879607,21.278,1.059,11,12,c,0,1.31,25.46709,-19.72146,5879.36,546.19,2.46,2.33,-47.5,-0.378,19.38,20.94,03a60676o0217c
60677.041412,20.57,1.021,22,22,o,0,0.9,25.46709,-19.72146,5824.18,427.53,2.23,2.11,-23.2,-0.433,18.91,19.86,04a60677o0026o
60677.045252,20.032,0.508,35,18,o,0,0.98,25.46709,-19.72146,5843.94,467.28,2.13,1.94,-30.7,-0.447,19.16,20.26,04a60677o0034o
60677.053352,23.659,13.0,1,16,o,0,0.75,25.46709,-19.72146,5787.26,389.13,2.15,2.0,-9.9,-0.44,19.27,20.55,04a60677o0051o
