SN2005ke 0.004900 53.768125 -24.944111
filter u
 689.69 17.489 0.026
 690.77 16.910 0.016
 694.76 16.287 0.013
 695.72 16.245 0.014
 698.72 16.182 0.012
 699.72 16.234 0.015
 702.71 16.564 0.016
 703.77 16.715 0.017
 706.72 17.261 0.019
 707.83 17.457 0.022
 712.71 18.074 0.027
 713.68 18.143 0.028
 716.67 18.241 0.034
 720.68 18.387 0.039
 721.66 18.424 0.036
 725.72 18.528 0.035
 730.72 18.668 0.036
 736.67 18.807 0.041
 737.68 18.882 0.042
 741.65 19.022 0.053
 746.68 19.222 0.056
 750.62 19.108 0.060
 755.64 19.318 0.048
 761.70 19.569 0.077
 763.59 19.720 0.062
 764.60 19.703 0.081
 765.59 19.792 0.059
 771.57 19.920 0.073
 773.58 20.127 0.095
 775.42 20.162 0.126
 778.57 20.219 0.145
 784.55 20.208 0.075
 786.56 20.357 0.099
filter g
 689.69 16.390 0.009
 690.77 15.916 0.009
 694.76 14.932 0.007
 695.72 14.813 0.007
 698.72 14.546 0.006
 699.72 14.524 0.008
 702.71 14.661 0.010
 703.77 14.759 0.007
 706.72 15.182 0.008
 707.83 15.364 0.008
 712.71 15.983 0.006
 713.68 16.078 0.007
 716.67 16.295 0.006
 720.68 16.526 0.009
 721.66 16.567 0.008
 725.72 16.754 0.006
 730.72 16.911 0.007
 736.67 17.069 0.010
 737.68 17.087 0.008
 741.65 17.189 0.007
 746.68 17.313 0.011
 750.62 17.383 0.011
 755.64 17.504 0.008
 761.70 17.645 0.009
 763.59 17.701 0.013
 764.60 17.715 0.011
 765.59 17.733 0.011
 767.55 17.765 0.009
 771.57 17.836 0.011
 773.58 17.885 0.013
 775.42 17.974 0.013
 778.57 18.029 0.016
 784.55 18.124 0.012
 786.56 18.194 0.014
 798.54 18.456 0.016
 804.57 18.588 0.028
 809.54 18.770 0.039
 819.51 18.922 0.020
filter r
 689.69 16.140 0.008
 690.77 15.672 0.008
 694.76 14.658 0.006
 695.72 14.520 0.008
 698.72 14.175 0.006
 703.77 14.075 0.006
 706.72 14.237 0.011
 707.83 14.311 0.006
 712.71 14.718 0.006
 713.68 14.818 0.007
 716.67 15.047 0.006
 720.68 15.405 0.008
 721.66 15.497 0.006
 725.72 15.773 0.006
 730.72 16.056 0.008
 736.67 16.346 0.008
 737.68 16.388 0.008
 741.65 16.578 0.007
 746.68 16.798 0.009
 750.62 16.961 0.009
 755.64 17.201 0.009
 761.70 17.470 0.009
 763.59 17.549 0.011
 764.60 17.594 0.012
 765.59 17.639 0.013
 767.55 17.736 0.009
 771.57 17.889 0.012
 773.58 17.990 0.014
 775.42 18.066 0.015
 778.57 18.195 0.016
 784.55 18.434 0.018
 786.56 18.508 0.017
 798.54 18.968 0.019
 804.57 19.226 0.055
 809.54 19.371 0.049
 819.51 19.741 0.038
filter i
 689.69 16.169 0.009
 690.77 15.752 0.009
 694.76 14.807 0.008
 695.72 14.695 0.008
 698.72 14.397 0.007
 699.72 14.346 0.010
 702.71 14.335 0.011
 703.77 14.335 0.007
 706.72 14.431 0.013
 707.83 14.468 0.006
 712.71 14.713 0.007
 713.68 14.787 0.008
 716.67 14.989 0.006
 720.68 15.340 0.009
 721.66 15.433 0.008
 725.72 15.735 0.006
 730.72 16.025 0.009
 736.67 16.319 0.008
 737.68 16.364 0.011
 741.65 16.544 0.008
 746.68 16.742 0.011
 750.62 16.910 0.009
 755.64 17.096 0.009
 761.70 17.310 0.011
 763.59 17.374 0.012
 764.60 17.407 0.011
 765.59 17.426 0.016
 767.55 17.476 0.010
 771.57 17.595 0.013
 773.58 17.661 0.015
 775.42 17.698 0.014
 778.57 17.777 0.017
 784.55 17.960 0.015
 786.56 18.000 0.018
 798.54 18.271 0.019
 804.57 18.426 0.028
 809.54 18.510 0.029
 819.51 18.688 0.027
filter B
 689.69 16.631 0.011
 690.77 16.143 0.010
 694.76 15.219 0.009
 695.72 15.104 0.007
 698.72 14.901 0.006
 699.72 14.929 0.012
 702.71 15.128 0.012
 703.77 15.297 0.013
 706.72 15.767 0.014
 707.83 15.925 0.008
 712.71 16.574 0.012
 713.68 16.638 0.012
 716.67 16.845 0.009
 720.68 17.027 0.012
 721.66 17.094 0.011
 725.72 17.236 0.011
 730.72 17.383 0.011
 736.67 17.525 0.014
 737.68 17.559 0.013
 741.65 17.638 0.011
 746.68 17.733 0.017
 750.62 17.821 0.016
 755.64 17.943 0.015
 761.70 18.096 0.015
 763.59 18.098 0.016
 764.60 18.116 0.015
 765.59 18.155 0.021
 767.55 18.186 0.012
 771.57 18.251 0.016
 773.58 18.298 0.016
 775.42 18.339 0.020
 778.57 18.364 0.023
 784.55 18.522 0.016
 786.56 18.549 0.022
 798.54 18.810 0.022
 804.57 18.855 0.029
 809.54 19.090 0.084
 819.51 19.154 0.026
filter V0
 689.69 16.247 0.010
 690.77 15.768 0.009
 694.76 14.755 0.008
 695.72 14.619 0.010
 698.72 14.300 0.006
 699.72 14.250 0.009
 702.71 14.253 0.011
 703.77 14.291 0.009
 706.72 14.562 0.011
 707.83 14.691 0.010
 712.71 15.193 0.010
 713.68 15.288 0.008
 716.67 15.527 0.006
 720.68 15.813 0.010
 721.66 15.879 0.010
 725.72 16.106 0.009
 730.72 16.335 0.009
 736.67 16.540 0.009
 737.68 16.569 0.010
 741.65 16.721 0.009
 746.68 16.870 0.011
filter V
 761.70 17.319 0.011
 763.59 17.370 0.014
 764.60 17.412 0.013
 765.59 17.444 0.015
 767.55 17.490 0.009
 771.57 17.604 0.012
 773.58 17.662 0.015
 775.42 17.722 0.014
 778.57 17.802 0.018
 784.55 17.970 0.015
 786.56 18.053 0.016
 798.54 18.373 0.019
 804.57 18.509 0.025
 809.54 18.649 0.049
 819.51 18.989 0.029
filter Y
 691.74 15.065 0.026
 691.74 15.089 0.063
 692.74 14.876 0.013
 692.75 14.867 0.017
 693.72 14.729 0.017
 693.72 14.667 0.017
 696.73 14.279 0.019
 696.73 14.282 0.018
 697.66 14.186 0.010
 697.66 14.161 0.011
 700.71 14.043 0.016
 700.71 14.045 0.017
 701.70 14.060 0.018
 701.70 14.096 0.023
 704.69 14.121 0.022
 704.70 14.085 0.026
 705.69 14.155 0.026
 705.70 14.118 0.024
 709.72 14.134 0.016
 709.72 14.135 0.015
 710.73 14.116 0.023
 710.74 14.134 0.018
 714.65 14.228 0.022
 714.65 14.218 0.019
 715.65 14.223 0.016
 715.66 14.252 0.013
 717.66 14.294 0.016
 717.67 14.296 0.016
 718.70 14.334 0.016
 718.71 14.327 0.018
 724.61 14.754 0.017
 724.62 14.742 0.020
 727.71 14.946 0.016
 731.68 15.225 0.020
 731.68 15.153 0.022
