# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-07-15 at 20:55:52
#
# Requested input R.A. = 76.34879317253565 degrees
# Requested input Dec. = -11.882223304643725 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460508.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 355 2 1 ZTF_g 452137180515 0 2.6978 109.925 16.5394 26.1061 3.19914e-05 0.0479111 -0.0711085 7.02956e-05 587 30. 0.055542 0.058637 18.952 26.1061 1 2458206.6371875 355120105 null null null null null null null null 2.88107733749952 22.4750000953674 0.236000001430511 0.933000028133392 0.0879999995231628 2458365.963264 2458432.918993 56
 1 355 2 1 ZTF_r 605460790515 0 2.843 249.246 13.4995 26.0707 7.6865e-06 0.0312101 0.0842417 1.22909e-05 900 30. 0.043034 0.057665 19.2101 26.0707 1 2458359.9607986 355120205 13.4288533338027 14.7890832198731 1.01007234106033 0.487354467683975 67.8960028221777 59.0320898319588 1.15790049957829 1.04659580254336 2.59999427025167 22.2929998874664 0.167999997735023 0.532000005245209 0.0740000009536743 2458359.960799 2458449.906400 56
 2 355 2 1 ZTF_r 605503960515 0 2.4164 283.55 11.1155 26.2019 5.352e-06 0.0257674 0.0787732 8.53863e-06 870 30. 0.038597 0.050559 19.6418 26.2019 1 2458360.0039699 355120205 0.51418716731417 10.8161121943261 0.0528816321985821 0.486386003365696 63.3106961788809 49.3574522796696 1.29133685829392 1.04344754720877 2.59999427025167 22.2929998874664 0.167999997735023 0.532000005245209 0.0740000009536743 2458359.960799 2458449.906400 56
 3 355 2 1 ZTF_r 608456960515 0 2.2977 274.639 10.3326 26.1504 5.5353e-06 0.0262182 0.101092 8.90803e-06 878 30. 0.047583 0.051516 19.7098 26.1504 1 2458362.9569676 355120205 -1.20921009659835 8.09614694766027 -0.166141521637536 0.501540752214238 -34.3764110688152 42.5316770847795 -0.813697943446303 1.05470647635199 2.59999427025167 22.2929998874664 0.167999997735023 0.532000005245209 0.0740000009536743 2458359.960799 2458449.906400 56
 4 355 2 1 ZTF_g 608497820515 0 2.8287 122.288 10.1355 26.1883 1.66245e-05 0.0393323 0.000833498 3.30613e-05 707 30. 0.052095 0.062755 19.634 26.1883 1 2458362.9978241 355120105 null null null null null null null null 2.88107733749952 22.4750000953674 0.236000001430511 0.933000028133392 0.0879999995231628 2458365.963264 2458432.918993 56
 5 355 2 1 ZTF_r 611504450515 0 2.7226 282.429 7.21551 26.1861 4.4553e-06 0.0234394 0.0922258 7.13184e-06 876 30. 0.049577 0.065535 19.9824 26.1861 1 2458366.004456 355120205 8.0749351953946 8.46756234370383 1.06080472097384 0.482958089323568 -0.223479209372016 32.3612924806696 -0.00695226727546136 1.07037187929285 2.59999427025167 22.2929998874664 0.167999997735023 0.532000005245209 0.0740000009536743 2458359.960799 2458449.906400 56
 6 355 2 1 ZTF_r 614477410515 0 2.2141 282.358 5.37832 26.194 3.5666e-06 0.0209847 0.0820422 5.71513e-06 876 30. 0.049536 0.061606 20.5122 26.194 1 2458368.977419 355120205 null null null null null null null null 2.59999427025167 22.2929998874664 0.167999997735023 0.532000005245209 0.0740000009536743 2458359.960799 2458449.906400 61
 7 355 2 1 ZTF_g 614501030515 0 2.9694 125.203 4.30808 26.259 6.4095e-06 0.027986 -0.0966188 1.0357e-05 869 30. 0.053009 0.065727 20.5678 26.259 1 2458369.0010301 355120105 null null null null null null null null 2.88107733749952 22.4750000953674 0.236000001430511 0.933000028133392 0.0879999995231628 2458365.963264 2458432.918993 56
 8 355 2 1 ZTF_g 617503680515 0 2.8717 128.419 4.15082 26.2751 6.9093e-06 0.029058 -0.0863982 1.11766e-05 873 30. 0.044632 0.061991 20.6318 26.2751 1 2458372.0036806 355120105 null null null null null null null null 2.88107733749952 22.4750000953674 0.236000001430511 0.933000028133392 0.0879999995231628 2458365.963264 2458432.918993 56
