objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, hostMass, hostMass_err
2008J, 38.600833, -10.844028, 0.0159, 0.014837498558632811, 1484.54, 1516.52, CSP, 31.45273820662223, 0.15318672625584645, 1.5754877507754121, 0.06251962909569236, 1497.3231339824727, 0.7240307650195121, 1.136181506671036, 0.09035714621976115, 0.0, 0.0
2005kc, 338.530583, 5.568417, 0.0151, 0.015002240004723832, 687.52, 728.54, CSP, 33.66628448507013, 0.01775212600961545, 0.8997751370292096, 0.007323378352216905, 698.2964663151303, 0.05413747058674014, 0.3172607914489744, 0.006942980538578715, 10.860521014844817, 0.00028121941506437646
2005A, 37.680208, -2.938833, 0.0191, 0.0188893524844298, 376.65, 433.53, CSP, 33.8753150808845, 0.05204798809707145, 1.1738211464814967, 0.026684376505658455, 378.8502626361883, 0.24343640315583195, 0.9815367630666652, 0.019909229140149323, 3.2610126934232015, 3.5302173689058103
2009Y, 220.599375, -17.246778, 0.0094, 0.009153387975048943, 1868.84, 1976.65, CSP, 32.78840750194612, 0.03252646103833529, 1.1890132912319997, 0.013701331628508676, 1876.5540325117477, 0.11322346804699657, 0.15439508441347863, 0.01218930187896616, 10.154204462082083, 0.0003139066959013028
2004gs, 129.596583, 17.627722, 0.0267, 0.026343495167745035, 352.85, 461.56, CSP, 35.360521856430694, 0.010660896811742765, 0.7024746177559252, 0.004272304169773915, 356.96458986041534, 0.03886587846022022, 0.1720244024759171, 0.00531977331059294, 10.524491610792518, 0.0008337715580172614
2004eo, 308.225792, 9.928528, 0.0157, 0.01459303830788583, 266.52, 341.54, CSP, 33.7080452992295, 0.016224607430418737, 0.8260874888455337, 0.00576876791873122, 279.0669235815794, 0.053295612578045264, 0.14217473994111332, 0.007051510746302702, 0.0, 0.0
2008gp, 50.753042, 1.361889, 0.0334, 0.03282947956240667, 1768.75, 1844.52, CSP, 35.6452610824175, 0.014969994850290403, 0.9723645436560023, 0.005395022455100891, 1779.556162937332, 0.05017687491502804, 0.020385764266474184, 0.00495842542149973, 10.825626853900289, 0.0008195866476426455
2007ca, 202.774208, -15.101833, 0.0141, 0.013118125938905267, 1217.65, 1275.65, CSP, 34.0196848139445, 0.01599987651254569, 1.0595547567740025, 0.009223295200946741, 1227.8311480889654, 0.07112195831802211, 0.33980437888631765, 0.004680533327467899, 9.100726295715653, 0.002123969178416933
2009al, 162.841958, 8.578528, 0.0221, 0.02266786671853671, 1891.71, 1973.54, CSP, 34.4851090382445, 0.04174141823666847, 0.9213768716875582, 0.016464005979382003, 1897.2641273710744, 0.3935534477218936, 0.27118774187751726, 0.014656074985745645, 10.676596531095123, 0.0005467162453691708
2008ae, 149.013333, 10.499667, 0.03, 0.02889491471860728, 1508.74, 1602.52, CSP, 35.34725245122891, 0.12211813000731171, 0.44595626399835847, 0.03643773715689127, 1512.6845700696324, 0.302540832677582, 0.2853813279736071, 0.07836613686139578, 10.290002175888732, 0.0008835091764675878
2005ki, 160.117583, 9.202333, 0.0192, 0.019920765654722672, 695.86, 861.5, CSP, 34.62231014224344, 0.009027085712410926, 0.8271907734214389, 0.003227913325732181, 705.8303371806799, 0.03954710319325114, 0.015183745662501713, 0.003830175447270232, 10.709160295771582, 0.00038088954032225003
2007if, 17.714042, 15.461083, 0.0742, 0.07385953903058717, 1355.77, 1443.6, CSP, 36.20708891443841, 0.07156453772729847, 1.1352191429419174, 0.03732787775271995, 1339.659992639696, 1.1200428480684417e-05, -0.07114892278086286, 0.017837311359276305, 0.0, 0.0
2006D, 193.141417, -9.775222, 0.0085, 0.008010520176955582, 751.84, 891.61, CSP, 32.82170772405153, 0.01066460447894262, 0.8167021698875134, 0.0033868440973702073, 757.9850976089444, 0.04232036878554689, 0.12069730533196144, 0.004777786572584371, 0.0, 0.0
2006lu, 138.823458, -25.600083, 0.0534, 0.05325606411832817, 1040.84, 1137.75, CSP, 36.85179779775477, 0.019296560236606954, 1.0535427910070418, 0.008420204880523358, 1034.8974117402952, 0.17640737637460877, -0.0017255871007118963, 0.005836625959431254, 10.312301203111709, 0.0032468771455692633
2009ag, 107.920042, -26.685083, 0.0086, 0.009626160383990223, 1886.62, 1959.54, CSP, 32.92541793296821, 0.027302836546397213, 0.9483945171581513, 0.011452132458357715, 1890.2094277865542, 0.1758535220046409, 0.2674256885279395, 0.009341318561898414, 0.0, 0.0
2006ev, 322.746917, 13.989222, 0.0287, 0.029894030060761523, 993.59, 1039.52, CSP, 35.45814854813082, 0.018881855954107452, 0.845708059653526, 0.007604209412388173, 990.0295451146733, 0.2437436604399879, 0.21143023777295178, 0.008617475671111567, 10.748696257484479, 0.0007780565778547196
2009cz, 138.750083, 29.735306, 0.0211, 0.0221499394583744, 1937.53, 1966.46, CSP, 34.77467317165004, 0.02189761713643994, 1.086298979487811, 0.015852684355401655, 1943.3452045279932, 0.07571513436764796, 0.07921460096173362, 0.006323139638405917, 0.0, 0.0
2006gj, 49.399167, -1.691722, 0.0284, 0.02911242184550944, 998.83, 1096.59, CSP, 35.3906477183649, 0.015010271511279379, 0.6650371491825857, 0.007781352576081702, 1000.9695802201544, 0.06262931414700841, 0.2690731041776279, 0.009320836732120074, 10.669635209313917, 0.0012479558890463075
2005el, 77.953, 5.194278, 0.0149, 0.015406381070650399, 639.89, 730.75, CSP, 34.06742551704855, 0.01651101982847234, 0.8483941344744393, 0.005577144906682741, 647.149937561827, 0.05329954825462743, -0.010469028214881878, 0.007281446358005363, 0.0, 0.0
2007so, 41.929708, 13.254111, 0.0297, 0.029698234578805494, 1449.68, 1494.53, CSP, 35.08870840950464, 0.1013447832826151, 0.5083144764989775, 0.05339733890146652, 1434.9137364802768, 1.2308662185136297, -0.11839799339806559, 0.038242954374886715, 11.033429337365888, 0.0007662393052439184
2007ai, 243.223917, -21.630194, 0.0317, 0.030938876932122827, 1167.88, 1259.7, CSP, 35.67677272686908, 0.022774299514861023, 1.237499247318076, 0.011816942363762364, 1173.1573563423788, 0.20987682934983398, 0.17428040034349127, 0.009767380468419861, 0.0, 0.0
2006hb, 75.505333, -21.131972, 0.0153, 0.016396293268348128, 1006.87, 1143.59, CSP, 34.02830528549966, 0.012929996738897736, 0.6905440935993487, 0.004924463970452619, 1002.9857216039672, 0.131004402613458, 0.061480244202483235, 0.007017699564116174, 10.210072482410556, 0.0005498683746901016
2007hj, 345.449542, 15.5865, 0.0141, 0.015348612946416429, 1348.76, 1440.53, CSP, 33.814108828634076, 0.013548140638021317, 0.6179694463249139, 0.006263507456265244, 1350.3421822781304, 0.055132590502389174, 0.1010479552587065, 0.008371942739248642, 10.38832624078401, 0.0005651865386335664
2008ia, 132.646458, -61.277944, 0.0219, 0.02082964622271799, 1809.77, 1874.69, CSP, 34.90942847663253, 0.014508921335927483, 0.8526735621937904, 0.0057242490935352055, 1813.370411686355, 0.078357779525688, 0.033842152574273573, 0.006012944712008169, 0.0, 0.0
2007ol, 24.34875, -0.312, 0.0559, 0.05464440456951958, 1409.79, 1422.66, CSP, 37.2239872054836, 0.0856371713259822, 0.7153247818940034, 0.04292479189307888, 1413.5376318776084, 0.22360734147448846, -0.09060584813962036, 0.04530276394743516, 10.289335360151146, 0.0023866700569406345
2008fw, 157.233208, -44.665444, 0.0085, 0.009576110752743006, 1740.89, 1827.81, CSP, 33.083166235400164, 0.022337869529336456, 1.1166279271676776, 0.010052246405763958, 1732.1510147220015, 0.11975089800981156, 0.0686585313856694, 0.007581721203033422, 0.0, 0.0
2005mc, 126.7765, 21.646, 0.0252, 0.02621237577726765, 736.79, 773.62, CSP, 34.98011771657593, 0.023654359288731035, 0.6466264445726847, 0.010676137713188198, 734.4792708052831, 0.18879664162229692, 0.2444813788694927, 0.01384500196107776, 13.004227849812548, 0.0005277710097430307
2009dc, 237.8005, 25.707778, 0.0214, 0.022207467309760975, 1938.77, 1976.68, CSP, 34.22989347371903, 0.0959520746317402, 1.390743010871965, 0.050353784285865955, 1947.0919847014213, 0.5828952969677392, -0.022599799594969158, 0.04954145048728952, 0.0, 0.0
2008go, 332.686792, -20.788111, 0.0623, 0.062423025692863066, 1764.54, 1776.58, CSP, 36.8793169857129, 0.02712316757010549, 0.9093501329111735, 0.03355216060254488, 1766.3529500815698, 0.28141427468143637, 0.10858363804010682, 0.0121778799240724, 10.908950503065558, 0.0017321529641886853
2008cf, 211.885667, -26.551833, 0.046, 0.04473532967350957, 1595.77, 1654.65, CSP, 36.50468914899854, 0.037618127396595126, 1.1289761105801086, 0.02472512018130699, 1594.8634739020633, 0.2656981975598869, -0.035693048436344084, 0.012706584743471083, 8.754352914249603, 0.009911439712941946
2007bm, 171.259583, -9.798278, 0.0062, 0.007166602406066147, 1217.57, 1278.52, CSP, 31.72806636263823, 0.022412106160062766, 0.8940840036989058, 0.009869442513301097, 1225.2909220233778, 0.19240701772252003, 0.5318701501902641, 0.007939180071844878, 0.0, 0.0
2006kf, 55.460333, 8.156944, 0.0213, 0.020069093555739714, 1036.81, 1127.64, CSP, 34.80570367115243, 0.014932987996722932, 0.7312821669108356, 0.005793174840578858, 1041.8423185474892, 0.052928330579341876, 0.011309002779746485, 0.007561558605737499, 10.847440404300489, 0.0005624670042569112
