2007jg 0.0371 52.46175 0.05683
filter B
54363.82 17.704 0.009
54364.86 17.657 0.009
54365.88 17.631 0.009
54368.84 17.674 0.016
54376.81 18.246 0.01
54378.87 18.487 0.013
54380.85 18.766 0.018
54383.78 19.092 0.018
54385.86 19.346 0.022
54392.84 19.947 0.03
54394.77 20.074 0.037
54397.75 20.232 0.098
54403.84 20.503 0.107
54411.75 20.858 0.064
54413.75 20.884 0.075
54417.74 20.961 0.066
54421.7 21.029 0.067
filter H
54363.84 17.609 0.036
filter J
54377.8 19.056 0.18
54387.8 18.688 0.152
54363.84 17.605 0.021
54363.84 17.603 0.021
54365.9 17.797 0.018
54422.8 20.008 0.121
54425.71 20.347 0.19
54425.72 20.282 0.158
filter V
54363.82 17.629 0.008
54364.86 17.581 0.007
54365.88 17.537 0.007
54368.84 17.5 0.014
54376.81 17.811 0.008
54378.87 17.958 0.01
54380.85 18.106 0.011
54383.78 18.307 0.012
54385.86 18.397 0.012
54392.84 18.837 0.017
54394.77 18.986 0.017
54395.82 19.074 0.089
54397.75 19.15 0.031
54403.84 19.55 0.044
54411.75 19.879 0.028
54413.75 19.903 0.037
54417.74 20.009 0.033
54421.7 20.2 0.036
filter Y
54377.8 18.516 0.052
54377.79 18.512 0.05
54386.83 18.204 0.066
54386.86 18.222 0.033
54396.73 17.81 0.022
54396.76 17.826 0.026
54399.78 17.936 0.028
54399.81 17.927 0.031
filter Ydw
54363.84 17.673 0.02
54363.84 17.699 0.029
54365.9 17.835 0.014
54422.8 19.129 0.038
54422.83 19.245 0.046
54425.71 19.41 0.04
54425.72 19.379 0.043
filter g
54363.82 17.593 0.006
54364.86 17.536 0.006
54365.88 17.506 0.006
54368.84 17.544 0.011
54376.81 17.982 0.006
54378.87 18.178 0.009
54380.85 18.39 0.01
54383.78 18.687 0.011
54385.86 18.922 0.013
54392.84 19.537 0.019
54394.77 19.681 0.021
54395.82 19.723 0.054
54397.75 19.866 0.05
54403.84 20.137 0.06
54423.7 20.65 0.063
filter i
54363.82 17.931 0.011
54364.86 17.926 0.011
54365.88 17.959 0.011
54368.84 18.004 0.017
54376.81 18.562 0.013
54378.87 18.681 0.017
54380.85 18.801 0.018
54383.78 18.763 0.019
54385.86 18.727 0.023
54392.84 18.573 0.018
54394.77 18.56 0.017
54397.75 18.684 0.02
54403.84 19.189 0.03
54411.75 19.61 0.03
54413.75 19.743 0.047
54417.74 19.788 0.037
54421.7 20.029 0.039
54423.7 20.042 0.054
54425.78 20.087 0.095
filter r
54363.82 17.613 0.014
54364.86 17.557 0.011
54365.88 17.494 0.011
54368.84 17.453 0.014
54376.81 17.806 0.009
54378.87 17.971 0.014
54380.85 18.083 0.016
54383.78 18.203 0.014
54392.84 18.36 0.017
54394.77 18.483 0.017
54395.82 18.542 0.032
54397.75 18.668 0.019
54403.84 19.099 0.025
filter u
54363.82 18.689 0.027
54364.86 18.657 0.028
54365.88 18.644 0.026
54376.81 19.687 0.049
54378.87 19.79 0.085
54380.85 20.058 0.074
54383.78 20.61 0.133
