2007so 0.0297 41.92971 13.25411
filter ATgr
60696.075425 20.6 0.528
60700.06774 -21.368 0.94
60700.072866 -20.886 0.612
60704.046732 -20.584 0.507
60704.066327 21.286 0.885
filter ATri
60685.810956 -20.549 0.892
60688.225173 17.638 0.511
60688.240474 -17.902 0.581
60693.800504 -19.869 0.324
60693.807347 -19.837 0.313
60693.818018 -20.029 0.444
60697.795935 19.784 0.276
60697.799114 -20.661 0.607
60697.812664 -20.647 0.604
60697.818135 20.438 0.589
60701.830723 -20.645 0.92
60701.832558 18.292 0.13
60701.86091 -19.834 0.53
60701.876663 18.744 0.311
60705.807246 -20.503 0.591
60705.814654 -20.88 0.944
60709.781206 -20.384 0.58
60709.811201 -20.872 0.791
