2008O 0.0389 104.39358 -45.81231
filter B
54490.64 18.484 0.018
54492.68 18.511 0.015
54493.69 18.559 0.012
54494.7 18.631 0.015
54497.66 18.948 0.016
54499.65 19.234 0.021
54508.71 20.4 0.045
54512.63 20.672 0.091
54517.62 20.992 0.095
54521.61 21.068 0.116
54523.58 21.413 0.102
54527.58 21.396 0.092
54532.59 21.577 0.124
54552.53 21.85 0.176
54558.51 21.652 0.136
54566.58 21.818 0.131
filter H
54489.71 18.083 0.127
54489.72 17.775 0.106
54493.73 18.22 0.047
54496.7 18.57 0.062
54496.71 18.357 0.059
filter J
54489.71 17.61 0.06
54493.73 18.111 0.021
54493.74 18.142 0.026
54496.7 18.387 0.028
54496.71 18.476 0.029
filter V
54490.64 18.198 0.013
54492.68 18.147 0.013
54493.69 18.136 0.013
54494.7 18.139 0.013
54497.66 18.257 0.015
54499.65 18.34 0.016
54508.71 19.205 0.026
54512.63 19.491 0.039
54517.62 19.873 0.046
54519.61 20.06 0.048
54521.61 20.205 0.058
54523.58 20.267 0.051
54527.58 20.362 0.055
54532.59 20.387 0.061
54541.62 20.743 0.078
54545.55 20.794 0.093
54566.58 21.215 0.105
54571.48 21.266 0.146
filter Y
54489.71 17.802 0.042
54489.72 17.87 0.036
54511.62 18.005 0.034
54511.62 18.076 0.04
54516.65 17.973 0.046
54516.65 17.993 0.044
54520.63 18.227 0.1
54520.64 18.362 0.1
54522.63 18.258 0.1
54522.64 18.439 0.1
54528.58 18.664 0.065
54528.59 18.724 0.075
54539.6 19.095 0.11
54539.61 19.294 0.136
54546.53 19.563 0.136
54546.54 19.311 0.1
filter Ydw
54493.73 18.145 0.022
54493.74 18.099 0.026
54496.7 18.211 0.028
54496.71 18.272 0.028
filter g
54490.64 18.248 0.011
54492.68 18.26 0.01
54493.69 18.283 0.009
54494.7 18.351 0.011
54497.66 18.603 0.012
54499.65 18.822 0.013
54512.63 20.25 0.041
54519.61 20.681 0.07
54521.61 21.064 0.085
54532.59 21.127 0.064
filter i
54490.64 18.153 0.016
54492.68 18.218 0.016
54494.7 18.203 0.021
54497.66 18.37 0.017
54499.65 18.505 0.019
54508.71 18.68 0.025
54517.62 19.019 0.028
54519.61 19.169 0.039
54541.62 20.414 0.078
filter r
54490.64 17.947 0.012
54492.68 17.872 0.012
54493.69 17.933 0.012
54494.7 17.931 0.012
54497.66 17.956 0.012
54499.65 18.024 0.013
54508.71 18.576 0.02
54515.62 18.865 0.035
54517.62 19.217 0.027
54519.61 19.309 0.026
54521.61 19.504 0.029
54523.58 19.569 0.031
54532.59 19.847 0.044
54545.55 20.282 0.05
filter u
54490.64 20.062 0.083
54492.68 20.11 0.095
54493.69 20.081 0.063
54494.7 20.142 0.052
54497.66 20.685 0.113
54499.65 20.673 0.124
