2020abcr 0.05 77.524042 -37.584161
filter ATgr
60697.036218 -20.499 0.728
60697.06328 21.173 0.938
60697.091661 20.678 0.561
60701.095864 20.125 0.558
60705.112725 -21.047 0.75
60705.14812 21.056 0.75
filter ATri
60685.144105 -20.046 0.69
60685.149801 19.622 0.504
60685.886586 20.308 0.626
60685.889384 20.449 0.755
60691.872069 -20.041 0.472
60691.883041 -20.253 0.573
60691.886238 20.823 0.931
60691.892773 -20.068 0.412
60691.904724 20.462 0.777
60693.126627 19.834 0.62
60693.149022 -19.73 0.439
60693.895982 20.785 0.742
60694.871376 19.989 0.584
60697.86235 20.94 0.86
60697.868212 21.051 0.908
60701.863191 -19.792 0.387
60701.885059 -20.033 0.488
60703.848121 20.793 0.728
60705.827417 20.413 0.479
60705.830656 -20.557 0.718
60709.833006 21.082 0.824
60709.838913 -20.363 0.49
60709.848923 -20.604 0.604
60711.839726 20.528 0.63
60711.86214 19.06 0.467
