2020acqy 0.073 51.10225 -43.49444
filter ATgr
60696.072033 21.058 0.756
60697.100059 21.157 0.943
60700.052416 -20.868 0.813
60700.055638 19.858 0.324
60700.061144 20.498 0.582
60704.075716 20.898 0.653
60704.094272 -20.815 0.57
60708.080323 20.985 0.811
filter ATri
60685.834802 20.275 0.672
60692.22708 20.06 0.81
60693.839776 20.998 0.89
60697.80751 20.519 0.562
60697.814916 21.172 0.871
60701.821396 -20.649 0.816
60701.838574 -20.758 0.659
60705.799882 -21.115 0.686
60709.788633 19.865 0.282
60712.040416 -19.657 0.372
