2020enj 0.104 155.237795394 0.573763904385
filter ATgr
60685.024755 20.398 0.399
60685.03654 -20.93 0.485
60703.249421 -20.48 0.411
60704.538601 -19.068 0.667
60704.572069 -20.319 0.985
60704.578172 20.08 0.924
60708.491062 21.295 0.948
60708.494907 -20.679 0.548
60708.526361 -20.959 0.6
60711.27133 -20.872 0.583
filter ATri
60684.513267 -17.774 0.454
60688.985828 18.902 0.361
60688.987635 -19.583 0.626
60694.541679 20.182 0.487
60694.551371 19.616 0.298
60695.356512 -20.205 0.533
60696.607281 20.559 0.595
60696.635683 20.48 0.634
60696.641563 -20.519 0.661
60698.618368 -19.174 0.573
60699.32147 20.821 0.826
60705.02107 -20.6 0.484
60705.049629 -21.108 0.792
60708.936908 -20.74 0.743
60708.972313 -20.364 0.522
60708.977756 -21.0 0.703
60712.462802 -20.616 0.598
60712.466434 20.86 0.812
