2020hvc 0.065 138.408833 13.331619
filter ATgr
60703.303203 20.82 0.78
60707.181828 20.519 0.514
60707.183633 20.144 0.39
60707.212268 -20.906 0.902
60708.463708 20.489 0.437
60708.466889 21.066 0.674
60711.254592 -21.135 0.777
60712.545238 21.148 0.903
filter ATri
60684.381561 18.42 0.998
60684.484036 20.141 0.386
60684.977646 19.973 0.55
60684.979477 -20.109 0.584
60684.983112 -19.831 0.382
60684.991213 -20.245 0.543
60686.531525 -20.127 0.563
60686.558363 -20.367 0.828
60686.561552 -20.028 0.626
60687.243453 -18.737 0.467
60687.251583 -19.717 0.974
60693.115543 -19.253 0.893
60694.522469 -20.867 0.862
60695.289087 -20.332 0.708
60696.487445 -18.742 0.728
60696.52987 -20.368 0.765
60697.319409 -21.174 0.792
60698.509109 21.174 0.867
60698.550888 20.567 0.474
60699.286342 -20.418 0.519
60699.313783 -20.585 0.52
60699.488829 -20.917 0.61
60699.492058 -20.757 0.485
60700.555713 -20.679 0.569
60704.496703 -19.578 0.843
60708.387618 -20.485 0.472
60708.963416 -20.863 0.742
60708.966581 -20.221 0.466
60710.323849 -20.511 0.558
60710.406694 -20.691 0.594
60711.314578 -20.554 0.755
60712.464982 -20.815 0.791
60713.037203 19.933 0.998
60713.051129 -20.539 0.998
60713.113855 -20.42 0.647
60713.115232 -20.709 0.827
