2020onu 0.044 17.86575 -17.3683
filter ATgr
60694.063979 -20.023 0.333
60696.247846 -20.764 0.576
60696.253323 -20.561 0.54
60698.037767 -19.684 0.372
60698.04097 -20.641 0.731
60698.060251 -20.918 0.756
60702.037386 -20.032 0.487
60702.052993 -20.769 0.667
60706.040936 20.561 0.636
60706.050715 20.448 0.493
filter ATri
60684.246673 -20.104 0.506
60684.252156 -19.707 0.388
60685.108774 -19.728 0.888
60685.111796 18.96 0.349
60685.119445 -19.136 0.445
60685.132443 -19.053 0.446
60686.831225 -19.899 0.588
60686.850149 20.215 0.94
60687.839954 -19.282 0.462
60687.852819 19.639 0.897
60689.083018 18.068 0.454
60690.060553 19.607 0.505
60690.81824 19.666 0.527
60690.836729 19.884 0.853
60691.784117 19.418 0.503
60695.808589 20.161 0.462
60709.028455 19.533 0.729
60709.048194 19.782 0.635
60710.031007 -19.421 0.925
60710.789264 19.956 0.772
60711.789005 20.109 0.695
60711.794467 20.325 0.842
60712.213862 18.269 0.625
60712.217048 -18.508 0.448
