2020prg 0.08 12.594708 -20.215569
filter ATgr
60694.03872 20.376 0.908
60698.05433 20.202 0.506
60702.036034 20.528 0.952
60702.053911 20.152 0.509
filter ATri
60685.042727 19.757 0.459
60685.04693 19.963 0.615
60686.048181 -20.031 0.781
60686.051395 -20.35 0.871
60686.077196 20.317 0.974
60686.806723 -19.624 0.497
60687.813371 -19.366 0.512
60689.083018 18.007 0.216
60690.800715 -19.912 0.713
60690.806309 -20.192 0.883
60691.792254 -20.243 0.593
60693.034886 19.724 0.837
60693.054651 20.461 0.696
60694.796353 -20.048 0.576
60695.788589 20.067 0.722
60695.79176 20.365 0.807
60698.785541 -19.158 0.426
60698.79282 -20.414 0.885
60698.802981 -20.187 0.712
60709.036146 -20.32 0.963
60709.046203 -20.291 0.838
60710.026941 18.978 0.84
60711.774933 19.434 0.639
60711.787604 19.909 0.59
