2020pyf 0.073 237.459941882 27.0778059791
filter ATgr
60709.596558 20.426 0.448
60709.598956 20.153 0.326
60709.612089 20.22 0.426
60710.583613 20.381 0.394
filter ATri
60690.636077 19.89 0.596
60690.645915 20.703 0.973
60690.656069 19.353 0.307
60690.665367 20.145 0.615
60691.631918 -19.942 0.412
60691.649016 20.4 0.725
60691.66296 20.447 0.76
60692.611143 19.445 0.294
60692.624855 19.486 0.3
60692.627697 19.722 0.351
60693.643455 -20.707 0.838
60693.666261 20.199 0.482
60694.625696 19.56 0.283
60694.628508 -19.352 0.295
60694.647061 20.343 0.547
60695.610591 19.757 0.315
60695.617089 20.273 0.537
60696.621998 19.75 0.897
60696.624801 20.85 0.786
60696.631848 -21.099 0.867
60696.65065 20.941 0.836
60697.594506 20.276 0.554
60697.599457 19.71 0.281
60699.618823 -19.949 0.294
60699.627571 -20.82 0.776
60699.639166 20.419 0.516
60704.621374 -20.641 0.821
60704.6321 19.583 0.449
60704.651506 -19.928 0.908
60708.59891 20.612 0.61
60711.563789 19.916 0.348
60711.568175 19.855 0.268
60711.593963 -21.058 0.675
60711.611192 19.994 0.275
60712.577797 20.394 0.433
60712.581084 -21.063 0.701
60712.586198 -20.777 0.55
60712.591187 21.248 0.828
60712.594466 20.745 0.597
60712.598194 -21.26 0.916
60712.600105 20.991 0.778
