2021aasg 0.085 131.269028583 19.6663757424
filter ATgr
60709.397297 20.702 0.537
filter ATri
60684.418763 21.008 0.95
60684.420591 21.013 0.786
60686.392986 20.339 0.797
60686.399337 -20.371 0.939
60693.567229 20.735 0.844
60694.498299 -20.437 0.646
60694.501483 -20.229 0.514
60696.49114 -20.79 0.736
60697.600326 -19.583 0.362
60697.608091 20.367 0.588
60699.486946 -20.799 0.598
60699.495336 -20.902 0.693
60700.503345 19.688 0.677
60700.50615 -20.927 0.914
60703.574868 -19.787 0.25
60703.583752 -20.906 0.73
60703.587037 20.746 0.591
60703.594071 20.334 0.524
60703.61069 20.912 0.929
60704.496015 19.552 0.874
60708.3789 -20.735 0.57
60708.382102 21.05 0.694
60710.368125 20.322 0.371
60710.373242 -20.893 0.707
60711.290933 -20.994 0.959
60711.48766 20.81 0.692
60712.335901 -20.361 0.636
60712.341517 -20.544 0.676
