2021aash 0.077 131.424529788 22.8042541018
filter ATgr
60709.385555 20.89 0.643
60709.387418 20.494 0.485
filter ATri
60686.400695 -20.277 0.965
60692.506327 20.016 0.506
60692.553514 -20.531 0.88
60692.618079 19.775 0.429
60692.618536 19.295 0.325
60692.61945 -20.409 0.941
60692.868982 -19.817 0.885
60692.869432 19.647 0.763
60693.522511 -20.087 0.471
60693.525568 -20.024 0.475
60693.567229 -20.515 0.777
60694.505568 -20.791 0.783
60695.500286 20.42 0.568
60697.607634 -21.019 0.922
60699.49159 21.248 0.882
60700.503345 -19.63 0.5
60703.596873 19.994 0.368
60703.609305 -20.97 0.883
60704.468689 -20.417 0.849
60704.490822 -19.832 0.907
60708.370416 20.945 0.78
60708.373751 -21.142 0.897
60708.376491 20.282 0.455
60708.381645 -21.045 0.743
60710.2964 -19.577 0.241
60710.377771 20.273 0.515
60711.287647 20.845 0.912
60711.292346 -20.311 0.413
60711.297099 20.37 0.6
60711.299364 20.576 0.77
60712.335901 -20.642 0.75
60712.363121 -20.821 0.911
