2021abgc 0.071 126.9891391 -5.6647004
filter ATgr
60699.17825 21.015 0.776
60699.181422 21.153 0.722
60700.47485 -16.683 0.72
60700.482275 -20.776 0.91
60700.486568 18.199 0.591
60703.225956 20.687 0.54
60704.44682 -20.67 0.843
60707.231612 -20.823 0.673
60708.440519 -20.749 0.75
60711.204306 21.295 0.825
60711.213812 20.079 0.319
filter ATri
60684.465796 -20.844 0.986
60684.480129 -20.559 0.767
60684.963196 20.646 0.676
60684.965005 20.324 0.604
60684.969068 20.624 0.824
60684.974477 19.976 0.414
60687.196273 18.36 0.348
60687.202147 20.147 0.96
60687.208041 -20.0 0.793
60689.030938 19.738 0.788
60691.337422 18.615 0.443
60693.000041 20.11 0.574
60693.009824 -20.452 0.766
60693.01299 -19.9 0.644
60694.412955 20.305 0.448
60694.41662 -20.7 0.718
60695.250359 -20.507 0.822
60695.253565 20.381 0.922
60696.484175 19.525 0.847
60698.448942 21.226 0.819
60698.456 21.082 0.719
60698.461494 20.969 0.563
60698.473851 -20.057 0.315
60700.971394 -20.76 0.621
60700.974556 -20.726 0.497
60701.005 -19.973 0.291
60704.966787 20.94 0.83
60704.970452 20.474 0.39
60708.997118 20.796 0.674
60712.408967 -20.84 0.877
60712.852925 20.316 0.709
60712.865658 19.871 0.352
