2021adsn 0.024 105.44645875 24.23838125
filter ATgr
60709.375174 -20.29 0.402
filter ATri
60684.381444 20.165 0.604
60684.40409 20.578 0.753
60691.471763 20.148 0.537
60691.475038 -19.877 0.503
60691.480165 19.857 0.449
60692.465013 20.506 0.706
60692.470518 -19.485 0.279
60693.428851 20.009 0.424
60693.434295 -20.515 0.696
60694.418762 -19.871 0.434
60694.421969 -19.9 0.328
60694.427433 -20.433 0.704
60695.355496 -20.222 0.413
60695.362935 20.072 0.371
60696.391072 21.382 0.941
60696.39502 21.374 0.918
60699.406699 -20.269 0.385
60699.412238 21.032 0.841
60699.423124 -19.626 0.214
60700.435254 -19.343 0.158
60700.451147 19.959 0.3
60703.396468 -20.425 0.377
60703.403733 20.288 0.383
60704.392796 19.342 0.259
60704.396012 19.905 0.379
60704.401557 -19.816 0.368
60708.358385 -20.325 0.37
60708.36115 -21.277 0.976
60708.398495 -20.876 0.6
60710.346429 19.207 0.196
60710.349044 19.559 0.234
60710.354633 -20.642 0.631
60710.363486 -20.882 0.816
60710.368178 -20.429 0.497
60710.388634 -20.116 0.315
60710.392263 -19.917 0.35
60710.395045 -19.945 0.336
60710.399941 -20.323 0.533
60710.409934 -19.27 0.23
60711.227314 20.185 0.588
60711.232334 19.891 0.504
60711.239809 20.462 0.682
60712.381134 20.582 0.743
