2021auq 0.076 211.92491 -20.7406366667
filter ATgr
60701.282171 -21.258 0.82
60701.306503 -20.62 0.433
60702.309719 -21.185 0.825
60705.329414 -20.917 0.711
60705.332572 20.562 0.569
60705.338577 -20.711 0.686
60706.310903 -20.669 0.531
60709.305631 -20.809 0.657
60710.31292 -20.203 0.288
60710.316121 -21.3 0.948
filter ATri
60686.277375 19.194 0.372
60686.30591 20.835 0.827
60687.085115 -21.005 0.919
60687.092897 20.579 0.574
60687.097016 21.106 0.975
60687.105012 19.899 0.403
60690.330713 19.783 0.906
60690.334857 19.322 0.952
60690.353465 -19.776 0.94
60692.076167 -20.098 0.719
60693.35746 20.329 0.609
60698.333755 -20.102 0.822
60698.337405 19.484 0.561
60698.362929 19.791 0.697
60699.100728 21.017 0.848
60707.058387 -20.793 0.771
60708.053829 20.231 0.5
60708.063158 20.325 0.469
60708.073583 -20.779 0.729
60711.063649 19.82 0.319
