2021bix 0.04 119.182206667 -24.57421
filter ATgr
60701.191114 -21.184 0.899
60701.22268 20.953 0.805
60702.184557 21.108 0.917
60705.172608 21.11 0.905
60705.18095 20.71 0.68
60706.187295 20.822 0.71
60709.172477 21.229 0.973
60710.182043 20.698 0.667
60710.19082 20.944 0.818
filter ATri
60686.273898 -19.505 0.533
60686.968549 -19.969 0.667
60689.214648 -19.844 0.914
60690.240163 -19.73 0.83
60690.246073 -19.05 0.334
60691.957952 -20.517 0.837
60693.207851 -20.06 0.517
60694.148844 -20.573 0.682
60694.934732 -20.901 0.943
60697.226222 -20.674 0.83
60698.932432 -20.887 0.888
60700.039702 -20.662 0.758
60703.960534 -20.828 0.946
60703.981355 17.996 0.637
60706.954639 -19.98 0.41
60706.95782 20.169 0.46
60710.923402 -20.5 0.874
60710.932197 -20.359 0.639
60711.98546 -20.872 0.875
60712.80869 -20.441 0.794
