2021biz 0.021515 184.1448112 33.5265313
filter ATgr
60709.501664 21.043 0.894
60710.490436 20.591 0.62
filter ATri
60684.560108 -21.201 0.979
60684.595505 -20.916 0.952
60687.648553 -20.008 0.741
60691.521747 19.894 0.562
60692.530335 -19.668 0.59
60693.506214 -19.801 0.539
60693.508041 -20.295 0.712
60694.565938 -19.968 0.592
60696.543725 -20.084 0.957
60696.546473 -19.755 0.548
60699.565403 -20.802 0.92
60700.628521 -20.392 0.538
60703.603984 -20.411 0.533
60703.632579 -20.688 0.651
60704.547116 20.608 0.914
60708.510959 -20.28 0.502
60708.520822 -20.661 0.707
60708.539325 -20.265 0.36
60710.444296 20.303 0.649
60711.448971 -20.52 0.865
60711.668592 -19.872 0.642
60712.543052 -20.596 0.653
