2021jbp 0.042 201.241559768 -24.180768237
filter ATgr
60701.312636 22.828 4.588
60701.315857 21.022 0.737
60701.321321 22.749 3.789
60701.330727 -21.733 1.431
60702.302896 -21.086 0.727
60702.306079 -20.956 0.787
60702.316202 -22.184 2.024
60702.321295 22.813 3.783
60705.316885 21.525 1.805
60705.320064 -21.685 2.083
60705.326196 24.517 24.333
60705.336296 24.934 37.0
60706.299252 21.502 1.278
60706.30246 23.569 7.875
60706.312265 -21.046 0.81
60706.317716 22.347 2.64
60709.296559 -21.592 1.259
60709.298365 22.041 2.35
60709.302001 -22.467 2.615
60709.316328 21.727 1.373
60710.286985 20.996 0.86
60710.290158 21.105 0.948
60710.303802 21.392 1.013
60710.309246 21.641 1.508
filter ATri
60685.332764 -22.233 3.289
60685.349245 22.432 3.733
60685.354582 -21.409 1.367
60685.359232 -20.816 0.847
60686.314679 -21.121 1.257
60686.318353 21.491 1.392
60686.323503 -22.609 4.214
60686.333771 23.718 8.889
60687.056807 22.245 3.875
60687.059997 21.289 1.74
60687.06546 23.137 10.143
60687.08876 -21.28 1.301
60687.110507 -19.922 0.743
60689.317083 -20.459 1.217
60689.321251 -21.307 2.659
60689.344422 20.961 1.833
60689.355208 -22.164 5.486
60690.321526 -20.326 1.143
60690.324719 20.048 1.075
60690.33209 -20.122 1.023
60690.343282 -19.64 0.599
60691.048373 20.007 0.821
60691.051531 20.988 2.042
60691.05804 -21.767 3.605
60691.069038 21.449 2.72
60691.963053 20.691 2.141
60691.966893 21.366 4.027
60691.984624 22.288 8.0
60692.002391 -20.328 1.146
60693.317014 20.356 1.023
60693.322116 -21.042 2.031
60693.325381 -20.478 1.14
60693.342857 23.41 18.0
60694.314467 -19.654 0.515
60694.318102 -20.778 1.474
60694.322197 -20.58 1.108
60694.328202 -19.554 0.447
60695.056027 -19.983 0.66
60695.059224 -19.998 0.712
60695.065138 22.141 4.6
60695.07496 -20.355 0.977
60697.233191 19.793 0.792
60697.236007 -21.154 2.632
60697.262616 -21.256 2.663
60697.268135 -20.699 1.766
60698.303178 -21.327 1.788
60698.306389 -21.765 3.235
60698.33009 20.897 1.184
60698.335575 20.328 0.737
60699.068919 -20.653 0.698
60699.072081 20.324 0.444
60699.09077 21.949 2.562
60699.099368 -21.766 2.182
60700.058782 -21.08 1.09
60700.061949 21.339 1.315
60700.071897 -20.461 0.664
60700.075055 22.548 4.421
60707.045947 21.216 1.082
60707.049123 22.177 2.812
60707.055923 -20.094 0.346
60707.066545 -23.073 6.267
60708.040733 -21.887 1.896
60708.043891 -21.02 0.933
60708.049317 -20.216 0.424
60708.061795 -21.827 2.0
60711.028497 -22.617 4.739
60711.030301 -23.394 6.909
60711.033499 20.493 0.6
60711.039376 -20.58 0.596
