2024act 0.0212 233.163489776 -28.0382248149
filter ATgr
60702.375585 -20.523 0.685
60706.347999 -20.615 0.543
60706.375434 -20.637 0.692
60710.346278 -20.819 0.698
filter ATri
60689.367422 -19.202 0.599
60690.353961 20.081 0.723
60691.088304 18.9 0.553
60691.104924 -20.143 0.963
60694.348005 -19.658 0.494
60694.352211 20.082 0.94
60695.094709 19.793 0.496
60695.116618 -18.754 0.483
60697.339267 19.652 0.728
60697.359833 -19.982 0.878
60697.367778 19.517 0.907
60697.371135 19.287 0.728
60707.116179 -20.59 0.928
60711.079571 20.435 0.553
