2024adki 0.07 163.369304 -32.94444
filter ATgr
60682.978773 20.923 0.537
60683.004422 21.014 0.571
60683.013075 21.207 0.548
60683.997367 20.614 0.521
60684.003472 21.23 0.688
60684.011408 20.659 0.455
60684.029756 21.34 0.736
60701.216788 21.443 0.988
60705.241307 21.155 0.864
60706.21342 21.399 0.818
60709.219046 20.999 0.465
60710.226938 -20.634 0.434
60710.228745 21.046 0.653
60710.231481 20.693 0.414
filter ATri
60682.275575 20.118 0.322
60682.27831 21.042 0.838
60682.28106 19.51 0.22
60682.28651 20.433 0.426
60685.20903 -20.192 0.834
60685.211853 19.822 0.598
60685.226981 19.139 0.338
60685.263756 20.164 0.577
60685.266075 20.189 0.709
60685.274272 19.662 0.324
60687.025763 -20.567 0.756
60687.028543 20.432 0.766
60687.031837 19.511 0.319
60689.281966 19.605 0.644
60690.260302 -19.523 0.409
60690.268946 19.656 0.538
60691.000649 20.166 0.931
60691.944384 20.274 0.808
60691.963549 20.194 0.723
60693.237817 20.211 0.833
60693.274119 -20.291 0.713
60694.264874 20.709 0.74
60694.267138 19.663 0.429
60694.270774 19.854 0.498
60695.004708 -20.36 0.667
60695.009684 20.241 0.613
60697.244884 19.971 0.435
60697.24714 20.732 0.76
60697.261238 20.67 0.708
60698.250562 20.678 0.716
60699.975684 20.816 0.736
60699.979307 20.767 0.588
60704.023505 -19.617 0.419
60706.986319 20.849 0.612
60707.955205 20.918 0.734
60707.962633 20.49 0.488
60710.95085 21.19 0.988
60710.952673 20.967 0.742
