2024fib 0.02 114.317446364 -38.44951
filter ATgr
60683.980469 20.809 0.587
60697.157287 -21.074 0.733
60701.179547 21.026 0.781
60701.220573 20.999 0.778
60705.174996 -20.947 0.96
60705.175901 20.769 0.664
60705.179064 -21.241 0.878
60705.184177 20.902 0.765
60705.194486 20.52 0.445
60709.180403 20.788 0.831
filter ATri
60684.295366 -20.887 0.727
60684.302738 20.92 0.784
60688.25 19.408 0.689
60693.208809 -20.315 0.696
60693.968377 20.028 0.41
60697.227928 20.878 0.873
60697.258277 -19.476 0.389
60697.934955 -20.954 0.862
60697.967992 15.237 0.857
60698.937426 20.781 0.756
60699.955207 21.114 0.867
60699.990609 -20.766 0.716
60703.958282 20.508 0.688
60703.962393 -20.989 0.971
60704.020679 -20.113 0.843
60704.116956 18.265 0.357
60705.925059 20.976 0.788
60705.959628 20.579 0.582
60707.935546 -19.728 0.26
60707.941046 20.966 0.941
60710.923852 20.813 0.777
60710.929386 20.929 0.825
