2024gdb 0.078 189.791240747 13.472693619
filter ATgr
60685.099616 19.752 0.304
60703.29333 -20.398 0.399
60703.317665 20.725 0.59
60703.340876 -21.144 0.843
60707.272532 -20.558 0.651
60707.304843 20.85 0.762
60708.539364 -20.916 0.626
60710.518909 20.621 0.54
60710.526225 -20.113 0.32
60711.304803 21.499 0.939
60711.307961 -20.785 0.55
60711.311145 -20.837 0.607
filter ATri
60682.599362 20.312 0.434
60682.602125 20.882 0.755
60682.605437 20.902 0.771
60684.531282 20.1 0.408
60684.577875 20.618 0.685
60684.595514 21.055 0.759
60687.316052 0.0 0.0
60689.047545 -19.336 0.597
60689.056597 -19.691 0.728
60690.501869 -19.711 0.562
60690.5087 19.986 0.636
60690.56348 19.838 0.445
60690.626346 19.75 0.439
60690.626451 19.916 0.665
60690.676297 19.997 0.893
60691.002947 -19.181 0.716
60691.003849 19.334 0.713
60691.108407 19.645 0.716
60691.309593 -18.73 0.347
60691.313215 19.028 0.507
60691.323189 19.072 0.462
60691.569701 20.872 0.908
60692.549324 -19.865 0.604
60692.551177 -20.15 0.705
60692.571897 19.75 0.419
60697.669272 -19.884 0.481
60697.670587 19.61 0.371
60697.673983 -19.928 0.994
60698.526041 -20.663 0.614
60698.52889 20.577 0.549
60699.312694 -20.878 0.701
60699.340392 21.143 0.947
60700.624341 20.242 0.361
60704.536001 -20.269 0.72
60704.542036 -20.166 0.556
60708.526835 20.664 0.636
60708.535064 20.421 0.532
60709.074185 -20.605 0.545
60709.088774 -21.128 0.862
60710.445252 -20.327 0.467
60710.458902 -20.655 0.625
60711.465626 20.612 0.662
60711.467239 -17.577 0.021
60711.47189 -17.814 0.028
60711.526061 -18.017 0.074
