2024pcx 0.07 222.593417 -2.458081
filter ATgr
60703.355406 20.364 0.376
60703.359511 20.616 0.412
60703.367557 20.869 0.655
60707.366794 20.641 0.478
60707.373647 -21.039 0.919
60708.637296 -20.883 0.634
60708.657468 20.318 0.479
filter ATri
60684.631643 -19.904 0.678
60684.641236 19.719 0.594
60690.606111 20.375 0.798
60690.612639 -20.214 0.589
60694.619876 20.565 0.75
60694.639051 -20.837 0.976
60694.650492 -20.556 0.799
60696.613596 19.627 0.306
60696.649329 -19.225 0.877
60700.603601 -19.658 0.231
60700.621187 21.018 0.902
60701.107118 20.331 0.59
60701.113493 20.572 0.869
60705.089712 -19.248 0.294
60705.090613 20.899 0.898
60705.105445 -20.672 0.844
60709.052958 -21.088 0.99
