2024qat 0.04 208.39549 -35.6129
filter ATgr
60683.093492 21.032 0.793
60683.102867 20.59 0.739
60683.981021 16.429 0.013
60684.001581 20.724 0.75
60702.381154 -19.95 0.46
60706.31681 21.04 0.833
60706.320451 21.308 0.925
60706.33046 21.443 0.96
filter ATri
60682.356933 20.46 0.754
60685.328908 -20.351 0.673
60689.226488 -19.473 0.797
60689.231847 19.136 0.663
60690.350272 -18.807 0.323
60691.090638 -19.821 0.5
60691.105399 19.955 0.633
60692.072982 -20.59 0.848
60693.37265 -20.276 0.888
60694.333745 19.802 0.5
60695.083572 20.52 0.835
60697.315394 -19.245 0.416
60697.326157 -20.196 0.74
60699.089868 20.031 0.516
60699.101178 20.78 0.957
60699.106884 20.723 0.935
60700.077825 -19.948 0.463
60707.053669 20.546 0.743
60707.059288 -20.722 0.781
60707.067495 -20.745 0.72
60708.049767 -20.206 0.452
60708.064521 -20.758 0.789
