2024qnk 0.078 6.52353870148 16.1563515473
filter ATgr
60694.242359 20.359 0.516
60694.26716 -20.402 0.443
60697.241206 -20.535 0.588
60697.246266 20.322 0.505
filter ATri
60684.265167 20.32 0.71
60684.273933 -19.326 0.332
60685.27268 -20.529 0.969
60688.255424 0.0 0.0
60689.25929 19.633 0.506
60689.264765 19.88 0.713
60689.275266 -20.063 0.94
60690.245491 -20.407 0.713
60690.248698 20.554 0.691
60690.255654 19.918 0.514
60690.278507 -20.175 0.861
60690.296048 -19.427 0.721
60690.301575 18.627 0.539
60692.244701 18.487 0.399
60692.249858 19.255 0.341
60693.299821 -20.637 0.782
60693.305087 20.431 0.761
60695.242454 20.486 0.557
60695.257975 20.281 0.557
60695.263494 -20.814 0.752
60696.217221 19.52 0.281
60699.222419 20.292 0.685
60699.232659 -20.559 0.763
60699.243713 20.357 0.549
60704.228159 20.226 0.492
